职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
投流策略总监,武汉,重庆海尔家电销售有限公司,本科,5-10年,"投放策略,品牌策略,引流策略,用户策略",,岗位职责：1、负责直播间流量投放策略制定，包括但不限于广告投放、关键词优化等，确保直播间流量增长；2、分析各渠道（如抖音、京东、天猫等）的用户行为和流量特点，优化预算分配，提升ROI；3、并联数据中台，监控并分析投放数据（如CTR、转化率），定期输出数据分析报告，提出改进建议；4、与各平台方对接，获取最新的推广资源和政策支持；5、协助直播间内容策划，提供流量增长方向的建议。岗位要求：1、学历：本科...,耐用消费品,http://jobs.zhaopin.com/CC358862320J40818141914.htm,10000人以上,2025-11-05 15:45:19,,,
家装团装运营负责人,武汉,武汉汉盛红杉树建筑装饰工程有限公司,大专,3-5年,家装团装,20000-40000,岗位职责1. 统筹团装业务全流程：制定楼盘团装运营策略，对接开发商/物业拓展合作资源，主导团装套餐设计、定价与迭代，达成签约率、营收等核心指标。2. 营销获客与转化：策划线上（社群、短视频、直播）+线下（楼盘驻点、团购会、样板间开放）推广活动，引流获客并推进意向客户转化，控制获客成本。3. 客户与履约管理：统筹售前咨询、方案沟通、施工跟进、售后维权全环节，协调设计、施工、供应商团队解决客户问题，保...,装饰装修,http://jobs.zhaopin.com/CCL1454795830J40811243711.htm,300-499人,2025-12-02 14:08:23,20000.0,40000.0,12.0
运营管理,武汉,东风汽车,本科,5-10年,,20000-40000,岗位职责:1．建立覆盖企业内部与外部的经营数据收集体系，包括内部财务数据、业务数据、运营数据，外部行业数据、政策数据、宏观经济数据等。2.对接企业内部各业务系统与外部数据平台，实现数据的自动化或半自动化收集，确保数据获取的及时性与完整性。3.制定数据标准化规则，统一数据格式、指标定义，建立企业经营数据字典，。4.围绕关键经营指标（KPI）开展常态化分析，包括营收分析、利润分析、效率分析、客户分析等...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825833605.htm,10000人以上,2025-11-12 09:22:19,20000.0,40000.0,12.0
新媒体运营总监,武汉,抖盟(武汉)网络科技有限公司,本科,3-5年,"图文平台,短视频平台,短视频运营,用户运营,内容运营,统招本科,端庄大气,MCN机构",20000-40000,支持全国各地的优秀者投递，可以为您开辟专门的团队和线上办公环境！自带资源或者大厂背景者优先，只要您有能力，薪资随便开。 岗位要求 学历与专业：本科及以上学历，新闻传播、市场营销、广告学等相关专业优先。 工作经验：3 年以上新媒体相关工作经验，有从 0 到 1 建立新媒体品牌及十万加用户级账号长期运营的成功经验优先，有 5 年以上新媒体账号运营管理工作经验，成功打造并运营知名新媒体账号（粉丝量百万级...,新媒体,http://jobs.zhaopin.com/CCL1264007910J40790039007.htm,100-299人,2025-11-03 16:46:25,20000.0,40000.0,13.0
抖音起号策略总监,武汉,重庆海尔家电销售有限公司,本科,5-10年,"用户策略,商家策略,营销策略,内容策略,引流策略,品牌策略,投放策略,平台策略",,"1.制定抖音大家电品类起号策略:深入分析抖音平台规则、算法及大家电品类市场趋势,结合公司产品特点,制定从0到1的抖音大家电账号起号策略与长期运营规划,确保账号起号成功。2.内容策划与运营:负责账号起号阶段内容策略制定、内容策划和运营。3.直播运营管理:统筹大家电直播活动,包括直播流程设计、商品上架、主播沟通、互动环节策划等,优化直播场景布置、灯光音效等,营造良好直播氛围;实时监控直播数据,如观看人...",耐用消费品,http://jobs.zhaopin.com/CC358862320J40771002314.htm,10000人以上,2025-07-04 18:31:21,,,
产品定义-奕派科技,武汉,东风汽车,本科,5-10年,"软件产品,硬件产品,策略产品,定价策略产品",20000-40000,岗位职责:1、负责车型开发整车方案集成，编制整车构成清单，根据项目决策更新整车方案。2、负责车型开发专用件管理，跟进供应商选择进展，定义固化后正规图纸发放3、负责公告选装照片的析出及申报工作4、负责对行业发展新趋势新技术进行精准调研，汇编报告，形成初步搭载建议方案；5、负责制定专业标准流程，形成组织记忆，带动团队能力提升； 任职要求:1、掌握整车构造知识，具备广泛的汽车设计经验；2、熟练应用CAT...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40801419705.htm,10000人以上,2025-08-09 17:29:43,20000.0,40000.0,12.0
零部件运营管理,武汉,恒信汽车集团,本科,3-5年,,20000-35000,工作内容：1、负责公司售后零部件(备件)的供应链整体运营规划，包括需求预测、采购计划、库存策略制定及成本控制。2、管理全国中心库及区域仓库的备件进、销、存业务，优化库存结构，提高库存周转率，降低滞销库存风险。3、监督与管理第三方仓储及物流服务商，确保仓储作业效率、物流配送时效与服务质量的达成。4、负责零部件相关系统的运营与优化(如DMS备件模块、WMS系统)，确保数据准确性，并支持业务决策。5、监...,汽车研发/制造,http://jobs.zhaopin.com/CC227140280J40972906404.htm,1000-9999人,2025-12-10 17:25:46,20000.0,35000.0,12.0
国企平台/管理职/双休,武汉,海港人寿保险股份有限公司湖北分公司(本部),大专,经验不限,"直播运营,社群运营,销售运营,toC",20000-35000,1、负责公司部分管理工作，协调日常运营事务；2、主导团队架构搭建，统筹日常团队管理与督导，提升团队效能；3、统筹协调内部各部门工作，保障流程顺畅与目标落地；4、负责居家养老项目推广与宣传，提升公司品牌知名度；【福利待遇】1、终身双佣金制度，具有竞争力的薪资+高额绩效奖金+完善综合补贴；2、丰富团建福利：月度季度国内游学、不定期省内旅游（温泉、AI科技馆参观等）3、国企平台资源广，拓知识扩眼界机会多...,保险,http://jobs.zhaopin.com/CCL1499916720J40855719212.htm,500-999人,2025-12-03 15:57:41,20000.0,35000.0,12.0
运营管理-奕派科技,武汉,东风汽车,本科,3-5年,"组织运营,数据运营",20000-40000,岗位职责:1.负责提出公司KPI指标/指标值开发方案2.负责制定各部门年度经营目标（KPI），并组织发布年度经营计划；3.负责运营过程管理及监控，编制运营报告，召开经营工作会，并督办落实；4.负责各部门月度/年度绩效（KPI）绩效辅导及评价；5.负责组织运营周度、月度、年度会议；6.负责政府/集团等调研报告、企业年报编制；7.负责组织绩效管理标准的运行及完善。 任职要求:1.行业经历：3年以上2....,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40792887405.htm,10000人以上,2025-07-11 09:05:41,20000.0,40000.0,12.0
服务运营高级经理,武汉,恒信汽车集团,本科,5-10年,,20000-35000,工作内容：1、负责全国售后服务体系(经销商服务网络)的运营标准制定、监督考核与持续优化，提升整体服务效能与客户满意度。2、主导售后业务数据的收集、建模与分析(如进场台次、客单价、工时效率、客户留存率等)，通过数据洞察发现运营问题并提出改进策略。3、负责或参与经销商服务管理系统的需求梳理、开发测试、上线推广及后续优化，以数字化工具赋能经销商运营。4、监控并分析售后关键绩效指标(KPI)，定期编制服务...,汽车研发/制造,http://jobs.zhaopin.com/CC227140280J40972902404.htm,1000-9999人,2025-12-10 16:05:27,20000.0,35000.0,12.0
