职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
运营总监,武汉,武汉欢乐固瑞口腔门诊部有限公司,大专,5-10年,"销售运营,活动运营,toB,toC,口腔,齿科,内部运营,门店运营",25000-50000,岗位职责：1、承接公司整体战略，制定并实施门店运营规划，监督各门店年度、季度、月度经营目标的达成；2、优化与完善各门店的运营流程、服务标准与管理规范，推动标准化体系在各门店落地执行，并持续改进；3、领导并管理各门店门诊经理团队，搭建高效的运营管理体系，定期开展团队赋能培训，提升团队整体管理能力与执行力；4、统筹协调各门店与外部相关部门的对接工作，统筹处理门店重大运营事务及突发问题，保障各门店正常、...,医美/健康服务,http://jobs.zhaopin.com/CC411435730J40815107811.htm,500-999人,2026-01-09 16:08:20,25000.0,50000.0,12.0
跨境电商运营经理/合伙人,武汉,武汉瀛笙电子商务有限公司,大专,3-5年,"阿里巴巴国际站,速卖通,eBay",30000-50000,1.指导速速卖通/美客多/东南亚等专项或多项跨境电商所负责平台专员工作、对运营团队进行定期培训；2.负责管理跨境营销团队，统筹开展在跨境各站点的运营工作，包括各类营销方案的策划及实施；3.针对不同的推广渠道，开展营销活动，协调各方面资源配合执行，对推广商品具备有效的判断，根据推广效果提出调整建议；4.负责制定营销计划并领导团队进行高效运作，包括客户需求分析、listing优化、流量分析等，带领整个...,电子商务,http://jobs.zhaopin.com/CC871350700J40723501106.htm,1000-9999人,2025-10-13 09:59:57,30000.0,50000.0,12.0
营销副总,武汉,湖北康正药业有限公司,本科,5-10年,,22000-40000,岗位职责 1、负责制定年度销售策略及业务拓展规划及营销方案； 2、统筹管理各部门业务团队，负责团队目标规划、绩效达成及团队能力提成工作等； 3、负责协助部门业务拓展和客户关系的开发与维护，组织执行销售策略，实现市场占有率和销售目标； 4、建立客户沟通渠道，主持客户的业务谈判及成交，落实客户货款的回收，创建长期、良好、稳固的客户关系； 5、确保销售任务目标达成与销售费用的合理分配与控制； 任职资格 ...,医药制造,http://jobs.zhaopin.com/CC141319710J40303279007.htm,100-299人,2026-01-11 00:16:02,22000.0,40000.0,13.0
城市更新运营业务副总经理,武汉,永业行资源环境科技股份有限公司,本科,5-10年,园区招商运营,25000-40000,职位介绍：1、根据公司、事业群总体业务规划，制定城市更新运营业务拓展计划，统筹部门运营项目管理工作；2、负责制定项目商业运营策略，包括但不限于项目市场研判、业态规划、招商筹备、运营管理、企划推广等具体工作；3、拓展核心招商资源，整合内外部资源，建立并维护与相关政府部门、渠道合作伙伴、客户等的联系，负责完成项目的招商目标或者运营合作目标达成；4、定期分析项目运营数据、市场动态、政策变化及竞品情况，及...,咨询服务,http://jobs.zhaopin.com/CC131999010J40915285815.htm,1000-9999人,2026-01-09 09:08:40,25000.0,40000.0,12.0
物业运营总监,武汉,深圳万洁物业科技服务有限公司,大专,5-10年,"toG,toB",20000-40000,岗位职责：1、根据公司市场拓展以及战略工作规划，制定拓展计划和相关方案，并主导实施落地；2、研究市场动态，组织市场调研与竞争对手分析，拓展信息的收集、整理、分析；为公司开拓市场化物业管理业务提供决策依据；3、负责拓展项目的相关数据分析、费用测算，为拓展决策提供依据；参与拓展项目招投标等全部活动；4、积极开拓客户资源，制定可行性报告及直接参与商务洽谈，保障公司效益最大化；5、建立良好的客户关系，提高...,物业管理,http://jobs.zhaopin.com/CCL1290018700J40891794302.htm,1000-9999人,2025-12-29 16:37:47,20000.0,40000.0,12.0
电商总监,武汉,湖北聚汇农业开发有限公司,本科,5-10年,"淘宝/天猫,京东,拼多多",20000-40000,岗位职责1.战略规划：牵头制定电商板块0-1全盘战略，围绕千万级销售目标，规划天猫、京东、抖音、小红书等多平台布局策略，输出年度运营计划与预算方案。 2.业绩增长：负责线上业务突破，通过品效销协同打法，提升GMV与利润率，缩小线上线下销售差距。 3.团队管理：搭建绩效考核体系，优化分工协作流程，培养团队专业能力，推动主播、运营等岗位高效配合。4. 品牌赋能：深挖酱菜行业文化故事，转化为适配线上的内...,快速消费品,http://jobs.zhaopin.com/CC610241620J40816759501.htm,300-499人,2025-12-25 14:22:48,20000.0,40000.0,12.0
家装团装运营负责人,武汉,武汉汉盛红杉树建筑装饰工程有限公司,大专,3-5年,家装团装,20000-40000,岗位职责1. 统筹团装业务全流程：制定楼盘团装运营策略，对接开发商/物业拓展合作资源，主导团装套餐设计、定价与迭代，达成签约率、营收等核心指标。2. 营销获客与转化：策划线上（社群、短视频、直播）+线下（楼盘驻点、团购会、样板间开放）推广活动，引流获客并推进意向客户转化，控制获客成本。3. 客户与履约管理：统筹售前咨询、方案沟通、施工跟进、售后维权全环节，协调设计、施工、供应商团队解决客户问题，保...,装饰装修,http://jobs.zhaopin.com/CCL1454795830J40811243711.htm,300-499人,2025-12-02 14:08:23,20000.0,40000.0,12.0
大数据运营部副总监-南斗六星,武汉,东风汽车,本科,5-10年,,25000-40000,岗位职责:*本岗位招聘单位为南斗六星技术有限公司。1.负责参与云端产品全生命周期管理，包含产品业务规划、市场开拓、技术预研、设计与研发、安装调试、上线交付、运维和运营、成果总结及优化等工作;2.负责云端市场策略、售前解决方案及客户关系管理和维护;3.负责云端业务数字化规划及落地，协助公司完成软件类体系的审核及认证工作;4.负责部门相关管理制度的制定及研发标准化体系建设、项目及任务节点管理、技术归口...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40829203905.htm,10000人以上,2025-11-27 10:21:40,25000.0,40000.0,12.0
电商总监,武汉,湖北聚汇农业开发有限公司,本科,5-10年,,18000-35000,岗位职责 1.战略规划：牵头制定电商板块0-1全盘战略，围绕千万级销售目标，规划天猫、京东、抖音、小红书等多平台布局策略，输出年度运营计划与预算方案。 2.业绩增长：负责线上业务突破，通过品效销协同打法，提升GMV与利润率，缩小线上线下销售差距。 3.团队管理：搭建绩效考核体系，优化分工协作流程，培养团队专业能力，推动主播、运营等岗位高效配合。4. 品牌赋能：深挖酱菜行业文化故事，转化为适配线上的...,快速消费品,http://jobs.zhaopin.com/CC610241620J40819916001.htm,300-499人,2026-01-11 09:41:50,18000.0,35000.0,13.0
零部件运营管理,武汉,恒信汽车集团,本科,3-5年,,20000-35000,工作内容：1、负责公司售后零部件(备件)的供应链整体运营规划，包括需求预测、采购计划、库存策略制定及成本控制。2、管理全国中心库及区域仓库的备件进、销、存业务，优化库存结构，提高库存周转率，降低滞销库存风险。3、监督与管理第三方仓储及物流服务商，确保仓储作业效率、物流配送时效与服务质量的达成。4、负责零部件相关系统的运营与优化(如DMS备件模块、WMS系统)，确保数据准确性，并支持业务决策。5、监...,汽车研发/制造,http://jobs.zhaopin.com/CC227140280J40972906404.htm,1000-9999人,2025-12-10 17:25:46,20000.0,35000.0,12.0
运营管理,武汉,东风汽车,本科,5-10年,,20000-40000,岗位职责:1．建立覆盖企业内部与外部的经营数据收集体系，包括内部财务数据、业务数据、运营数据，外部行业数据、政策数据、宏观经济数据等。2.对接企业内部各业务系统与外部数据平台，实现数据的自动化或半自动化收集，确保数据获取的及时性与完整性。3.制定数据标准化规则，统一数据格式、指标定义，建立企业经营数据字典，。4.围绕关键经营指标（KPI）开展常态化分析，包括营收分析、利润分析、效率分析、客户分析等...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825833605.htm,10000人以上,2025-11-12 09:22:19,20000.0,40000.0,12.0
国企平台/管理职/双休,武汉,海港人寿保险股份有限公司湖北分公司(本部),大专,经验不限,"直播运营,社群运营,销售运营,toC",20000-35000,1、负责公司部分管理工作，协调日常运营事务；2、主导团队架构搭建，统筹日常团队管理与督导，提升团队效能；3、统筹协调内部各部门工作，保障流程顺畅与目标落地；4、负责居家养老项目推广与宣传，提升公司品牌知名度；【福利待遇】1、终身双佣金制度，具有竞争力的薪资+高额绩效奖金+完善综合补贴；2、丰富团建福利：月度季度国内游学、不定期省内旅游（温泉、AI科技馆参观等）3、国企平台资源广，拓知识扩眼界机会多...,保险,http://jobs.zhaopin.com/CCL1499916720J40855719212.htm,500-999人,2025-12-03 15:57:41,20000.0,35000.0,12.0
服务运营高级经理,武汉,恒信汽车集团,本科,5-10年,,20000-35000,工作内容：1、负责全国售后服务体系(经销商服务网络)的运营标准制定、监督考核与持续优化，提升整体服务效能与客户满意度。2、主导售后业务数据的收集、建模与分析(如进场台次、客单价、工时效率、客户留存率等)，通过数据洞察发现运营问题并提出改进策略。3、负责或参与经销商服务管理系统的需求梳理、开发测试、上线推广及后续优化，以数字化工具赋能经销商运营。4、监控并分析售后关键绩效指标(KPI)，定期编制服务...,汽车研发/制造,http://jobs.zhaopin.com/CC227140280J40972902404.htm,1000-9999人,2025-12-10 16:05:27,20000.0,35000.0,12.0
运营管理-奕派科技,武汉,东风汽车,本科,3-5年,"组织运营,数据运营",20000-40000,岗位职责:1.负责提出公司KPI指标/指标值开发方案2.负责制定各部门年度经营目标（KPI），并组织发布年度经营计划；3.负责运营过程管理及监控，编制运营报告，召开经营工作会，并督办落实；4.负责各部门月度/年度绩效（KPI）绩效辅导及评价；5.负责组织运营周度、月度、年度会议；6.负责政府/集团等调研报告、企业年报编制；7.负责组织绩效管理标准的运行及完善。 任职要求:1.行业经历：3年以上2....,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40792887405.htm,10000人以上,2025-07-11 09:05:41,20000.0,40000.0,12.0
电商运营总监,武汉,武汉帝纳科技有限公司,大专,5-10年,"淘宝/天猫,京东,拼多多,经理",15000-30000,【我们能提供给你的】1、炎热夏日，公司办公室饮食吧台冰箱里琳琅满目的各式冰镇饮料和透心凉的多种冰激凌，无限量供应，免费吃；各式点心、牛奶、汤达人等，想吃就吃，统统免费；2、办公室饮食吧台：微波炉、烤箱、咖啡机、电煮锅等各式炊具应有尽有；3、员工定期旅游，每季一次定期旅游；4、每月两次团队建设等各项活动（下午茶，户外野营，生日party，户外时尚游戏，聚餐）；5、缴纳五险、全勤奖金、餐补贴、通勤补贴...,互联网,http://jobs.zhaopin.com/CC722187630J40699865111.htm,100-299人,2026-01-11 09:57:32,15000.0,30000.0,12.0
安装运营负责人-P7468C,武汉,京东集团,学历不限,经验不限,"领导力,团队管理,项目管理,沟通协调,业务理解",20000-30000,工作内容：1. 负责安装运营团队的日常管理工作，制定并实施团队的工作计划与目标，确保团队高效运作，达成业务指标； 2. 监督和指导团队成员完成安装服务的各项任务，包括但不限于安装调试、客户服务等，确保服务质量和客户满意度； 3. 分析市场动态与客户需求，优化安装运营流程，提升服务效率与质量，推动业务模式创新； 4. 建立并维护与供应商、合作伙伴的良好关系，协调内外部资源，确保安装项目的顺利进行； ...,互联网,http://jobs.zhaopin.com/CC192921310J40796795009.htm,10000人以上,2026-01-11 00:18:21,20000.0,30000.0,16.0
