职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
涂装防锈设计,武汉,东风汽车,本科,3-5年,工艺工程师,25000-50000,"岗位职责:""1.负责车身和零部件防锈技术的基础研究、先行开发和供应商平台建设及优化，促进品质和成本领先的防锈技术的应用，并提升供应商品质一致性。2.根据中国市场要件，制定/修订涂装防锈业务领域的技术标准文件及业务流程。3. 负责新开发车型车身和零部件防锈规格的设计，确保我司车辆防锈性能的品质和成本竞争力。4.负责实施新车开发数字阶段车体数据结构防锈要素检查，确保新车型的结构、材料及防锈工艺满足防锈...",汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40825982405.htm,10000人以上,2026-01-07 09:33:56,25000.0,50000.0,12.0
激光工艺研发博士,武汉,华工激光,博士,经验不限,"激光焊接,激光熔覆,激光打标,激光仿真",30000-50000,岗位职责：1、主导激光技术在电动汽车或氢能源行业的应用研发，提升关键工艺效率和质量。2、进行激光工艺仿真和性能评估，解决精密焊接、切割中的技术难题，如热影响区控制和加工精度优化，确保产品高性能和可靠性。3、协同跨职能团队（研发、生产制造、质量控制），推动新技术的应用与创新，促进从实验室研究到工业生产的顺利过渡。4、跟踪激光技术和新能源领域的前沿技术，为公司的技术研发方向提供战略建议。岗位要求：1、...,仪器仪表制造,http://jobs.zhaopin.com/CC121124210J40932497704.htm,1000-9999人,2026-01-05 01:08:42,30000.0,50000.0,14.0
TD 代工开发专家(J10576),武汉,长飞先进半导体(武汉)有限公司,本科,经验不限,TD PIE,25000-50000,岗位职责: 1.对接代工客户产品导入， 积极主动了解客户从设计、流片到量产各阶段的技术需求，匹配相应工艺流程、工程或量产批的工艺数据收集以及确认，产线工艺异常的协调和解决，工程分析报告的撰写。 2.针对客户的需求，及时协调内部提供相应支持、follow up 客户投诉及满意度调查，主持客户技术拜访、电话会议等。 3.针对开发及试产阶段的电性、良率、产线异常、质量异常、稽核等相关报告内容和措施的协调...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1450318470J40768393614.htm,1000-9999人,2025-11-12 11:32:08,25000.0,50000.0,15.0
工艺技术总工程师-奕派科技,武汉,东风汽车,本科,5-10年,"车身,汽车电子产品,底盘系统,乘用车,焊装工艺,总装工艺,焊接工艺",35000-50000,岗位职责:1、负责制造领域技术标准规划与推进落实2、负责新工艺、新材料研发与导入，推动工艺技术持续改进3、负责各生产基地的生产工艺规划、制定与落实4、负责制造领域技术降成本规划与推进落实5、负责工艺技术质量规划及质量问题解析与对策6、负责制造效率提升规划与推进落实 任职要求:1、了解整车开发流程、了解车型四大工艺的主要流程；2、具备较强的跨部门、跨领域沟通协调能力；工作积极主动向前，不推诿不扯皮，...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40800879805.htm,10000人以上,2026-01-06 09:29:46,35000.0,50000.0,12.0
资深/主任刻蚀工艺工程师,武汉,鲁汶仪器,本科,5-10年,,20000-40000,岗位职责： 1、设计并执行工艺实验，开展实验数据分析和工艺可行性研究，并负责完成产品的工艺分析报告。 2、基于工艺开发过程中遇到的问题和相应的解决方案形成专利、机台整改方案（CIP）等。 3、在公司内部、客户面前及国际国内学术会议上做技术报告。 4、了解客户的技术需求，给出新设备的开发建议。 5、在客户端开展设备工艺开发。和产品支持工程师一起解决设备的疑难问题。 任职要求： 1、化学、材料，物理，...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC334132830J40490417004.htm,300-499人,2026-01-06 10:37:26,20000.0,40000.0,12.0
离子注入资深工艺工程师,武汉,青岛思锐智能科技股份有限公司,本科,5-10年,,20000-40000,职责描述：1、负责离子注入机现场工艺验证的组织和实施，包括测试、数据分析、问题排查处理、验证报告整理等。3、负责现场离子注入机指标参数和使用稳定性提升工作。4、离子注入机客户工艺需求对接、评估和问题解决。任职要求：1、本科及以上学历，材料学（半导体方向）、集成电路、微电子学、固体电子学等理工科相关专业。2、态度积极，学习能力强，熟练查阅英文相关资料，具备较好的归纳总结和数据分析能力，能独立分析和处...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC635312980J40600854016.htm,300-499人,2025-11-04 11:50:46,20000.0,40000.0,15.0
工艺资深工程师,武汉,上海河图工程股份有限公司武汉分公司,本科,5-10年,,20000-40000,"主要作为工艺专业【专业负责人】角色。岗位职责：1.负责确定生产装置的工艺流程，进行物料衡算与热量衡算,并绘制PFD,UID；2.负责工艺设备的工艺计算；确定工艺设备规格及技术要求；编制工艺设备数据表；3.负责编写工艺说明文件，根据工艺需要，提出控制方案，绘制装置内工艺系统的管道及仪表流程图（PID）；4.协助设备专业支持设备的技术评标，编制项目可行性研究报告，进行项目的技术开发和业务建设；5. 作...",工程技术与设计服务,http://jobs.zhaopin.com/CC314013230J40825756613.htm,100-299人,2025-11-01 00:00:02,20000.0,40000.0,14.0
薄膜沉积工艺工程师,武汉,研微(江苏)半导体科技有限公司,硕士,3-5年,"镀膜工艺,金属工艺,PECVD,PEALD,ALD,设备厂商",18000-35000,职位描述:1、在加工实验室中的PSR加工系统上开发新工艺。能够对设备中产生的问题进行故障排除、分析和解决；2、有能力向PSR客户展示我们的工艺；3、和其他部门合作并为其他部门提供支持；4、领导工艺工程部门的工艺工程师；5、以营销影响的方式为PSR（全球）的营销部门提供的工艺数据；6、通过在客户和国际会议上的演讲协助和促进PSR的设备营销/销售。职位要求：1、需要材料科学、物理、化学工程、电气工程或...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1448912510J40781314316.htm,100-299人,2026-01-10 01:48:56,18000.0,35000.0,14.0
工艺高级工程师,武汉,广州众山新材料股份有限公司,硕士,5-10年,"工艺设计,仿真设计,冷加工工艺",20000-35000,岗位职责：1、解决产品生产过程中的加工技术难题，编制数控机床的加工程序。2、 负责产品所需设备的机械结构、工装夹具等的设计、开发和优化工作。3、输出高质量的工程图纸、技术规范、BOM清单以及设计报告等技术文档。4、负责或参与项目计划制定，跟踪项目进度，确保任务按时高质量完成，参与关键零部件供应商的技术评估与选型，编制相关文件。岗位要求：1、211院校硕士及以上学历，机械相关专业。2、经验： 5年以...,新材料,http://jobs.zhaopin.com/CC857188100J40964209504.htm,1000-9999人,2025-11-06 00:00:02,20000.0,35000.0,12.0
制剂工艺研究员(J11850),武汉,武汉启瑞药业,博士,1年以下,"固体制剂,半固体制剂,液体制剂",25000-35000,岗位职责:1、在制剂工艺组长的指导下，负责项目研发方案的制订，药物制剂处方开发和工艺开发工作的具体实施，包括制剂处方设计及筛选、制剂工艺设计及优化、制剂稳定性考察、中试放大生产等制剂相关研究；书写实验记录，整理研究数据形成实验结论；2、参加技术攻关，解决与产品处方和工艺相关的技术问题；3、参与生产部门的对接，包括技术转移，风险评估；4、完成研发项目技术资料的撰写；5、负责完成小试阶段实验室研发与确...,医药制造,http://jobs.zhaopin.com/CC192974410J40804662114.htm,1000-9999人,2025-09-18 18:05:18,25000.0,35000.0,13.0
