职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
软件开发（头部智驾，hmi后端、mcu、应用软件、中间件、数据闭环、系统集成等方向多hc）,武汉,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"C++,ADAS开发,ROS,数据采集",30000-60000,mcu方向：1.负责基于AUTOSAR CP 架构的各模块的设计与开发工作，包括但不限于：OS、通讯、诊断、OTA、系统管理、时间同步、信息安全、功能安全等模块。2.负责分析软件运行过程中的实时性、稳定性问题，优化软件性能。2.负责MCU的功能软件集成，集成测试，软件维护及版本管理。3.负责MCU软件设计文档和测试用例的的输出。数据闭环：1. 负责数据采集和数据闭环软件的功能开发，完成数据流对接、...,咨询服务,http://jobs.zhaopin.com/CC453635220J40857741103.htm,1000-9999人,2025-11-20 14:16:38,30000.0,60000.0,15.0
BI产品研发主管,武汉,东华医为科技有限公司,本科,5-10年,"Java,Oracle,MySQL,Javascript,jQuery,ETL,FineReport",30000-50000,岗位职责1) 根据公司的发展战略，负责带领团队进行医疗BI产品的前瞻性规划、技术路线和架构设计；2) 负责推动医疗BI产品的市场调研和竞品分析，提出相应的解决方案；3) 负责制定医疗BI产品产品开发计划，指导和攻关解决开发过程中的关键问题，确保产品开发的进度与质量；4) 负责完成本团队的绩效执行与考核，以及梯队建设、人员技能培养和提升等管理工作；5) 负责制定本团队所负责产品的相关技术标准，以及完...,IT服务,http://jobs.zhaopin.com/CC649781480J40462618005.htm,1000-9999人,2026-01-11 00:18:02,30000.0,50000.0,12.0
数据治理与数据分析工程师,武汉,中交第二公路勘察设计研究院有限公司,硕士,3-5年,"Sql,PACHE ATLAS,DATAHUB",25000-45000,岗位职责：1. 负责企业级数据治理体系建设，包括数据标准制定、元数据管理、数据质量监控等；2. 设计并实施数据资产管理方案，构建数据血缘图谱和分类分级体系；3. 开发数据分析模型，通过数据挖掘发现业务洞察，支持决策优化；4. 搭建数据质量评估体系，建立数据质量规则库和修复流程；5. 制定数据安全合规策略，满足GDPR等数据监管要求 。技术要求：1. 数据治理核心工具- 熟悉数据血缘关系 (元数据管...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40737260709.htm,1000-9999人,2025-05-22 16:44:28,25000.0,45000.0,12.0
大数据开发工程师-补贴2w-海外出差-短期,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"Spark,数据库开发,数据中台开发,MaxCompute,PYSAPRK,SparkSQL,SCALA SPARK",20000-40000,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786765716.htm,10000人以上,2026-01-10 21:23:45,20000.0,40000.0,12.0
资深大数据架构师（医疗）,武汉,博科国信（武汉）科技有限公司,硕士,5-10年,"大数据开发,大数据架构",20000-35000,岗位职责：1.负责设计并实施分布式数据平台架构，优化数据存储、处理和分析流程，参与大数据平台产品的规划、设计、开发和选代，提升平台的稳定性、可扩展性和易用性。2.基于Hadoop、Spark、Flink等大数据处理框架，设计并实现高效的海量数据模型，确保数据的高效存储与访问。负责数据开发流程，包括数据清洗、转换、加载及数据治理工作，以满足业务对数据的高并发访问需求。3.利用开源框架进行大数据的采集...,在线医疗,http://jobs.zhaopin.com/CC467559980J40816527507.htm,100-299人,2026-01-11 00:40:42,20000.0,35000.0,12.0
大数据架构师,武汉,华信永道,本科,5-10年,"数据库开发,数据仓库,大数据开发",25000-35000,岗位职责：1、负责数据中台的架构设计，制定技术路线和解决方案，支撑数据采集、存储、计算、分析等全链路需求。2、结合业务需求，设计高可用、可扩展、安全的大数据技术架构（如批处理、实时计算、数据湖、数据仓库等）。3、主导技术选型，评估并引入适合的大数据工具与框架（如Hadoop、Spark、Flink、Kafka等）。4、制定数据治理策略，包括元数据管理、数据血缘追踪、数据生命周期管理等。5、与业务部...,计算机软件,http://jobs.zhaopin.com/CC214592910J40781146216.htm,500-999人,2025-12-16 09:56:16,25000.0,35000.0,12.0
大数据开发 印尼/新加坡 短期项目（有出差补贴）,武汉,软通动力信息技术(集团)股份有限公司,大专,5-10年,"大数据迁移,Hadoop,Flink,Spark,Sql",20000-40000,关键字：华为云大数据， 大数据迁移、pysaprk、python、scala spark主要职责：1、负责大数据搬迁和系统集成。2、利用华为云数据迁移工具搬迁数据仓库并进行数据核对。3、处理海量数据，进行实时和批处理分析，支持业务需求。4、具备良好的SQL优化能力；能够完成数据比对工作，并且在数据出错时，有能力根据数据济追溯并定位出问题脚本。任职资格：1、5年大数据开发经验，熟悉大数据相关技术栈。...,互联网,http://jobs.zhaopin.com/CC000544460J40786308116.htm,10000人以上,2026-01-10 01:49:13,20000.0,40000.0,12.0
研发总监（大数据）,武汉,博科国信（武汉）科技有限公司,硕士,3-5年,"大数据开发,大数据架构",20000-35000,岗位职责：1、管理职责（1）参与制定公司软件产品的发展方向，确定公司产品框架及开发实施计划；（2）负责研发部门日常管理工作（建立和完善流程规范，任务分配和进度质量管控，技术指导，代码算法审核，人员培训，绩效考评）；（3）负责研发团队的搭建与整体研发能力的提升（4）全面监控产品开发质量、进度和成本控制；（5）完善公司产品研发管理相关流程、制度和标准，平衡产品研发的效率与质量。2、技术职责（1）负责产...,在线医疗,http://jobs.zhaopin.com/CC467559980J40820040207.htm,100-299人,2026-01-11 00:21:21,20000.0,35000.0,12.0
数据治理工程师,武汉,东风汽车,本科,3-5年,数据治理,15000-30000,岗位职责:1、搭建并优化营销、制造、车联网等价值链的数据治理体系，包括数据标准、质量、安全及生命周期管理；2、推动数据资产化，解决数据孤岛问题，提升数据可用性与一致性；3、制定数据治理流程规范，联动业务与技术团队落地执行，持续改进数据质量。 任职要求:1、计算机 / 信息管理等相关专业，本科及以上学历，3年以上数据治理经验；2、熟悉数据建模、元数据管理、数据质量管理工具，了解大数据平台技术；3、具...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40826165905.htm,10000人以上,2026-01-11 01:12:05,15000.0,30000.0,12.0
全国均有岗位（开发、测试、算法、数据分析等）可接受应届毕业生,武汉,外企德科数字技术有限公司,本科,经验不限,"Java,Python,C/C++",15000-30000,公司福利：1. 底薪+绩效+项目奖金+年终奖；2. 全额缴纳五险一金；3.一年数次考评，薪资可上浮~4.带薪年假5-15天，双休；5.享有健身房、班车、加班打车报销等软性福利。岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40794379505.htm,10000人以上,2026-01-11 00:24:41,15000.0,30000.0,14.0
