职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
居家游戏陪打树洞单多有底薪,武汉,南京湖心传媒有限公司,学历不限,经验不限,,,招聘以下兼职，学生党，宝妈，上班族皆可做。1. 🔥语音接待客服急招｜全职/兼职任选！✅ 工作内容：居家打字聊天+语音接待，无硬性要求，轻松上手✅ 薪资福利：底薪+高额提成，工资周结不押款，日均100-500+，多劳多得✅ 报名条件：会用手机/电脑，沟通流畅，时间自由安排👉 私信即可报名，当天可上岗！2. 🎮陪打游戏和树洞兼职热招中！✅ 工作内容：陪打游戏、日常唠嗑、情感倾听，主打轻松互动✅ ...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1501358600J40823239514.htm,100-299人,2025-11-24 00:00:02,,,
电话客服/双休不加班/接受零经验/,武汉,武汉海居房地产经纪有限公司,学历不限,经验不限,"电话客服,全白班,兼职",21000-40000,双休+朝9晚6杜绝加班!公司包资源包资源，好上手接受小自，店长手把手带你开单!手机上跟客户聊聊天 轻松月入过万!入职租房免中介服务费，无业绩考核!不限学历、经验 团队颜值在线，氛围超活跃!【薪资福利】1、新手勤快点月入1万8-37000左右;【Top1】月入 11万+。2、2个月可晋升储备店长，4个月可晋升店长。两年即可拥有一个自己的房产公司3、超长假期，可以说走就走地旅行4、五险一金+开单奖+季...,房地产中介,http://jobs.zhaopin.com/CC423350710J40655044406.htm,1000-9999人,2025-03-19 18:31:34,21000.0,40000.0,12.0
畅享十一小长假/真实底薪7200/包餐下午茶,武汉,湖北壹鑫商务咨询有限公司,学历不限,经验不限,"100%精准客源,同行开单率超前",15000-30000,离地铁口10米，通勤超级方便！！！汉口 武昌都有公司，可以就近安排！！！我们会为你提供：1. 真实底薪7200+40%高提成+奖金+五险+纯办公室办公2. 武汉同行业Top 1实时数据，开单率高有保障3. 公司发展迅猛，晋升公开透明，三月一晋升4. 高规格办公环境，零食柜 微波炉 饮水机 冰箱全部提供5. 一周至少三次实现下午茶自由，疯狂星期四，快乐周五，在公司有享不尽的吃喝自由#工作详情：工作时...,咨询服务,http://jobs.zhaopin.com/CCL1501030540J40719361106.htm,100-299人,2026-01-04 09:52:32,15000.0,30000.0,12.0
前端客服专员底薪无责6000+超长年假,武汉,武汉高分贝商务咨询有限公司,高中,无经验,"售前客服,电话客服,全白班,电话邀约,客服专员,小白应届生",15000-30000,注:此岗位为公司直招哦!，不收取任何费用，请放心投递年假15天以上!年假15天以上!年假15天以上!薪资福利:1、底薪无责6000+提成40%+社保+奖金（3K-3W），新人前期在8k以上目前均薪也在2w-5w以上2.带薪培训，有专业人指导，轻松上手!3.带薪年假，定期团建等!4.工龄奖：每三个月无责底薪涨300元！ 工作时间:9:00—11:50 14:00—18:00 节假日正常休。交通便捷，...,银行,http://jobs.zhaopin.com/CCL1503159200J40799612607.htm,20-99人,2025-11-09 14:04:10,15000.0,30000.0,12.0
半导体设备工程师（客服）,武汉,湖北智通人才服务有限公司,本科,3-5年,"半导体设备维护保养,半导体设备安装调试",15000-30000,工作职责1.负责半导体pvd，fur，wet，etch等设备的接货、安装、调试和验收工作；2.已随时响应客户需求，解决客户设备使用问题，进行设备的日常维护和技术支持，客户设备使用培训；3.客户需求信息搜集和反馈，建立与客户的良好合作关系，推动备件销售和设备的二次销售；4.撰写设备日常维护日志、周志和月报告；5.完成部门安排的其它工作。任职资格1.本科以上学历，机电、微电子、控制、自动化等理工科硬件...,人力资源服务,http://jobs.zhaopin.com/CCL1281352430J40870345808.htm,1000-9999人,2025-09-12 14:20:00,15000.0,30000.0,12.0
我是老板 大量要人 无责7200 面完就上班,武汉,湖北壹鑫商务咨询有限公司,学历不限,经验不限,"接受应届生,接受小白,带薪培训",15000-30000,工作内容简单易上手，3-5天专业带薪培训！薪资待遇无责底薪7200+40%高提成+奖金+五险+纯办公室办公#工作详情：工作时间：8：30-17：30，中午休息两个小时公司福利：缴纳五险，生日福利，周日休息，节假日正常休息，团建聚餐，节日福利等等～公司都是年轻化团队，人性化扁平式管理，宽阔办公环境，舒适工位～欢迎各位帅哥美女加入我们的大家庭！,咨询服务,http://jobs.zhaopin.com/CCL1501030540J40698192906.htm,100-299人,2026-01-04 09:12:48,15000.0,30000.0,13.0
交行客服【月入2万+周末双休+食堂不加班】,武汉,银雁科技服务集团,大专,无经验,"账单还款提醒,五险一金,保底5500",17000-27000,【任职要求】年龄20-45岁之间，大专及以上学历，沟通表达能力强，抗压能力强，经验不限，可小白!【薪资待遇】1、保底5500，无责底薪3000+(500奖金)+提成，【前两个月补贴1500】综合薪资:17000-27000及以上，下有保底上不封顶。2、入职就买五险一金，有食堂，生日福利，节假日福利，年终奖【上班时间】9点-19点，双休(会涉及轮休)，节假日正常休假。,计算机软件,http://jobs.zhaopin.com/CC853113380J40713345409.htm,10000人以上,2025-12-02 16:50:03,17000.0,27000.0,12.0
二次续费客服-有无经验均可带薪培训,武汉,北京千里马时代信息技术有限公司,学历不限,经验不限,,14000-26000,工作内容：负责已经签约过的客户二次销售，续签非常容易，因为前期已经签约过了所以上手很简单。薪资待遇：早九晚六，单双休 ，节假日福利无责底薪+提成+绩效奖金=综合薪资8000-15000,企业服务,http://jobs.zhaopin.com/CCL1210124840J40861141612.htm,1000-9999人,2026-01-11 01:31:05,14000.0,26000.0,12.0
医美客服专员,武汉,武汉美加壹汉医学美容门诊有限责任公司,学历不限,经验不限,"光电美容,现场咨询,网络咨询",13000-26000,岗位内容：1. 积极开拓新客户，扩大市场份额，并维护老客户关系；2. 负责跟进患者预约，确认手术计划，指导术后保养；3. 不断优化客户体验，满足患者需求，提升公司服务水平。任职要求：1. 具备较强的市场开拓和执行能力，并熟知医美行业销售策略和方法；2. 具备良好的沟通和表达能力，优秀的人际关系管理能力；3. 对待工作认真负责，具备快速学习和适应能力。上班时间:周一至周五10点~16点(双休!法定节...,医院,http://jobs.zhaopin.com/CCL1464105090J40714360109.htm,100-299人,2025-05-21 11:52:20,13000.0,26000.0,12.0
用户关爱中心经理-奕境,武汉,东风汽车,本科,3-5年,,15000-25000,岗位职责:1、负责用户关爱中心的发展战略，构建和完善符合新能源汽车行业特点及公司品牌定位的客户服务体系、标准化流程、服务规范和质检标准；2、主导客服系统（呼叫中心、CRM、在线客服等）的规划、选型、升级与优化，确保技术平台支撑业务高效运转；3、全面负责客服中心日常运营管理，监控热线、在线、APP、社交媒体等多渠道客服运营情况；4、建立高效的客诉收集、分发、处理、跟踪和闭环机制，确保客户诉求有效倾听...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40831518105.htm,10000人以上,2026-01-09 11:18:47,15000.0,25000.0,12.0
