职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
技术支持副总监,武汉,青葵智造(北京)科技有限公司,本科,3-5年,,100000-180000,一、岗位职责1.负责技术支持团队梯队建设，制定团队绩效考核标准与培训体系，提升团队专业能力与协作效率，确保团队目标高效达成。2.统筹重大项目的解决方案设计、投标全流程管理，保障项目投标竞争力与中标率。3.核心客户的高层拜访、技术交流与关系维护，深度挖掘客户潜在需求与行业痛点，制定定制化项目解决方案。4.统筹协调跨部门资源，建立高效协同机制，针对重点项目的目标、周期与风险进行全局把控，解决项目推进中...,机器人,http://jobs.zhaopin.com/CCL1365352550J40897655008.htm,20-99人,2025-12-19 11:11:26,100000.0,180000.0,12.0
暖通技术专家,武汉,武汉所为科技有限公司,硕士,3-5年,"算法研究,智慧城市,MATLAB,暖通节能算法",40000-80000,1、负责暖通节能策略、故障预警、负荷预测等算法模型的开发工作；2、制定开发计划，协调算法工程师、软件工程师实现算法模型的应用落地；3、制定暖通智控算法的前瞻性战略方向及目标。岗位要求：1、建筑环境及能源应用工程等暖通相关专业硕士以上学历；2、两年及以上暖通智控算法开发（如基于MPC模型预测的冷热源系统的优化控制算法、冷水机组故障诊断、冷机能耗预测模型等）、大型暖通系统能效分析等相关工作经验；3、了...,物联网,http://jobs.zhaopin.com/CC817288680J40482909908.htm,20-99人,2026-01-06 01:19:05,40000.0,80000.0,12.0
端侧算法专家(J40850),武汉,海信集团,本科,经验不限,"深度学习,端侧算法,PyTorch,TensorFlow,Python,C++,端侧推理框架",,岗位职责:1.负责海外智能电视平台的端侧AI能力建设与算法落地，从零到一搭建核心技术栈，并主导技术路线图的规划与演进。2.设计并实现高性能、可扩展的端侧统一推理框架，支持CPU/GPU/NPU等多后端异构计算，建立设备能力评估与性能自动优选机制。3.主导端侧模型轻量化全流程，包括但不限于量化、剪枝、蒸馏、算子融合等，建立并持续优化性能基准（延迟、内存、功耗）。4.负责核心视觉与自然语言处理算法在资...,电子设备制造,http://jobs.zhaopin.com/CC132067430J40856231003.htm,10000人以上,2025-11-14 14:21:43,,,
研发总监（换热器 压力容器）,武汉,南方新华,本科,3-5年,"换热器,压力容器,工业换热器",50000-70000,岗位职责1.战略规划与领导： 全面负责公司液冷散热技术的中长期战略规划、研发路线图制定与执行，确保技术领先性。2.团队建设与管理： 领导并扩建一支高水平的液冷研发团队，负责团队建设、人才培养、绩效管理和技术赋能。3.研发项目管理： 主导关键技术与产品的研发项目（如冷板式液冷、浸没式液冷等），对项目进度、质量、成本和成果负责。4.工艺战略、建设与工艺开发：建立并完善从新品试制到批量生产的全流程工艺规...,人力资源服务,http://jobs.zhaopin.com/CC346219280J40813895611.htm,100-299人,2025-12-23 17:45:53,50000.0,70000.0,12.0
资深软件chief engineer,武汉,上海圣驭管理咨询有限公司,本科,5-10年,,35000-65000,"Chief EngineerJob Purpose:Product Software Development, Chief Engineer will be the lead software interface to the customer and responsible for driving software delivery with quality on schedule Key Jo...",农/林/牧/渔,http://jobs.zhaopin.com/CC372339510J40867394203.htm,20-99人,2026-01-04 14:17:16,35000.0,65000.0,14.0
具身智能技术应用工程师,武汉,中财信忠(临沂)人力资源服务有限责任公司,本科,经验不限,机器人项目,30000-60000,岗位职责1. 技术执行：协助完成具身智能场景方案落地，参与多模态数据预处理、算法部署测试；协助搭建数据采集流水线；参与搭建仿真 Demo 场景（MuJoCo/Isaac Sim/MotrixSim）；参与强化学习或模仿学习任务开发。2. 测试与文档：协助编写完整技术文档（操作手册/测试报告）；参与性能评估，整理测试数据并输出优化建议。3. 社区辅助：协助维护技术社区，分析用户反馈并整理报告；配合筹...,人力资源服务,http://jobs.zhaopin.com/CCL1500801770J40813587801.htm,20-99人,2025-12-23 08:37:24,30000.0,60000.0,12.0
技术总监（ROV/水下机器人方向）,武汉,武汉鸿规勘测设计有限公司,本科,5-10年,"ROV,AUV",30000-60000,【岗位职责】● 全面负责ROV/AUV/两栖潜航器产品的技术规划与架构设计；● 主导控制系统、动力系统、通信、密封舱、电池管理、姿态控制等核心模块研发；● 制定产品技术路线与研发标准，规划从原型到量产的整体路径；● 管理硬件、电气、算法、嵌入式、视觉识别等跨领域研发团队；● 主导系统集成与验证，组织样机测试、海试及可靠性验证；● 引入前沿技术（AI视觉识别、声纳测绘、DVL定位、岸基供电等）；● ...,房地产开发,http://jobs.zhaopin.com/CC218622980J40821382314.htm,20-99人,2025-11-13 16:17:41,30000.0,60000.0,12.0
高级AI算法工程师,武汉,湖北万维科技发展有限责任公司,硕士,5-10年,"机器学习,深度学习,多模态算法,Python,C++,GNN,TensorFlow,PyTorch",40000-60000,岗位职责1、负责复杂AI项目的架构设计和核心算法开发。2、指导团队进行模型训练、优化和部署，提升算法性能和效率。3、探索前沿技术，结合业务需求进行创新性算法研究和应用。4、与跨部门团队合作，推动AI技术在实际业务中的落地。任职要求1、学历要求：硕士及以上学历，计算机科学、人工智能、机器学习、自动化、数学或相关专业，985/211高校毕业优先。2、工作经验：8年以上相关工作经验，具备工业级AI项目开...,计算机软件,http://jobs.zhaopin.com/CC214063610J40829457915.htm,100-299人,2025-04-10 15:25:51,40000.0,60000.0,12.0
暖通算法专家/能源系统架构师,武汉,武汉所为科技有限公司,硕士,3-5年,"暖通节能算法,智慧城市",30000-50000,核心定位：作为算法团队的物理大脑负责构建暖通系统的数理模型，主导控制策略的顶层设计。岗位职责：1、物理建模与仿真： 负责构建高精度的暖通系统白盒/灰盒模型（基于热力学与流体力学第一性原理），为AI算法提供物理约束边界2、高阶控制策略： 摒弃简单的PID逻辑，主导开发基于模型的预测控制（MPC）、全局寻优控制、预测性维护等高阶算法3、机理与数据融合： 解决纯数据驱动在工程落地中的泛化性差、不可解释问...,物联网,http://jobs.zhaopin.com/CC817288680J40907263808.htm,20-99人,2026-01-06 01:20:32,30000.0,50000.0,12.0
高级ai算法工程师,武汉,东莞美璟供应链管理有限公司,硕士,5-10年,"机器视觉,AI算法,AI视觉",30000-50000,工作职责：1. 主要从事研究、设计，开发和优化AI在视觉与三维点云等方向算法模型，不限于图像处理，3D点云处理，特征匹配和三维重建，点云分类等；2. 负责点云，视觉相关功能算法研究，开发，优化与工程化部署；3. 负责撰写算法开发与测试文档编写，协助算法维护4. 持续跟踪最前沿的AI在视觉与点云相关领域的技术并应用落地，并结合公司的业务员场景进行方案设计和算法实现；任职要求：1. 计算机、数学、测绘...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40820284007.htm,20-99人,2025-12-31 16:38:19,30000.0,50000.0,12.0
