职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
机械设计工程师,武汉,深圳市新凯来技术有限公司,本科,5-10年,"研发,设计,结构设计,非标设备,装配设备,精密设备",26000-50000,岗位职责：1、从事半导体设备精密机械平台及相关部件的设计与开发工作，负责机械总体方案、机械结构设计、加工工艺、仿真分析（包含力学、热、电气、人机工程等）、运动学/动力学求解、减振设计、公差分析等；2、负责精密机械零件加工工艺指导和质量控制，设备机械部件的精密装配与测试测量，配合各模块研发人员完成产品总装与调试等；3、探索超精密加工和装配工艺瓶颈，突破工程极限，打造领先的超精密运动机械产品。任职要求...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40892890115.htm,1000-9999人,2026-01-07 11:11:54,26000.0,50000.0,15.0
洗衣机-干衣机结构高级工程师,武汉,小米通讯,本科,5-10年,"散热测试,散热设计,BOM,散热仿真,热泵,烘干机,干衣机,洗碗机",25000-50000,职位描述- 负责热泵烘干机整体结构设计及零部件优化，熟悉热泵风系统或换热系统结构设计者优先- 参与热力学仿真、材料选型及机械结构可靠性验证- 输出设计图纸、BOM清单及技术文档- 负责各结构部件的开发规范撰写职位要求①干衣机相关5年及以上工作经历； ②熟练掌握UG/CAD等设计软件； ③熟悉家电国家和行业标准、实验方法； ④具有一定的项目管理能力和团队协作能力。,互联网,http://jobs.zhaopin.com/CC483710520J40785584814.htm,10000人以上,2025-12-26 01:37:00,25000.0,50000.0,16.0
车载硬件开发工程师,武汉,上海圣驭管理咨询有限公司,本科,5-10年,"设计,技术支持,硬件测试",25000-45000,"Mission of the Role:The HW Engineer is tasked with leading Cockpit Domain Controller or Display HW design, delivery the cost competitive solution and robust products with high efficiency. Key Objectiv...",农/林/牧/渔,http://jobs.zhaopin.com/CC372339510J40857557903.htm,20-99人,2026-01-04 12:44:10,25000.0,45000.0,14.0
高级研发工程师,武汉,浙江华工赛百数据系统有限公司,博士,经验不限,"研发,非标设备,UGNX,AutoCAD,SolidWorks",35000-45000,本岗位属于华工科技智能制造业务1.智能物流核心装备研发：负责物流仓储，如穿梭车等设备的机械结构创新设计、动力学分析与可靠性验证，满足高精度、高负载作业需求。2.突破关键技术瓶颈：攻克高密度存储、动态分拣场景下的运动控制精度、多机协同调度等机械系统难题。3.创新机构设计与优化：开发新型输送/抓取/定位机构（如柔性夹具、仿生抓取臂），提升物流系统效率和适应性。4.机电系统集成与验证：主导机械结构与驱动...,计算机软件,http://jobs.zhaopin.com/CC837706020J40759773910.htm,20-99人,2025-08-12 17:20:41,35000.0,45000.0,12.0
洗衣机-波轮高级结构工程师,武汉,小米通讯,本科,5-10年,"结构设计,产品设计,结构测试实验,家居清洁,波轮洗衣机,新品开发方案,成本优化,质量管理,设计软件",25000-50000,职位描述1. 根据项目要求，提出波轮洗衣机新品结构方案，并跟踪模具、试制、实验等，推动问题解决；2. 对量产的产品进行成本优化设计，并解决出现的质量反馈； 3. 推动产品设计平台化、模块化，并对新方案申请专利保护； 4. 分析指导合作方的结构方案。职位要求1. 学历：本科及以上学历；2. 工作经验：波轮洗衣机相关 5 年及以上工作经历； 3. 具备知识及技能：①熟练掌握UG/CAD等设计软件； ②...,互联网,http://jobs.zhaopin.com/CC483710520J40785506714.htm,10000人以上,2025-12-26 01:37:00,25000.0,50000.0,16.0
技术部经理,武汉,湖北天华智能装备股份有限公司,本科,10年以上,"非标机械设计,起重,自动化",20000-40000,岗位职责：1、根据公司技术规划要求，组织制定公司技术革新、产品开发、工艺规范、技术团队建设的中短期规划，报公司总经理审批并付诸于实施。2、负责新产品的开发落实和相关协调工作，管理产品开发流程。3、根据公司现状结合市场和客户需要，带领团队不断完善和革新公司现有产品。4、定期收集行业前沿及相关竞争对手的产品信息，把握好产品研发和革新方向，确保公司产品在市场中处于前列，为企业中长期的发展提供技术支撑。5...,专用设备制造,http://jobs.zhaopin.com/CC857249250J40728751401.htm,100-299人,2026-01-10 01:00:19,20000.0,40000.0,12.0
离心式压缩机结构设计师,武汉,湖北三峰透平装备股份有限公司,本科,5-10年,非标设备,20000-40000,岗位职责：1、核心部件设计：负责离心压缩机核心旋转部件（叶轮、主轴、轴承座）及承压静止部件（蜗壳、隔板、密封）的详细结构设计、出图与优化2、分析与验证：运用仿真工具对关键部件进行强度、振动（模态）、转子动力学及热变形分析，确保安全与可靠性。3、研发与改进：参与新产品研发与样机试制，解决测试中的结构问题；对现有产品进行降本、增效、减重的持续设计改进。4、协同与支持：与气动、工艺、测试等部门紧密协作，...,专用设备制造,http://jobs.zhaopin.com/CC825963230J40819691611.htm,500-999人,2026-01-08 11:54:34,20000.0,40000.0,12.0
工业设计师,武汉,中建三局,本科,5-10年,工业设计,20000-40000,学历要求：本科及以上工业设计、产品设计等相关专业工作经验：5年以上工业设计工作经验。岗位职责：负责工业化病房空间智能体产品整体工业设计，涵盖模块化外观、空间布局，兼顾医疗功能适配性、生产可行性与美观性；深入调研医疗场景用户需求，结合医疗流程规范输出符合临床习惯的设计方案；协同研发、工程团队推进设计方案评审与落地，完成效果图、三维模型及设计规范输出，跟踪打样试产过程并优化设计缺陷，同时关注行业前沿趋...,工程施工,http://jobs.zhaopin.com/CC673825220J40819189701.htm,10000人以上,2026-01-07 17:20:41,20000.0,40000.0,12.0
硬件研发总监,武汉,武汉脉博人力资源有限公司,本科,5-10年,"硬件测试,设计,LED研发",30000-40000,岗位职责：1、全面负责公司硬件、结构、工艺等相关模块工作，制定技术路线，把握技术发展方向，确保技术可行性和产品竞争力2、参与公司产品战略的制定，以及硬件类相关产品评审，为公司产品规划目标从技术角度提供决策支撑3、参与供应商及合作伙伴的评估与筛选工作，从技术的角度支持公司供应链体系建设及三方设计/施工方案的选型4、负责新一代微间距LED直显产品交付工作，包括方案评估、硬件设计（结构/PCB）、调试及...,人力资源服务,http://jobs.zhaopin.com/CCL1492665750J40825302009.htm,20-99人,2026-01-06 16:06:46,30000.0,40000.0,12.0
压缩机研发结构工程师,武汉,湖北三峰透平装备股份有限公司,本科,5-10年,"非标设备,特种设备",20000-40000,致未来并肩攀登的“压缩机研发结构工程师”：这里不仅是一个岗位，更是一个定义压缩机“心脏”的席位。作为一家拥有68年技术积淀的国家级专精特新小巨人企业、国家卓越级智能工厂，我们年服务订单超10亿，人均产值行业领先。我们笃信“以山为峰做产品”，将全部资源倾注于一个高峰：打造世界级可靠与高效的透平装备。因此，我们寻找的，是一位能共享这份技术信仰的长期伙伴：你坚信，一张图纸的价值，最终必须由它在客户产线上...,专用设备制造,http://jobs.zhaopin.com/CC825963230J40818859811.htm,500-999人,2026-01-05 14:45:57,20000.0,40000.0,12.0
小米家用空调结构工程师,武汉,小米通讯,本科,5-10年,空调设计,20000-40000,家用空调结构工程师职位描述1.参与新产品的的任务需求的评估确认、产品开发技术路线确认；2.参与空调新品ID、新功能模组等方案的可行性评估；3.负责产品开发结构方案的相关评审工作，对其安全性、可靠性、合理性、完整性负责；4.负责空调新品的结构方案设计、验证、确认工作及产品模具的开制、验收工作；5.负责老产品结构优化和新技术、新材料、新功能研究工作；6.负责产品开发各流程阶段所需技术文件的编制和下发；...,互联网,http://jobs.zhaopin.com/CC483710520J40784707914.htm,10000人以上,2025-12-27 01:36:24,20000.0,40000.0,16.0
结构耐久仿真工程师,武汉,湖南拓维云创科技有限责任公司,学历不限,5-10年,商用车,20000-40000,1、负责按照仿真规范完成结构耐久底盘及车身的分析优化工作；,互联网,http://jobs.zhaopin.com/CC889005020J40851319713.htm,1000-9999人,2025-12-23 09:53:29,20000.0,40000.0,12.0
大功率电源硬件高级工程师,武汉,广州金升阳科技有限公司,本科,10年以上,"电源,大功率,硬件研发",25000-40000,岗位职责: 1、负责大功率ACDC电源的技术开发； 2、负责项目的进度把控，对技术难点分析及改进，提供解决方案； 3、负责项目的总体方案评估，关键技术、核心功能的风险识别，方案选型，关键物料选型，关键电路仿真，计算书书写； 4、核心产品技术攻关，新技术的研究。 任职要求: 1、硕士5年/本科6年以上中大功率开关电源产品设计开发工作经验； 2、能独立开发300W-50KW电源产品； 3、熟悉模拟电路...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC136037370J40801117705.htm,1000-9999人,2025-12-16 14:23:28,25000.0,40000.0,12.0
机械设计工程师,武汉,深圳市新凯来技术有限公司,本科,经验不限,"研发,设计,结构设计,精密设备,工装设备,钣金工艺,CATIA",20000-40000,1、从事精密机械平台及相关部件的设计与开发工作，负责机械总体方案、机械结构设计、加工工艺、仿真分析、公差分析等；2、负责精密机械零件加工工艺指导和质量控制，设备机械部件的精密装配与测试测量，配合各模块研发人员完成产品总装与调试等；3、负责识别、分析精密设备结构的设计需求，基于需求给出稳定、可靠的结构设计方案。4、负责精密设备系统中的机械结构设计和装配设计，保证相关模组的角度和位置装配精度。5、探索...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1362239030J40908976615.htm,1000-9999人,2025-12-09 09:26:54,20000.0,40000.0,12.0
机械结构工程师,武汉,仙微视觉科技(南京)有限公司,本科,3-5年,光机结构,20000-40000,岗位职责：1.负责对光机产品结构设计，配合光学设计，完成光机系统和零件设计；2.进行精密光学系统的光机结构部分指标的误差分析及分配；3.负责光机部分设计方案的撰写，设计图纸、技术标准等技术文档的撰写输出；4.负责光机结构部分机械零件的加工和验收，提供装配、调试阶段的现场技术服务，及时解决现场技术问题；5.参与精密光学系统的集成装调和性能测试。任职要求：1.本科及以上学历，5年以上工作经验，光学、精...,医疗设备/器械,http://jobs.zhaopin.com/CCL1409131210J40799753411.htm,20-99人,2025-10-29 16:01:48,20000.0,40000.0,12.0
施工经理 (MJ000450),武汉,湖北省电力规划设计研究院有限公司,本科,3-5年,一级建造师,,技能要求：深入海外总承包项目施工现场，负责施工现场管理，在投标、施工、调试、试运、收尾、移交等阶段行全过程的技术监督和指导，全面保证施工进度、工程质量、现场HSE和费用控制等目标的完成。不断完善工程技术标准化建设，提高项目管理技术水平。岗位职责：1)参与项目开工前现场补充调查，充分掌握工程现场情况，协助项编制项目实施计划。2)负责编制施工三级进度计划，参与合同研读和分包方案策划。3)督促并审核施工...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC132009820J40798893309.htm,1000-9999人,2025-10-16 18:25:30,,,
机械工程师/工业方向,武汉,盛视科技,硕士,1-3年,,25000-40000,工作任务：· 设计机械子组件，并确保其从规格制定到生产制造的可行性· 在机器人的整个生命周期内，对机械子组件进行更新和改进· 确保子组件或功能（工作包负责人）在机电一体化开发中的一致性主要职责：· 与研发团队协作，设计机械架构和装配方案· 按照选定的设计规则（3D 打印、钣金、机械加工、注塑等），使用绘图软件进行 3D 建模· 制作技术图纸（2D 图纸、尺寸链分析），为工业化生产做准备所需技能：专...,人工智能,http://jobs.zhaopin.com/CC152838410J40710785606.htm,500-999人,2025-09-03 10:23:37,25000.0,40000.0,13.0
光机工程师,武汉,仙微视觉科技(南京)有限公司,本科,5-10年,"研发,光学显微镜",20000-40000,岗位职责：1.负责对光机产品结构设计，配合光学设计，完成光机系统和零件设计；2.进行精密光学系统的光机结构部分指标的误差分析及分配；3.负责光机部分设计方案的撰写，设计图纸、技术标准等技术文档的撰写输出；4.负责光机结构部分机械零件的加工和验收，提供装配、调试阶段的现场技术服务，及时解决现场技术问题；5.参与精密光学系统的集成装调和性能测试。任职要求：1.本科及以上学历，5年以上工作经验，光学、精...,医疗设备/器械,http://jobs.zhaopin.com/CCL1409131210J40798706211.htm,20-99人,2025-10-27 11:24:15,20000.0,40000.0,12.0
电芯模组结构开发-0028,武汉,东风汽车,本科,3-5年,,20000-40000,岗位职责：1、负责电池模组结构设计和相关零部件设计选型（CCS、端侧板等）及新材料、新工艺的开发；2、负责电芯模组的设计图纸、规范、DFMEA、标准和流程的编制；3、负责对产品在试产、量产中发现的设计问题进行系统地工程科学分析，提出改进建议；4、统筹并推动电芯模组工艺开发、电芯模组DVPV测试等相关工作进展；5、按时按质完成领导交办的其它工作，并按领导要求跟进相关工作进展并完成汇报。素质要求：1、...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40778605305.htm,10000人以上,2025-05-22 18:48:53,20000.0,40000.0,12.0
机械工程师,武汉,盛视科技,硕士,3-5年,研发,25000-40000,工作任务：· 设计机械子组件，并确保其从规格制定到生产制造的可行性· 在机器人的整个生命周期内，对机械子组件进行更新和改进· 确保子组件或功能（工作包负责人）在机电一体化开发中的一致性主要职责：· 与研发团队协作，设计机械架构和装配方案· 按照选定的设计规则（3D 打印、钣金、机械加工、注塑等），使用绘图软件进行 3D 建模· 制作技术图纸（2D 图纸、尺寸链分析），为工业化生产做准备所需技能：专...,人工智能,http://jobs.zhaopin.com/CC152838410J40709778806.htm,500-999人,2025-09-03 10:22:38,25000.0,40000.0,13.0
led显示屏结构工程师,武汉,上海圣驭管理咨询有限公司,本科,5-10年,显示屏,25000-35000,"Mission of the Role: The Displays Systems Engineer will be responsible for the design, development, and validation of automotive display systems. This role involves working closely with cross-function...",农/林/牧/渔,http://jobs.zhaopin.com/CC372339510J40857557503.htm,20-99人,2026-01-04 12:45:27,25000.0,35000.0,14.0
无人机结构设计工程师（无人机固定翼*无人机璇翼*无人机机巢）,武汉,东莞美璟供应链管理有限公司,本科,3-5年,"无人机设计,多旋翼无人机,固定翼无人机,民用无人机,军用无人机",25000-35000,职责描述：1.根据项目需求，负责产品结构零部件结构设计及验证工作；2.完成研发样机试制，2D/3D图绘制及审核，整机BOM整理，编写相关技术文档；3.对产品出现的结构技术问题进行及时的分析和处理；4.完成领导及上级工程师交代的其它任务；任职要求：1本科及以上学历，机械设计及自动化等相关专业；2.具有独立设计机械结构的能力，熟练掌握CREO，CAD等三维及二维制图软件；3.对电气有一定了解，具备电机...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40799295307.htm,20-99人,2026-01-01 01:17:19,25000.0,35000.0,15.0
输电线路设计高级工程师,武汉,北京四方继保自动化股份有限公司,大专,10年以上,"电缆线路设计,高级工程师,高级职称,设计资质,输变电,220KV",20000-35000,需具备的工作/项目经验：能独立开展220kV及以下电站项目的线路相关设计工作，含初步设计、施工图设计、竣工图编制及技术支持工作，具备本专业相关计算书及设计文件的编制能力。需具备的核心专业技能：电力工程相关专业；熟悉变电站、新能源设计的相关国家及行业规范；高级职称;具备十年以上的设计资质单位工作经历。其他：作为设计负责人的业绩证明：中型项目（220kV）工程设计≥2项，或大型项目（≥330kV）1项,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC000599020J40810884707.htm,1000-9999人,2025-12-30 01:20:08,20000.0,35000.0,13.0
硬件工程师,武汉,深圳市海思瑞科电气技术有限公司,本科,3-5年,"原理图设计,嵌入式硬件开发,器件选型,PCB设计,硬件设计,元器件选型,FPGA研发,DSP研发,变流器、变频器",20000-35000,岗位职责：1.负责公司电力电子、储能等产品电路原理图设计、部分PCB制作及优化；2.新研产品硬件设计，包括设计文档的编写、原理图设计、PCB板layout、电路板焊接、样机制作；3.产品单板调试、整机组装调试、系统联调，与软件、结构、项目工程师进行配合调试工作，编写调试记录文档；4.产品硬件测试及其相关验证工作；产品转产文件输出，协助产品转产，导入生产系统；元器件选型及其测试验证；与各部门沟通配合...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC469741010J40246569513.htm,20-99人,2025-12-23 00:00:01,20000.0,35000.0,12.0
机械结构设计主管,武汉,博联众科(武汉)科技有限公司,硕士,5-10年,"精密设备,装配工艺,注塑工艺",20000-35000,【岗位职责】1、负责精密光机电系统整机和部件的结构设计、仿真分析、原型验证及量产转化；2、配合系统工程师，协同光学、电子、软件团队完成产品指标分解、方案制定及任务分配；3、参与产品转产工作，为制造、装配、调试环节提供技术指导，解决工艺问题；【任职要求】1、机械工程、光学工程，精密仪器等相关专业研究生及以上学历。2、5年以上结构设计工作经验，熟悉光学系统装调工艺，理解光学元件（透镜、反射镜等）与机械...,医疗设备/器械,http://jobs.zhaopin.com/CC343830680J40741099106.htm,100-299人,2025-12-12 11:21:45,20000.0,35000.0,13.0
