职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
中高级前端开发工程师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"HTML5,JavaScript,CSS,大屏/可视化项目,Vue,Flutter,Node.js",16000-25000,岗位职责：1、负责公司智慧社区平台及相关产品的前端架构设计、开发和优化，确保高性能、高可用性及良好的用户体验；2、与产品、UI、后端团队紧密协作，主导前端技术难点攻关，确保项目高质量交付；任职要求：1、5 年以上前端开发经验，熟练掌握 Vue3、TypeScript、ES6+ 等现代前端技术栈；2、精通 HTML5/CSS3，熟悉移动端适配（Flex/Grid/响应式布局）及性能优化；3、熟悉前端...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40818851601.htm,300-499人,2026-01-06 15:33:53,16000.0,25000.0,13.0
高级后端开发工程师,厦门,广州野马科技有限公司,本科,5-10年,"ＪＡＶＡ,ＭＹＳＱＬ,Redis,MongoDB,微服务架构,Java,SQL",15000-25000,【职责描述】1、主导低空物流调度中台的高并发、高可用、高性能架构设计与核心开发，支撑“美团/饿了么订单 → 无人机 → 智能货柜”全链路；2、深度对接无人机中控系统，实现：①任务下发（起飞指令、目标货柜）②实时状态同步（起飞、飞行中、投递成功/失败）③异常告警回传（如无人机返航、电量不足）3、对接美团、饿了么等第三方平台 API，实现订单智能分流与异常兜底机制；4、通过 HTTP/Webhook/...,搬家/生活配送,http://jobs.zhaopin.com/CC567850630J40825378410.htm,1000-9999人,2025-12-29 01:29:01,15000.0,25000.0,12.0
软件开发工程师,厦门,嘉庚创新实验室,本科,1-3年,"CSS,JavaScript,HTML5,React,Ant Design,Node.js,Echarts",12000-20000,"一、岗位职责:1. 负责组织官网的设计、开发和维护工作2. 参与科研成果转化项目，负责前端开发任务，包括数据可视化和基本的交互界面设计与开发。二、任职要求：1. 本科及以上学历，计算机/电子信息相关专业；2. 2年以上前端开发工作经验，具备良好的计算机基础和编码能力，参与过至少一个完整前端项目的开发工作；3. 熟练掌握多种前端技术，包括 HTML5, CSS3, JavaScript/TypeSc...",学术/科研,http://jobs.zhaopin.com/CCL1293679000J40910735815.htm,300-499人,2025-12-17 09:30:31,12000.0,20000.0,12.0
前端开发工程师,厦门,福建良瓷科技有限公司,本科,5-10年,"CSS,HTML5,JavaScript,Vue,uni-app,Node.js",14000-18000,岗位职责：1、参与需求评审，前端方案设计。2、与产品经理、UI设计师、后端工程师配合，完成移动端H5、小程序等前端工作开发。3、优化产品交互体验，保持系统在不同设备和浏览器下有较好兼容性，为用户提供更好操作体验。4、关注前沿技术，对技术有追求，能持续提升自身的技术能力，并转化到项目中。任职要求：1、有5年以上vue开发经验，计算机、通信或电子信息等相关专业优先。2、有扎实的JavaScript，H...,建材,http://jobs.zhaopin.com/CC331591180J40818991807.htm,1000-9999人,2025-12-24 10:13:18,14000.0,18000.0,12.0
前端开发工程师（React）,厦门,软通动力信息技术(集团)股份有限公司,本科,3-5年,"React,Node.js",11000-18000,"1.熟悉JavaScript语言核心内容,有React技术栈使用经验；2.熟悉各种Web前端技术,包括HTML/XML/CSS等，熟悉函数式编程、性能优化；3.具备良好的前端架构分析能力与设计能力，与开发团队保持良好沟通；4.精通各主流浏览器（IE6+、Firefox、Chrome、Safari）间的差异性，能快速定位和解决各种兼容难题；5.掌握主流的Vue/React/小程序技术栈以及Webpa...",互联网,http://jobs.zhaopin.com/CC000544460J40775986616.htm,10000人以上,2025-11-24 16:55:15,11000.0,18000.0,12.0
web前端开发工程师,厦门,厦门沙盒视界电子商务有限公司,本科,3-5年,"电商项目,ERP项目,Vue,ElementUI,uni-app,Echarts,Node.js,SPRINGBOOT,大屏/可视化项目",10000-15000,职位描述1. 负责公司协同办公软件相关系统开发；2. 负责公司产品业务相关前后台系统开发维护；3. 开发提升研发和运营效率的通用组件、工具；职位要求1. 本科以上，计算机相关专业优先，3年以上开发经验者优先；2. 深入掌握 HTML/CSS/JavaScript等前端技术，代码符合W3C 标准、兼容主流浏览器；3. 熟悉Web前端组件化/模块化开发模式和前端工程化实践；至少精通一种前端开发框架，如...,电子商务,http://jobs.zhaopin.com/CCL1272155460J40729804711.htm,20-99人,2026-01-12 09:02:28,10000.0,15000.0,12.0
中级/初级 后端开发工程师,厦门,广州野马科技有限公司,本科,3-5年,"Java,SQL,微服务架构,MQTT",10000-15000,【职责描述】1．独立负责低空物流中台核心业务模块开发，包括订单全生命周期、商户配置、取件码服务、异常兜底等；2．基于已定义的设备接入规范，实现与装载站、智能货柜、无人机中控的业务集成；3．开发高内聚、可测试的微服务接口，支撑前端与管理后台；4．使用 Kafka/RabbitMQ 处理异步任务，如状态同步、通知推送；5．编写高性能数据库操作，合理使用 MySQL + Redis，保障数据一致性与响应...,搬家/生活配送,http://jobs.zhaopin.com/CC567850630J40825379610.htm,1000-9999人,2026-01-10 01:30:56,10000.0,15000.0,12.0
高级前端开发-需要出差,厦门,厦门至恒融兴信息技术股份有限公司,本科,3-5年,"金融项目,银行项目,证券项目,JavaScript,CSS,HTML5,Vue,React,Node.js",11000-15000,高级前端，需要做过产品设计。设计过大型系统的，偶尔需要出差,IT服务,http://jobs.zhaopin.com/CC255881130J40816359409.htm,1000-9999人,2025-12-04 11:05:25,11000.0,15000.0,12.0
软件开发工程师【校招实习转正】,厦门,上海影动医疗科技有限公司,本科,无经验,"JavaScript,负载均衡技术,容器技术,Socket技术,网络协议,算法基础,数据结构,软件工程师,Linux",,1. 负责核心影像AI软件产品的开发实现；2. 协助完成产品方案设计、测试工作；3. 协助完成算法的工程化实现与优化，包括图形界面、算法调用、接口设计、数据通讯等；4. 针对SQL和非SQL数据库，协助设计并实现分析应用程序。任职要求：1. 计算机或相关专业本科或以上学历，愿意从事医学图像处理软件的开发；2. 熟悉HTML，CSS，JavaScript和HTTP协议基本知识；3. 了解React，...,医疗设备/器械,http://jobs.zhaopin.com/CCL1452744050J40894434608.htm,20-99人,2026-01-09 01:20:52,,,
前端开发工程师,厦门,诚迈科技股份有限公司,大专,3-5年,"CSS,大屏/可视化项目,Vue,React,Node.js",,1.熟练掌握 Vue3、Vue 生态工具链：Vue Router、Vuex、Vite、Nuxt.js 等。2.精通 HTML5、CSS3、JavaScript（ES6+），熟悉Windi CSS、熟悉 TypeScript 优先。3.掌握前端工程化开发，熟悉 Webpack/Vite 配置、模块化开发等。4. 对VTable组件有一定的了解，并有实战经验。6.熟悉 RESTful API 设计，具...,运营商/增值服务,http://jobs.zhaopin.com/CC144543200J40885688915.htm,1000-9999人,2025-09-05 17:52:01,,,
