职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
资深平面设计师,厦门,厦门斯巴特科技股份有限公司,本科,5-10年,"手绘,VI设计,品牌设计,包装设计,宣传物料设计,设计师",15000-20000,岗位职责：1-负责品牌新品上市全链路设计，包含但不限于新品视觉策略与创意输出、电商详情页、社媒推广渠道视觉、品牌营销活动视觉设计等：2-线下终端门店视觉设计，主导设计门店灯箱、海报、手册及终端陈列方案。3-品牌日常宣传物料设计，包含节日海报、活动主KV、官网、会员中心等界面视觉。4-跨部门团队协作，确保所有输出物符合品牌调性与规范。任职资格：1-美术、视觉传达、艺术设计及相关专业；3年以上品牌视觉...,贸易/进出口,http://jobs.zhaopin.com/CC322044910J40166004912.htm,1000-9999人,2025-11-25 17:29:48,15000.0,20000.0,13.0
平面设计师,厦门,澳拉童话(厦门)国际贸易有限公司,大专,3-5年,"文案,新媒体,拍摄,PS,AI,剪辑,平面设计",,岗位职责；1、负责公司企业形象、产品视觉表现相关设计，包括但不仅限于画册、海报、 VI 、线下物料设计等等；2、负责公司设计和日常微信朋友圈产品宣传、活动、广告的平面设计；3、根据公司各项设计要求具备独立承担的能力，能够有自己的设计思路理念，包括设计创意和后期跟进。4、协助完成公司日常基础简单的宣传视频拍摄剪辑工作任职要求：1、大专以上学历，平面设计兼文案，广告等相关专业优先；2、三年以上快消品或...,零售/批发,http://jobs.zhaopin.com/CCL1255364170J40539664904.htm,20-99人,2026-01-10 15:33:46,,,
平面设计,厦门,厦门群贤世青研究院有限公司,本科,1-3年,"VI设计,排版设计,广告设计",10000-15000,工作职责：1. 完善国际学校整体视觉形象；2. 完成学校品牌传播相关的所有视觉设计；3. 协助新媒体平台运营，内容设计、排版等；4. 设计制作招生所需材料，如宣传册、户外广告等；5. 其他相关延展设计工作。任职资格1. 本科以上学历，视觉传达相关专业；2. 具有至少2年以上平面设计行业从业经验；3. 熟练使用PS、InDesign、Ai、SketchUp等设计软件；4. 对印刷、纸媒和新媒体行业有...,培训/辅导服务,http://jobs.zhaopin.com/CC838654560J40757711814.htm,20-99人,2026-01-09 16:34:37,10000.0,15000.0,12.0
高级视觉设计师(J10602),厦门,厦门斯辰传媒有限公司,大专,5-10年,电商设计,10000-15000,岗位职责:1.设计所有电商触点(首页、详情页、活动页、专题页等)的视觉风格与品牌调性，保持统一，并持续优化。2.独立负责电商平台店铺装修、大型活动页、专题页等关键页面的创意构思和视觉设计3.基于用户研究和数据分析，精准传递品牌调性与产品卖点，提升点击率与转化率;4.负责指导美工，分享专业知识和经验，提升团队整体设计水平任职要求:1.3年及以上电商行业视觉设计经验(需提供个人作品)2.精通设计软件和...,电子商务,http://jobs.zhaopin.com/CCL1281702680J40745835906.htm,1000-9999人,2026-01-08 01:17:13,10000.0,15000.0,13.0
平面设计师,厦门,厦门斯巴特科技股份有限公司,本科,3-5年,"PS,AI,广告设计,方案设计,VI设计",10000-15000,职位描述：多年品牌设计资深执行者，乐于合作，愿意接受不同挑战！可执行品牌线上/线下复杂的工作任务岗位职责：1. 负责品牌视觉升级、零售终端形象设计；2. 负责公司国内外品牌形象、推广活动的创意设计，包括常规物料、官网、电商页面、社交媒体等；3. 实时把握国内外设计的流行趋势，根据需求提出崭新的创意策略，对画面视觉表现意识敏感；4. 独立完成新品上新全链路视觉设计任职资格：1．美术、视觉传达、艺术设...,贸易/进出口,http://jobs.zhaopin.com/CC322044910J40615907112.htm,1000-9999人,2025-11-26 14:08:03,10000.0,15000.0,13.0
资深品牌设计师,厦门,希望传播,本科,5-10年,"PS,AI,3D MAX,包装设计,VI设计,标识导视设计",,重点提要 1.主要服务公司自主品牌孵化所需设计。(快消品和餐饮连锁)2.偶尔承接品牌设计，这里没有不懂装懂的甲方，只有尊重我们专业能力的甲方。3.需要你专业且自律。 岗位要求: 1、视觉传达专业、8年以上设计经验，知名快销品设计经验丰富 2、擅长logo和字体设计者优先，独立完成Logo设计、字体设计、VI系统、电商图设计、海报、各平台宣传所需图片、包装设计、产品手册排版等日常品 宣，提升品牌整体...,电子商务,http://jobs.zhaopin.com/CC138513550J40817451101.htm,100-299人,2026-01-11 01:02:03,,,
【机器人】UI设计师,厦门,厦门松霖科技股份有限公司,本科,3-5年,"界面设计,交互设计,动画动效设计,移动端,网页端,机器人",,工作内容： 1.负责云平台的设计，进行平台的整体视觉风格制定，把握品牌风格调性； 2.独立完成Web端及移动端（iOS/Android）产品的界面视设计，包括页面、图标、组件等； 3.参与制定UI视觉设计规范，设立组件库，分享设计经验，助力提高产品交互体验； 4.对接产品经理、研发，在规定时间内保质保量完成设计，并严格把控线上产品的视觉细节； 5.了解潮流趋势，结合视觉表达探索更具前瞻性设计。 任...,装饰装修,http://jobs.zhaopin.com/CC468792720J40901658408.htm,1000-9999人,2026-01-06 01:20:16,,,
ui设计工程师,厦门,广东华研智启科技有限公司,大专,3-5年,"界面设计,交互设计,动画动效设计,移动端,网页端,客户端",,岗位内容：1. 负责公司产品线上的UI设计工作，为全球用户提供优秀的产品使用体验；2. 执行公司相关的设计标准与流程，设计各类产品的UI界面，包括网站、APP、系统界面、宣传资料等；3. 及时提出并解决设计中遇到的问题，持续优化UI设计效果，提升用户体验。任职要求：1. 拥有扎实的设计功底，熟悉Sketch、Photoshop、Illustrator等常用设计软件，能够独立完成UI设计工作；2. ...,电子设备制造,http://jobs.zhaopin.com/CCL1507495560J40819064807.htm,300-499人,2026-01-11 01:18:03,,,
高级平面设计师 (MJ000314),厦门,清源科技股份有限公司,本科,5-10年,"UI设计,广告设计",,职位描述我们是一家专注于B2B领域的新能源解决方案提供商，致力于推动清洁能源技术的全球应用。现寻找一位充满创意且具备战略思维的高级平面设计师，加入我们的品牌与市场团队。您将负责通过视觉设计，提升品牌专业形象，并有效传递复杂的能源技术价值，助力全球商业合作。 核心职责1. 独立完成B2B品牌全案视觉设计，包括品牌形象系统、产品手册、行业白皮书、展会物料及数字媒体视觉等。2. 将抽象的新能源技术概念转...,新能源,http://jobs.zhaopin.com/CC368659120J40868737403.htm,500-999人,2026-01-09 08:53:42,,,
平面设计主管(J10548),厦门,恒安集团,本科,3-5年,"C4D,AE,PS,广告设计,电商设计",,岗位职责: 1、电商页面设计，物料设计的统筹与执行，主导负责物料的创意策划和设计落地、确保内容精准传递卖点；把控设计质量，确保视觉风格统一，符合品牌调性； 2、项目管理与团队协作，制定设计项目计划、协调任务分配、跟进进度和质量验收、确保按时交付； 3、跨部门需求对接与沟通，与其他部门密切合作、了解产品、深入理解业务需求、转化为具体的设计方案。 任职要求: 1、本科及以上学历、视觉传达设计、艺术设计...,快速消费品,http://jobs.zhaopin.com/CC000405330J40785390505.htm,10000人以上,2025-09-15 15:45:32,,,
