职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
支行副行长/行长助理（公司）,厦门,厦门国际银行厦门分行,本科,5-10年,银行管理,30000-60000,岗位职责:1、根据最新监管要求和金融市场环境，制订符合本行业务要求的市场营销计划；2、建立客户渠道，确定目标客户群体，带领团队开展营销工作；3、带领团队销售银行产品，开拓新的客户，带领团队完成业绩指标；4、维护和挖掘现有客户，稳定并提高现有客户的业务规模和信贷资产质量；5、完成支行交办的其它工作任务。任职要求:1、本科及以上学历；2、8年及以上银行业对公市场营销工作经验，3年及以上分行中层或支行管...,银行,http://jobs.zhaopin.com/CC490495920J40377262915.htm,1000-9999人,2026-01-09 01:40:27,30000.0,60000.0,12.0
产品研发负责人（止血夹、吻合器）,厦门,大博医疗,本科,5-10年,医疗器械,30000-50000,负责岗位内容：1. 对医疗器械的市场调研、分析，并进行产品策划。2. 负责产品的设计开发及评估，包括实验室测试、风险评估等。3. 参与临床试验的规划和执行。4. 指导并协助生产部门完成新产品的上市前工作。任职要求：1. 具有医学/生物医学/机械工程等相关专业本科及以上学历。2. 5年以上医疗器械研发经验，掌握医疗器械行业相关法律法规及标准。3. 熟悉医疗器械市场、技术趋势及竞争形势。4. 具有较强...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40903221815.htm,1000-9999人,2025-12-14 01:50:55,30000.0,50000.0,15.0
销售经理（生态产品）-国企/印尼工厂直招,厦门,厦门盛方生态技术集团有限公司,大专,3-5年,"渠道销售,区域销售,椰壳粒、椰壳纤维、椰糠等",30000-50000,岗位职责：1、负责国内业务开发及客情关系维护；2、签订贸易业务合同及监督合同执行；3、应收账款的跟进；4、完成公司下达的业务指标。任职要求：1、大专及以上学历；2、3年以上贸易工作经验，熟悉椰壳粒、椰壳纤维、椰糠等产品，具有下游客户资源；3、具备良好的业务开拓、商务谈判、风险控制能力。综合年薪：50万以上，具体面议。,贸易/进出口,http://jobs.zhaopin.com/CCL1330498660J40796516302.htm,100-299人,2025-08-20 13:18:17,30000.0,50000.0,12.0
产品经理/高级产品经理(J10477),厦门,厦门汉印股份有限公司,本科,5-10年,"硬件产品,电子行业",24000-45000,岗位职责:1、结合公司发展策略和用户需求，定义产品，并负责产品规划的工作落实，包括撰写和输出产品定义，收集用户反馈不断提升产品体验，输出卖点和规格书，协助市场和销售部门进行产品的营销和定价；2、根据业务需求，协调资源，推动项目，促进公司产品目标达成；3、把握电子产品的发展趋势，了解市场和用户需求，定期完成分析报告，提出具有可行性的产品创新概念。任职要求:1、本科以上学历，通信，电子，计算机等专业；...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40866781002.htm,1000-9999人,2025-12-03 09:13:23,24000.0,45000.0,12.0
董事长助理25k-45k,厦门,厦门市中海福林集团有限公司,本科,10年以上,"销售管理,英语",25000-45000,岗位职责:1、参与公司战略规划制定，包括：年度经营计划、年度预算、销售策略等。2、协助董事长推动各部门年度经营目标的执行、监督管理，并对各阶段工作目标成果给予分析。3、协助董事长对生产运营管理体系进行规划、实现落实并推动。4、定期或不定期进行市场调研，收集市场相关信息、财务相关数据、市场趋势、为董事长决策提供参考、建议。5、协助董事长监督公司日常经营活动，并对财务、人事、业务经营等方面的重大问题提...,印刷/包装/造纸,http://jobs.zhaopin.com/CC873892490J40841976404.htm,500-999人,2025-10-21 09:21:06,25000.0,45000.0,12.0
医学产品经理,厦门,力品药业(厦门)股份有限公司,本科,5-10年,"化学药,处方药,产品经理,心内科医生,妇科医生",20000-40000,岗位职责： 1、根据公司年度销售任务目标，制定年度产品市场销售策略，推广策略，对产品进行准确定位；2、负责组织开展各项产品市场调研，为销售部提供数据支持；3、负责组建公司产品专家人才库，对专家关系进行维护，组织专家进行产品学术交流，通过专家学术声音提高产品的影响力；4、组织完成各种产品学术推广活动，包括全国性的学术会议、地方性会议、行业协会会议等；5、负责不断完善公司产品知识和销售策略培训系统，并...,医药制造,http://jobs.zhaopin.com/CC555784220J40801610608.htm,300-499人,2026-01-08 01:20:32,20000.0,40000.0,12.0
产品质量经理/总监(J10409),厦门,厦门汉印股份有限公司,本科,10年以上,品质管理,25000-40000,岗位职责:1、组织展开研发、NPI及量产阶段品质方针、政策和目标制定、推动来料/制程/供应链等整体品质体系建设、绩效和改善、预防；2、全面负责制定、审核各类质量控制、作业指引制度、流程、标准及操作规范，督促、检查质量控制制度的贯彻、执行情况；3、负责相关体系（ISO9001、ISO14001）推行和维护，对质量管理体系实施有效监控；4、负责主持召开重大质量专题会议，协调各部门的配合，开展质量事故改...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40899627402.htm,1000-9999人,2026-01-12 10:50:37,25000.0,40000.0,12.0
产品经理（窄线宽激光器）,厦门,厦门彼格科技有限公司,本科,3-5年,"封装设计,封装工艺,光学器件封装,芯片封装,窄线宽激光器,ECL",30000-40000,岗位职责：1、主导窄线宽半导体激光器的封装工艺设计，完成工艺参数（贴片精度、焊接温度、封装）DOE实验设计，提升良率与长期可靠性。2、开发工艺失效分析（FA）方案，针对波长稳定性、线宽展宽等核心问题，优化封装应力与热管理策略。3、负责窄线宽半导体激光器的工装夹具设计与改善，良率提升。4、负责窄线宽半导体激光器材料的选型和引入，提升关键性能指标及封装可靠性。任职要求：1、光电/物理学专业，本科及以上...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC278744130J40806421908.htm,100-299人,2026-01-07 01:19:28,30000.0,40000.0,13.0
产品经理（骨科关节）,厦门,大博医疗,本科,5-10年,医疗器械,20000-40000,工作地点：可异地办公职位描述：1、负责骨科关节产品的策略制定和执行；2、负责骨科关节产品生命周期管理；3、负责业务销售团队以及代理商团队的培训；4、新产品上市和市场推广；5、负责中央市场活动和培训教育项目的设计和执行。支持区域市场活动和培训教育活动的落地；6、协助市场总监进行整体骨科关节类品牌管理。要求：1、本科以上学历，医学相关专业优先；2、5年以上骨科厂家销售或市场推广工作经验；3、有KA医院...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40912614715.htm,1000-9999人,2025-12-27 01:41:35,20000.0,40000.0,15.0
医疗产品检测/总经理,厦门,全益(上海)人力资源有限公司,本科,5-10年,"渠道销售,区域销售,KA大客户,企业客户,医疗机构",22000-40000,1、全面负责带领事业部达成年度销售业绩目标，以及技术与销售团队组建管理和发展；2、制定事业部发展计划，在医药器械检测领域带动事业部突破创新，实现增长。 能够组建和管理队；3、客户关系维护，定期对现有客户进行拜访，了解客户意见，与项目人员沟通和改善服务；4、项目的商务管理，与客户进行商务谈判，签订合同，及时沟通项目进展，以及后续的回款管理；5、对客户提供专业的咨询；6、收集潜在客户资料，项目成长性资...,人力资源服务,http://jobs.zhaopin.com/CCL1317795840J40864877303.htm,500-999人,2025-12-19 14:10:11,22000.0,40000.0,12.0
