职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
制造业数据应⽤专家,厦门,厦门钨业股份有限公司,硕士,5-10年,制造业数据应用专家,15000-30000,⼀、指标体系设计与数据治理⼆、深度分析⽅案开发与应⽤落地三、数据产品赋能与决策⽀持1. 构建制造业集团数据图谱：▶ 统⼀⼈⼒薪酬（岗位价值系数、⼈⼯成本利润率、关键⼈才流失率）、财务（制造成本构成、现⾦流健康度、EVA驱动因⼦）、投资项⽬（IRR达成偏差、产能爬坡效率、国产化替代进度）三⼤领域核⼼指标⼝径。▶ 设计制造业专属指标关联模型（如：单位⼈⼯成本产值 vs 设备⾃动化率；新⼯⼚投资回报 v...,钢铁/有色金属冶炼及加工,http://jobs.zhaopin.com/CC133096640J40865512908.htm,10000人以上,2026-01-09 01:20:28,15000.0,30000.0,13.0
研究所分析师,厦门,金圆统一证券有限公司,硕士,3-5年,,20000-30000,岗位职责:1.跟踪并深入分析宏观经济及政策，做好宏观和资产配置方面的研究，并撰写研究报告，开展路演、报告会等；2.对国内外重大的事件、政策和数据变化进行及时点评，提供时效性强的研究成果与投资建议；3.跟踪分析相关行业动态、信息和行业政策，撰写行业信息点评和行业政策市场效应分析；4.从对应行业和公司基本面的连续跟踪和准确分析中，挖掘具有投资价值的领域和标的；5.外部联络与沟通，包括但不限于通过行业主...,证券/期货,http://jobs.zhaopin.com/CCL1269000190J40899177608.htm,100-299人,2026-01-07 01:20:21,20000.0,30000.0,12.0
数据管理工程师,厦门,科华数据股份有限公司,本科,3-5年,"数据治理,数据挖掘,报表开发",15000-30000,主要职责：1. 主数据管理体系构建与维护：A. 负责制定和完善产品主数据（物料编码/产品分类/BOM等）的管理流程、标准、规范和治理体系;B. 主导物料编码规则的制定、优化和落地执行，确保编码的唯一性和科学性。C. 建立产品数据模型。2. 数据质量管理与治理：A. 建立数据质量监控体系，定期审计、清洗和校验主数据，识别并解决数据问题。B. 处理数据申请、变更和审核流程，确保所有操作符合规范。3. ...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40946673404.htm,1000-9999人,2025-08-28 10:30:55,15000.0,30000.0,14.0
BI主管,厦门,日上集团,本科,10年以上,"Python,SQL,Hadoop,Hive,HDFS,Flink,Elasticsearch,Kafka,FineBI",15000-25000,岗位职责1. BI平台优化与升级：深入调研分析现有BI平台需求，优化平台架构，保障数据接入、建模、可视化分析等流程高效稳定运行；推进BI平台与数据仓库、业务系统深度集成，实现数据流通交互，提升业务部门数据利用效率，为企业决策提供有力数据支撑。2. 自助分析BI应用与企业内推广普及：基于帆软生态体系开发低代码/无代码可视化分析，以拖拽式报表、多维度数据钻取、智能预警降低非技术团队数据使用门槛；设计优...,金属制品业,http://jobs.zhaopin.com/CC308507580J40719703111.htm,1000-9999人,2026-01-06 01:29:15,15000.0,25000.0,14.0
高级数据分析师,厦门,上海启高信息科技有限公司,本科,5-10年,"报表开发,数据治理,Sql,观远BI,帆软",14000-22000,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 具备统计学、数学、计算机科学或相关领域的学士及以上学历。2. 熟练使用常见的数据分析工具和平台，如Excel、SQL、BI工具...,互联网,http://jobs.zhaopin.com/CC385075520J40854849703.htm,20-99人,2025-11-10 17:57:20,14000.0,22000.0,12.0
运营分析经理,厦门,天津九牧盛世科技有限公司,本科,5-10年,,11000-21000,1、承接总监工作，对门店、品类做生意结构分析2、结合生意分析结构，对品类做整合营销策略输出具体整合方案3、每周、月定期输出门店、品类生意情况分析，并提出改善意见任职要求：1.鞋服/卫浴零售行业5年以上经验2.有生意规划经历（商品、渠道）全盘生意规划经验3.有生意数据分析经验4.有营销活动整合经历,耐用消费品,http://jobs.zhaopin.com/CC673711630J40897107115.htm,10000人以上,2025-12-30 01:44:58,11000.0,21000.0,12.0
采销经营分析（base总部）,厦门,福州朴朴电子商务有限公司,本科,5-10年,"SQL,R,Tableau",14000-20000,岗位职责：1. 有业务全局观，能独立发现和诊断多环节较复杂的业务，准确识别业务问题，输出经营分析报告，并能站在数据的角度为管理层及业务线提供决策支持；2. 构建业务整体/品类/区域市场相关的经营分析数据模型，协助管理层完善业务顶层设计，能有效指导业务方向的方法论框架，描绘实现路径及计划，推进业务精益发展；3. 能输出业务整体/品类/区域市场维度的完整经营分析框架，能够独立完成支持业务的分析体系，指...,互联网,http://jobs.zhaopin.com/CC408522280J40597219210.htm,10000人以上,2026-01-12 01:25:18,14000.0,20000.0,13.0
平安证券 资深投资顾问,厦门,平安证券,本科,1-3年,投资分析,10000-20000,岗位职责：1）负责存量客户、高净值客户的投资咨询服务2）负责对公司研报的分析和筛选，提供给相应的客户3）负责渠道及营业部的客户沙龙活动讲解岗位要求：1）本科及以上学历2）熟悉基本面和技术分析的相关理论，拥有较强的投研能力3）形象气质佳，表达能力强，有感染力4）拥有投顾资格，具有2年及以上相关岗位工作经验5）薪资具体协商职位福利：五险一金、绩效奖金、年终分红、定期体检、全额公积金、餐补,证券/期货,http://jobs.zhaopin.com/CC318148910J40554808104.htm,1000-9999人,2026-01-12 01:07:37,10000.0,20000.0,12.0
证券交易员,厦门,广西极犇资本有限公司,本科,1-3年,"股票市场,投资分析,量化分析,Python",10000-20000,岗位职责 1、管理和运作公司内部自有资金账户，负责公司账户的交易，达到获利的目标。 2、有效进行风险控制，解决交易中的问题，确保交易账户达到稳定盈利。 3、分析行情，做出每日交易计划。 4、定期对操作进行总结，不断完善交易系统。 5、定期进行课题数据分析，不断完善交易系统。 岗位要求 1、精准识别并A股二级交易市场中的强势领涨品种，把握核心主升趋势。 2、对市场热点、资金流向、板块轮动有高度敏感性...,证券/期货,http://jobs.zhaopin.com/CCL1386522980J40700126410.htm,20人以下,2026-01-11 01:24:32,10000.0,20000.0,12.0
经营分析经理,厦门,福州朴朴电子商务有限公司,本科,5-10年,"经营分析,业务诊断,业务规划,数据分析,SQL,损益复盘,新零售",12000-20000,岗位职责： 1、支持辅助区域营运负责人制定城市经营规划，明确区域关键经营策略； 2、根据公司业务方向，负责业务数据收集、汇总、分析，形成周/月/季经营分析报表； 3、参与到业务联合项目中，协同输出、拆解项目目标，输出并持续迭代项目策略、运营机制，推动项目目标达成； 4、主动发现业务经营问题，能够独立推进业务专题研究，利用有效的数据分析方法，输出有洞察力的分析结论，及时迭代团队认知，研究分析方向：订...,互联网,http://jobs.zhaopin.com/CC408522280J40378608410.htm,10000人以上,2026-01-12 01:25:13,12000.0,20000.0,13.0
