职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
电控研发部经理,厦门,九牧厨卫股份有限公司,本科,3-5年,"嵌入式硬件开发,嵌入式软件开发",60000-80000,岗位职责：1、根据公司发展战略，拟定电控研发院战略和年度研发计划并监督执行；2、负责制定本部门年度经营规划报告及年度预算的编制并监督执行；3、领导团队进行公司产品的电控系统的技术预研、新品开发、测试与迭代工作；4、协助新品生产落地与异常分析，为智能与轻智能产品提供技术支持；5、负责制定本部门的流程、制度文件，规范技术资料标准化；6、负责组建优良的研发团队，优化内部资源，制定绩效考核及落实执行；7、...,建材,http://jobs.zhaopin.com/CC398389710J40821079505.htm,10000人以上,2025-10-23 08:28:22,60000.0,80000.0,12.0
技术架构师,厦门,咪咕,硕士,5-10年,"云计算架构,平台架构,大数据架构,元宇宙,AR\VR",,岗位职责：1.根据公司战略和业务中长期发展需求，统筹公司技术和产品，负责公司整体技术架构设计和搭建，包括前端业务中台和数据中台等，保证产品的通用性，高稳定性及可靠性；2.组织开展技术验证与实现，核心技术问题攻关，解决产品开发过程中的各种技术难题；3.根据公司战略和业务中长期发展需求，统筹产品架构设计和演进规划；4.进行新技术预研，将适配的新技术和成熟的技术、框架引入到现有应用架构中来，不断持续优化...,互联网,http://jobs.zhaopin.com/CC711333420J40782060305.htm,1000-9999人,2025-06-04 15:51:15,,,
大数据平台架构经理,厦门,厦门金鹭,本科,5-10年,,20000-35000,岗位职责：1、负责大数据平台架构规划设计、规范制定、平台优化、技术选型、新技术调研；2、负责公司大数据平台相关数据产品的方案设计、评审及技术优化，负责关键技术模块的设计和开发；3、制定和持续优化大数据平台相关的架构、规范与流程，包括但不限于技术方案规范、代码管理规范、部署运维规范等；4、负责大数据平台运维，异常调查、处理，确保平台稳定高效运行。任职资格：1、本科及以上计算机相关专业，5年以上大数据...,金属制品业,http://jobs.zhaopin.com/CC144501720J40814948505.htm,1000-9999人,2025-12-17 01:11:36,20000.0,35000.0,12.0
研发主管（物联网偏软件）,厦门,厦门历思生物科技有限公司,本科,5-10年,"嵌入式技术,全栈开发",20000-30000,岗位职责：1、全面负责软硬件团队的技术管理工作，主导产品从需求拆解、技术选型、架构设计、开发实现到测试上线的端到端全流程管控，制定技术路线、拆解项目目标、分配团队任务，确保项目按时、高质量交付2、主导嵌入式系统核心模块开发（MCU/ARM平台），负责控制算法、数据处理算法的设计、优化及落地验证，保障产品核心性能达标。3、物联网、嵌入式、云计算等行业前沿技术动态，评估新技术方案，为产品规划提供技术支...,专用设备制造,http://jobs.zhaopin.com/CCL1477989270J40836666105.htm,20-99人,2026-01-12 01:12:56,20000.0,30000.0,12.0
总行信息技术部——系统分析岗（SA）,厦门,厦门银行,本科,5-10年,,15000-30000,（一）岗位职责1、负责信息系统的解决方案制定、技术方案选型。2、编写系统概要设计与详细设计，参与核心代码开发与审查，指导开发实施。3、编写和评审系统上线方案，包括投产、应急预案与风险评估等。4、制定系统运维技术方案，涵盖监控设计、应急处理与故障分析改进等。（二）任职要求1、掌握软件工程方法，具备微服务架构设计与实践能力。2、精通JAVA体系及Spring Boot、Spring Cloud、Myb...,银行,http://jobs.zhaopin.com/CC138493580J40821368413.htm,1000-9999人,2026-01-08 01:34:49,15000.0,30000.0,12.0
灯具研发经理,厦门,厦门亚锝电子科技有限公司,本科,5-10年,,20000-30000,岗位职责一、战略规划与项目管理1、制定LED照明产品研发战略规划，主导年度/季度产品开发计划制定与执行监督，确保研发方向与公司整体战略目标高度一致；2、统筹管理多项目并行研发流程，建立项目里程碑管控机制，对项目进度、成本、质量进行全周期把控；3、主导重大技术攻关项目，组织跨部门技术协作，推动创新技术方案落地，如智能调光系统、高散热效率结构设计等。二、技术研创与产品开发1、主导LED灯具产品开发的结...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853765313.htm,500-999人,2026-01-06 11:05:03,20000.0,30000.0,13.0
研发技术经理,厦门,厦门历思生物科技有限公司,本科,5-10年,"C#,Java,嵌入式技术,全栈开发,嵌入式软件开发,单片机开发,Android开发,企业级应用开发",20000-30000,岗位职责：1、全面负责软硬件团队的技术管理工作，主导产品从需求拆解、技术选型、架构设计、开发实现到测试上线的端到端全流程管控，制定技术路线、拆解项目目标、分配团队任务，确保项目按时、高质量交付2、主导嵌入式系统核心模块开发（MCU/ARM平台），负责控制算法、数据处理算法的设计、优化及落地验证，保障产品核心性能达标。3、物联网、嵌入式、云计算等行业前沿技术动态，评估新技术方案，为产品规划提供技术支...,专用设备制造,http://jobs.zhaopin.com/CCL1477989270J40837219905.htm,20-99人,2026-01-11 01:12:47,20000.0,30000.0,12.0
智慧社区管理平台架构师,厦门,厦门睿云联创新科技股份有限公司,本科,5-10年,"Java,PHP,Go,微服务架构,服务器配置,大数据架构,平台架构,云计算架构",20000-30000,岗位职责：1、主导智慧社区平台方案架构设计；2、协同产品、研发团队，提出智慧社区产品的功能规划与技术演进建议，推动产品标准化、模块化建设；3、参与追踪智慧社区领域行业动态，研究国内外典型案例，为公司智慧业务提供技术参考与决策支持。岗位要求：1、5年以上大型智慧社区、智慧园区、智慧城市系统开发与架构设计经验，至少完整经历过一个大型智慧社区管理平台的研发过程；2、对SaaS平台架构有深刻见解；3、对互...,计算机硬件,http://jobs.zhaopin.com/CC530673120J40752006301.htm,300-499人,2025-12-23 01:00:20,20000.0,30000.0,13.0
研发（副）经理,厦门,厦门金柏半导体有限公司,硕士,10年以上,,20000-30000,岗位职责：1.领导并指导团队，监督创新且高可靠性的柔性设计的开发； 2.引领柔性线路板的开发与优化工作，改进产量、能力和质量的制造工艺； 3.研究并评估新材料（包括直接材料和间接材料）、湿化学技术以及新兴制造技术，以保持竞争优势；4.项目专利申请，政府研发资助申请以及相关资金申请等。任职要求：1.研究生或以上学历，化学工程/材料科学/电子封装制造或相关学科；2.10年以上柔性线路板制造、测试及验证...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC811183290J40776645415.htm,100-299人,2025-12-12 00:05:03,20000.0,30000.0,12.0
新产品研发工程师/产品经理（博士及以上）,厦门,厦门虹鹭,博士,无经验,"产品开发,材料技术应用,工业互联",20000-30000,岗位职责: 1. 岗位职责 （1）根据新产品信息和客户需求，进行新产品技术调研，撰写开发建议书。 收集相关资料作新产品开发成本及技术可行性分析，撰写可行性分析报告。 （2）成立项目研发小组，进行项目实施方案研讨，并根据项目实施方案和计划开展相关实验，与相关生产部门协调新产品的试制及量产事宜。 （3）协助生产部门处理生产问题，提供技术支持。参与部门内部技术交流。 （4）做好技术资料备份工作，确保研发...,金属制品业,http://jobs.zhaopin.com/CC137341210J40748125813.htm,1000-9999人,2025-07-22 15:40:50,20000.0,30000.0,15.0
