职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
数据算法工程师,厦门,上海启高信息科技有限公司,本科,5-10年,"机器学习,深度学习,Transformer,LSTM,随机森林,K-means算法,GBDT,搜索/推荐算法,Python,Java",180000-250000,"1. 统招本科及以上，计算机，数学，自动化或相关专业2. 至少6年以上算法工作经验，能独立完成算法开发，部署和优化3. 熟练掌握常用机器学习、深度学习算法，包括不限于（LR，决策树，集成树，时序算法，Transformer等） 4. 熟练掌握python/scala/java中一种，掌握Hive SQL, Spark等大数据技术 5. 具备良好的沟通能力，分析能力和解决问题的能力，责任心强",互联网,http://jobs.zhaopin.com/CC385075520J40845460403.htm,20-99人,2025-10-11 11:24:01,180000.0,250000.0,12.0
电机控制算法工程师,厦门,厦门雅迅智联科技股份有限公司,硕士,3-5年,"FOC/SVPWM,嵌入式实现,参数标定,诊断保护,台架测试",50000-80000,岗位职责：1.负责两轮电动车用永磁同步电机控制算法的设计、仿真与实现，包括FOC、弱磁控制等，确保电机动态响应、效率及平顺性达到最优。2.负责算法在嵌入式平台上的代码实现、优化与调试，完成参数整定，解决电机运行中的振动、噪声等实际问题。3.设计与开发电机控制相关的诊断与保护功能，如过流、过压、过热、缺相等，提升系统鲁棒性与安全性。4.搭建电机台架测试环境，与硬件、测试工程师协同完成算法性能的验证与...,物联网,http://jobs.zhaopin.com/CC138128960J40776401016.htm,1000-9999人,2025-11-26 10:24:03,50000.0,80000.0,12.0
技术总监（数智人）,厦门,咪咕,硕士,5-10年,"AI,数智人",,岗位职责：制定并实施公司技术发展战略，围绕智能交付数智人等领域的技术路线，确保技术方向与业务目标高度契合。主导智能交付型数智产品的全生命周期开发，包括需求分析、技术方案设计、原型开发及商业化落地，确保年内完成产品原型交付。聚焦自然语言理解（NLP）、智能体构建、机器视觉等技术方向，推动技术与产品场景深度融合，实现可复用的行业解决方案。推动AI技术栈（如深度学习、知识图谱）在交付型数智人场景的应用，...,互联网,http://jobs.zhaopin.com/CC711333420J40782085405.htm,1000-9999人,2025-06-04 16:35:39,,,
IT部负责人,厦门,厦门长江电子科技有限公司,本科,10年以上,,40000-60000,职位概述作为公司AI创新的架构师与布道者，探索并落地AI技术以创造全新的产品、服务与商业机会；也是公司系统开发的掌舵者，领导团队构建、维护和优化支撑公司业务运营的核心管理系统。需要兼具前沿技术视野与扎实的工程管理能力，是连接战略、创新与执行的桥梁。核心职责1. AI战略与创新落地（约占70%）战略规划： 制定与公司业务战略相匹配的AI技术路线图，识别AI技术在业务流程优化、产品智能化、数据价值挖掘...,计算机硬件,http://jobs.zhaopin.com/CC206263810J40820036607.htm,500-999人,2026-01-07 01:18:51,40000.0,60000.0,13.0
人工智能专家（博士 福建福州办公）,厦门,福建新大陆时代科技有限公司,博士,经验不限,"深度学习,机器学习,图像算法",30000-60000,1、主导人工智能教学产品的整体开发工作，结合职业教育业务形态和教学目标，设计涵盖人工智能所有技术模块的教学产品架构。2、深入研究职业教育学生的特点和学习需求，开发出具有针对性、实用性和创新性的教学内容，包括但不限于课程体系、教学案例、实践项目等，确保学生能够有效掌握人工智能知识和技能。3、运用深厚的人工智能专业知识，为研发团队提供技术指导，解决产品开发过程中涉及到的复杂技术问题，如机器学习算法优化...,计算机软件,http://jobs.zhaopin.com/CC847122470J40830671502.htm,500-999人,2025-09-29 09:44:00,30000.0,60000.0,14.0
AI技术专家,厦门,咪咕,博士,3-5年,"元宇宙,人工智能",,岗位职责1. 负责研究和开发AI技术在元宇宙业务中的创新应用场景，推动AI与元宇宙业务的深度融合；2. 参与元宇宙项目的策划与设计，提供AI技术方案，确保项目的技术可行性和创新性；3. 参与高校实验室的合作研发，把控研究方案可行性及落地效果；4. 跟踪和研究元宇宙和AI领域的最新技术动态，为公司的业务发展提供技术建议和决策支持；5. 撰写技术文档和研究报告，记录研究成果和项目进展，定期分享技术成果...,互联网,http://jobs.zhaopin.com/CC711333420J40782090305.htm,1000-9999人,2025-06-04 18:23:26,,,
博士-AI算法（工业图像大模型缺陷检测方向）,厦门,厦门思泰克智能科技股份有限公司,博士,经验不限,"图像算法,大模型算法,深度学习,C++,Python,C语言,缺陷检测,SMT行业",30000-50000,工作职责：-负责SMT行业图像AI缺陷检测模型/大模型研发，实现产品快速迭代，满足业务产品需求。-研发方向主要为：缺陷/异物识别定位，图像增强，3D成型，模型压缩-对现有模型进行评估、改进和优化，提高性能和鲁棒性。-与软件开发团队合作，将算法集成到产品和系统中。-跟踪最新深度学习技术，研究和应用新的算法和方法。职责要求：1、计算机、数字图像处理、模式识别，自动化等相关专业博士/博士后;2、从硕士研...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC436134330J40700108806.htm,100-299人,2025-10-09 11:21:38,30000.0,50000.0,12.0
音频算法工程师,厦门,厦门贤士达信息咨询有限公司,硕士,3-5年,"音频算法,降噪,回声消除",25000-50000,岗位职责：1、维护音频前端音质算法，保证产品音质质量2、优化回声消除，降噪，自动增益，麦克风阵列等算法3、跟踪业界前沿的语音处理技术，包括语音增强，麦克风阵列技术岗位要求：1、本科以上学历，计算机、软件、通信、理工科相关专业；2、三年及以上语音信号处理相关经验；3、具备C/C++、Matlab、Python功底；4、有音视频行业语音算法经验优先。,人力资源服务,http://jobs.zhaopin.com/CC416345810J40486520509.htm,20-99人,2025-06-12 15:05:26,25000.0,50000.0,15.0
对日开发初级技术员到项目经理的全职位招聘,厦门,株式会社ProfaceSystems,大专,1-3年,".NET,Java,Python,C语言,全栈开发,AI,赴日,对日",20000-40000,【会社概要】当社は、公共事業や受託開発、SES型開発を中心に、AIなどの先端技術を活用した新規マーケットの開拓も行っています。また、ITマネジメント人材の育成、組織運営、経営への参画など、幅広い開発環境・業務領域を提供しています。多様なプロジェクトを通じて、あなたの経験・スキル・可能性を最大限に発揮できるポジションをご用意しております。本公司以公共事业、委托开发和SES模式开发为核心业务，同时也积...,计算机软件,http://jobs.zhaopin.com/CC579165780J40398787313.htm,20-99人,2026-01-09 01:34:56,20000.0,40000.0,12.0
视觉算法工程师/专家 base上海/厦门,厦门,厦门思泰克智能科技股份有限公司,硕士,3-5年,"图像识别产品,PyTorch",40000-50000,工作职责：1. 预研和开发用于工业质检（PCB板，晶圆，芯片）的视觉小模型。2. 预研和开发用于工业质检领域（PCB板，晶圆，芯片）的视觉通用模型。3. 预研用于工业质检领域（PCB板，晶圆，芯片）的VLA模型。技能：1. 熟悉各种高精度轻量化的one-stage检出网络， 尤其是yolo系列。2. 熟悉长尾样本分类和检出算法。3. 熟悉各种高精度轻量化分割网络。4. 对Positive Only...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC436134330J40711566106.htm,100-299人,2025-10-09 11:19:33,40000.0,50000.0,12.0
