职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
Senior Data Center Power Systems Engineer,厦门,厦门市向北行户外用品有限公司,大专,5-10年,"电力运维,电力施工,电力设计,电气工程,发电工程,输变电工程,强电工程",20000-40000,"**Job Posting: Senior Data Center Power Systems Engineer / Technical Consultant** **Location:** Primarily on-site at client data center location (Texas, USA), with initial project coordination phase p...",贸易/进出口,http://jobs.zhaopin.com/CC707887120J40914255515.htm,20人以下,2026-01-05 11:19:14,20000.0,40000.0,12.0
设备自动化专家岗,厦门,厦门金鹭,本科,5-10年,,20000-40000,职责描述：1、负责全面推进设备自动化的总体规划和技术研发，带领团队完成开发工作； 2、负责自动化项目的方案评估、方案设计、系统调试、技术攻关、项目验收等相关工作； 3、针对生产需求，制定可行的设备/自动化解决方案和技术方案； 4、负责制定项目的执行方案，以及考核目标，对整个自动化项目的运作过程进行管控； 5、负责项目的推进与实施，指导、处理、协调和解决项目中出现的技术问题；6、负责公司设备团队管理...,金属制品业,http://jobs.zhaopin.com/CC144501720J40826176105.htm,1000-9999人,2025-11-13 11:18:33,20000.0,40000.0,20.0
资深主任电气研发工程师,厦门,曼恩斯特科技有限公司,本科,5-10年,"设计,自动化设计,PLC设计,卷绕",25000-35000,【岗位职责】：负责锂电池卷绕设备的电气控制系统方案设计、元件选型、程序开发与调试；独立完成整机电气原理图、接线图、布局图设计，编制电气BOM清单；精通松下、欧姆龙、倍福、西门子等主流PLC编程，熟练使用ST语言进行逻辑控制开发；实现卷绕过程中的张力控制、卷径控制、电子凸轮、虚轴控制等核心算法；配合机械工程师完成整机联调，解决设备在装配、调试、试产阶段的电气问题；编写设备操作说明书、调试手册及技术培...,新能源,http://jobs.zhaopin.com/CC846618550J40828074810.htm,1000-9999人,2025-12-16 11:13:40,25000.0,35000.0,12.0
非标自动化设计总监/主管,厦门,厦门东声电子有限公司,本科,5-10年,自动化技术支持,20000-35000,主要职责： 1、领导自动化设计团队，确保项目按照时间表、预算和技术标准完成，并保证设计质量、安全和可靠性。 2、建立和维护自动化设计团队的制度和流程，并保证他们遵守公司政策和行业标准。 3、指导自动化设计团队开发、设计、测试、验证和部署自动化方案。 4、确保自动化方案符合客户的要求，并根据需要进行相应的修改和改进。 5、确保自动化方案符合相关法规和标准。 6、参与和指导自动化设计团队的技术培训和团...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC217442710J40406752902.htm,1000-9999人,2025-07-02 00:00:01,20000.0,35000.0,12.0
PLC工程师-XM (MJ042195),厦门,宁德时代新能源科技股份有限公司,本科,3-5年,"西门子,欧姆龙,三菱,PLC设计,调试维护,电气设备,自动化设备,非标设备",15000-30000,岗位概述：统筹管理生产线设备的维修维护及切拉改造相关工作，确保产能达成。负责指导及执行设备日常检查、预防性维护、设备故障处理、备品备件管理、设备技术改善、设备安全及质量改善。岗位职责：1、负责设备点检、巡检、PM维护标准的制定及优化，并指导现场生产人员、技术员执行；2、负责日常设备故障的维修技术支持、故障原因分析及永久性改善，产线设备易损件及关键备件识别及需求提报；3、组织产线切拉换型，达成产品切...,电子设备制造,http://jobs.zhaopin.com/CC271988630J40979428204.htm,10000人以上,2026-01-10 17:54:57,15000.0,30000.0,12.0
研发工程师（博士）,厦门,厦门亚锝电子科技有限公司,博士,经验不限,,20000-30000,公司主要是做电源、灯具、智能家居及充电桩产品，目前招聘博士岗位如下：1、专业要求： 电子、通信等相关理工科技术领域博士（还没去过其他博士站）2、岗位职责：负责公司电源、智能家居、充电桩等相关产品的研发。3、招收要求：（1）具有良好的政治素质和道德修养，遵纪守法；（2）年纪35岁以下，在国内外获得博士学位，身体健康；（3）具有较强的研发能力和敬业精神，能够尽职尽责地完成科研工作。4、福利待遇：（1）...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC665245720J40853758713.htm,500-999人,2026-01-06 10:53:59,20000.0,30000.0,13.0
OLED电子设计岗（EE）,厦门,天马微电子,本科,3-5年,"设计,研发,PCB设计,消费电子产品",15000-30000,岗位职责:1. OLED产品模组EE评估、硬件设计，产品调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写2. OELD产品模组 Demura 评估、导入、算法调试优化，对应驱动硬件调试，Issue解析、专项题能力提升及规范文件输出、完善或撰写3. FPC 、PCB layout评估、设计，FPC issue 处理、专项题能力提升及规范文件输出、完善或撰写任职要求:1.大学本科以上，电...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831637110.htm,1000-9999人,2026-01-05 13:14:49,15000.0,30000.0,14.0
高级电气工程师-XM (MJ042193),厦门,宁德时代新能源科技股份有限公司,本科,3-5年,"西门子,三菱,欧姆龙,技术支持,调试,维护,电气设备,自动化设备",15000-30000,岗位概述：统筹管理生产线设备的维修维护及切拉改造相关工作，确保产能达成。负责指导及执行设备日常检查、预防性维护、设备故障处理、备品备件管理、设备技术改善、设备安全及质量改善。岗位职责：1、负责设备点检、巡检、PM维护标准的制定及优化，并指导现场生产人员、技术员执行；2、负责日常设备故障的维修技术支持、故障原因分析及永久性改善，产线设备易损件及关键备件识别及需求提报；3、组织产线切拉换型，达成产品切...,电子设备制造,http://jobs.zhaopin.com/CC271988630J40979423904.htm,10000人以上,2026-01-10 16:54:22,15000.0,30000.0,12.0
demura调试专家/资深工程师,厦门,中国航空技术国际控股有限公司,本科,3-5年,"DEMURA调试,电子设计",15000-30000,工作职责1、项目跟进 ——能根据项目需求进行Demura程序调试，屏幕视效优化，满足项目目标 ——参与对客户和供应商拜访和沟通2、issue分析及新技术探索 ——不良分析及改善方案导出，新技术专利/论文撰写3、演算法开发 ——负责中小尺寸OLED屏幕画质补偿相关算法开发（Demura/VDC等） 任职资格：1、本科及以上学历，电子信息相关专业 2、有2年以上AMOLED电子设计经验或1年以上dem...,贸易/进出口,http://jobs.zhaopin.com/CC144916330J40477268204.htm,500-999人,2026-01-04 11:24:45,15000.0,30000.0,15.0
资深电子工程师,厦门,普为光电,大专,5-10年,"LED灯具照明,电路设计",15000-30000,一、岗位职责 1、负责LED灯具驱动电源电路的设计、优化、可靠性试验。 2、根据项目需求，制定新产品的开发方案。 3、根据方案进行进行参数设定调试、测试。 4、产品技术文件整理 测试报告 产品规格书 BOM 材料信息。 5、协助生产部门制定产品的生产工艺流程、QC工程表等。 6、协助生产部门根据工艺要求设计工装夹具或改进工装夹具。 7、 全程指导新品的样品制作并跟踪小批量试产并对发现的问题进行改善...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC393470020J40400675014.htm,1000-9999人,2025-12-28 01:39:39,15000.0,30000.0,13.0
