职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
跟踪支架结构设计工程师,厦门,阳霖(厦门)机械科技有限公司,本科,5-10年,,30000-60000,岗位职责 光伏支架方案设计：包括完成项目前期情况勘察工作，了解现场地貌特征，收集整理项目设计前期所需相关资料，进行光伏支架设计，方案优化，结构计算书编制，方阵排布图设计。 光伏支架产品设计：要求有跟踪支架的设计经验。 商务技术支持：包括项目前期技术咨询，项目成本概算编制，招、投标过程中相关技术和设计沟通协调工作，技术标文件编制。 售前、售后技术支持：根据客户的要求，进行光伏支架系统的结构设计和计算...,贸易/进出口,http://jobs.zhaopin.com/CC421336580J40824044508.htm,100-299人,2025-08-05 10:44:14,30000.0,60000.0,13.0
建筑结构应用工程师（管桩销售）,厦门,浙江兆弟控股有限公司,大专,5-10年,"企业客户,政府客户,区域销售,渠道销售",30000-55000,"岗位职责：1.对企业所产品各大优势必须认真阅读、培训、应达到基本满足在业主、总包、设计院、讲介能力； 负责产品的营销、应推广工作，管理与维护好客户关系，开发新客户；2.按照负责区域全年销售指标，制度年度、季度、月度销售计划分解到个人，且要落实执行；3.负责所在区域市场信息的收集及竞争对手的分析，并制订产品销售推广应用策略；4.负责所在销售区域内公司市场推广活动的策划和执行,积极配合推广活动的准备工...",房地产开发,http://jobs.zhaopin.com/CC310471330J40817601507.htm,1000-9999人,2025-12-17 13:35:18,30000.0,55000.0,12.0
土建工程师,厦门,厦门港航建设有限公司,本科,5-10年,工业建筑,20000-40000,岗位内容：1. 负责土木/土建项目的设计、实施、监督和管理；2. 负责土木/土建工程的计划编制和预算控制；3. 协调与其他部门的合作，确保土木/土建工程按时按质完成；4. 参与土木/土建工程的方案论证、技术交流；任职要求：1. 具备土木/土建工程相关专业本科以上学历；2. 具备扎实的土木/土建工程理论知识，至少5年以上项目实施经验；3. 熟练掌握CAD等设计软件和相关办公软件操作；4. 有良好的沟...,工程施工,http://jobs.zhaopin.com/CC621702120J40743129806.htm,100-299人,2026-01-10 01:17:21,20000.0,40000.0,12.0
技术开发高级工程师,厦门,厦门坤锦电子科技有限公司,本科,5-10年,机械研发,20000-40000,【岗位职责】 1.依据产品总成的设计技术规格和指标，对其中核心功能实现的结构进行细化地设计， 2.从核心功能实现的高可靠性上、易装配性、可自动化生产等要求上，反复深入地评估， 3.分析，并优化细部结构设计， 4.对产品核心功能进行计算，有限元分析模拟，及结构公差及尺寸链分析， 5.对产品核心功能结构进行设计评审。 【任职资格】 1、本科以上学历，机械，机电，材料，流体，力学，自动化等工科类专业； ...,仪器仪表制造,http://jobs.zhaopin.com/CC363934110J40228940914.htm,1000-9999人,2025-04-28 07:58:16,20000.0,40000.0,12.0
建筑结构推广工程师（销售技术推广）,厦门,浙江兆弟控股有限公司,大专,3-5年,"土木工程,结构工程师,房建工程,市政工程",25000-35000,我们正在寻找一位独特的复合型人才一高级优化工程师。您不仅是技术的专家，更是市场的桥梁。本岗位的核心使命是:深度理解客户(主要为设计院、开发商及政府城投平台)在土木建筑项目中的痛点，基于兆弟领先的结构技术与产品，提供具有竞争力的优化解决方案，并推动方案的成功落地与商业转化。您将扮演“技术型销售顾问”的关键角色，需要将扎实的结构设计理论、丰富的项目实战经验与敏锐的市场洞察力相结合。您的目标是通过专业的...,房地产开发,http://jobs.zhaopin.com/CC310471330J40808783407.htm,1000-9999人,2026-01-12 01:17:40,25000.0,35000.0,12.0
高级硬件工程师（深圳/厦门）,厦门,科华数据股份有限公司,本科,3-5年,"硬件开发,光伏并网逆变器,UPS,储能变流器",18000-35000,工作职责:1、负责UPS、高压直流、逆变器、储能、变流器、充电桩等产品硬件开发工作；2、负责完成ACDC、DCDC、DCAC等功率板的设计和调试；3、负责调试及优化ACDC控制板、功率板的硬件电路；4、根据产品标准，配合软件工程师完成ACDC部分在不同工况下的性能优化；5、负责模块的并机调试等工作。任职要求:1、电力电子、电气工程、自动化、电子信息等相关专业，本科学历；2、有3年以上光伏逆变器、储...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC120788000J40929826904.htm,1000-9999人,2026-01-08 16:19:20,18000.0,35000.0,14.0
机械结构工程师,厦门,苏州人瑞普惠人力资源服务有限公司,本科,3-5年,,20000-35000,岗位职责：- 负责机械结构的设计与开发。- 对现有机械结构进行优化改进。- 与其他部门协作，确保项目顺利进行。岗位要求：- 机械工程相关专业毕业。- 熟悉机械结构设计相关软件。- 具备良好的团队协作和沟通能力。,互联网,http://jobs.zhaopin.com/CC427775130J40911231615.htm,20-99人,2026-01-08 13:29:03,20000.0,35000.0,12.0
开关电源硬件工程师（BBU）,厦门,厦门新能安科技有限公司,硕士,5-10年,"BBU,AIDC",18000-35000,岗位职责:1、负责BBU((Battery Backup Unit))电源产品硬件设计、技术指标定义、性能验证、认证推进、量产交付；2、负责BBU电源产品的磁性器件的的设计、关键功率器件参数计算、选型；3、负责BBU电源产品新技术预研和导入，规划产品开发方向。 任职要求:1、专业背景：电子/电气工程、电力电子、自动化相关专业硕士及以上学历；有BBU、UPS、服务器电源产品硬件研发经验者优先；2、技...,新能源,http://jobs.zhaopin.com/CCL1409591300J40818055207.htm,1000-9999人,2025-12-19 10:30:13,18000.0,35000.0,18.0
机械工程师-XM (MJ042194),厦门,宁德时代新能源科技股份有限公司,学历不限,3-5年,"电气设备,非标设备,精密设备,维修/保养,安装/调试",15000-30000,岗位职责：1.编制设备管理的各项制度、规范、标准和流程、组织执行各类制度及规范，并对执行情况进行监控；2.编制各项设备维护计划、对各维护计划进行分解，并指导实施；3.编制设备维护方案，对维护方案实施过程进行控制；制定设备维护标准和流程并实施；对设备的日常运行状况进行监督和控制，及时排查设备隐患；指导设备故障处理4.建立设备的维护台账，保证档案信息的齐全，对设备各项技术参数进行统计分析；5.编制设备...,电子设备制造,http://jobs.zhaopin.com/CC271988630J40979425204.htm,10000人以上,2026-01-10 17:08:39,15000.0,30000.0,12.0
结构工程师/主管(J10495),厦门,厦门汉印股份有限公司,本科,5-10年,"注塑工艺,钣金工艺",21000-30000,岗位职责: 1. 负责公司产品结构设计与开发，确保产品结构合理、可靠； 2. 负责指导和审核团队成员的设计工作，提高设计质量； 3. 负责与其他部门密切合作，确保产品顺利生产； 4. 参与产品项目的立项、评审和验收，对产品结构方面提供技术支持。 任职要求: 1. 本科及以上学历，机械设计等相关专业，熟悉结构设计相关软件； 2. 具备5年以上结构设计经验，有打印设备行业经验者优先； 3. 具备2年以...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40896075302.htm,1000-9999人,2026-01-10 01:04:39,21000.0,30000.0,12.0
OLED结构设计岗（仿真/结构/模组材料开发）,厦门,天马微电子,本科,3-5年,"结构仿真,模组材料开发",15000-30000,工作职责：1、柔性OLED技术开发项目、量产项目风险仿真指导评估，新技术、新材料、新轨迹、新叠构导入的可靠性风险与能力预测，可独立完成产品各类相关仿真工作，仿真模型包含模组弯折仿真、Pad bending、落球落笔等冲击类仿真，输出技术分析报告，指导设计定版和优化方向 2、指导解析项目相关issue，协助分析方向确定和优化建议，指导工艺制程优化方向 3、研究仿真有关的新材料特性，进行常规金属、塑料...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC611978020J40831636810.htm,1000-9999人,2026-01-09 01:28:25,15000.0,30000.0,14.0
高级硬件工程师,厦门,厦门彼格科技有限公司,本科,10年以上,"设计,硬件测试,PCB设计,FPGA研发,DSP研发",17000-30000,岗位职责：1.负责新品的硬件设计开发调试工作，确保满足功能、性能及可靠性要求；2.独立完成硬件需求分析、方案设计、元器件选型、原理图设计及相关的PCB LAYOUT工作(包含审核及调试优化工作)；3.配合团队人员的系统调试及产品优化，解决跨领域技术问题；4.主导硬件开发全流程，包含原型机测试、量产问题解决、设计文档编写及BOM的相关维护管理；5.协助制定硬件开发规范，参与部门技术评审及经验沉淀，提...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC278744130J40763039308.htm,100-299人,2026-01-07 01:19:25,17000.0,30000.0,13.0
结构工程师/主管(J10495),厦门,厦门汉印股份有限公司,本科,经验不限,"注塑工艺,钣金工艺",21000-30000,岗位职责:1. 负责公司产品结构设计与开发，确保产品结构合理、可靠；2. 负责指导和审核团队成员的设计工作，提高设计质量；3. 负责与其他部门密切合作，确保产品顺利生产；4. 参与产品项目的立项、评审和验收，对产品结构方面提供技术支持。任职要求:1. 本科及以上学历，机械设计等相关专业，熟悉结构设计相关软件；2. 具备5年以上结构设计经验，有打印设备行业经验者优先；3. 具备2年以上团队管理经验优...,电子设备制造,http://jobs.zhaopin.com/CC608178620J40896089902.htm,1000-9999人,2026-01-09 01:04:15,21000.0,30000.0,12.0
研发专家/总监/结构设计专家（智能马桶）,厦门,九牧厨卫股份有限公司,本科,10年以上,"Pro/E,注塑工艺,钣金工艺,智能马桶,结构研究,结构设计",20000-30000,岗位职责：1、根据智能马桶特点、使用情况等发现新需求及新的技术方向。2、根据技术路线图及研发流程要求，管控技术项目过程中的质量，成本及交期，确保技术项目研发符合输入要求，定期检讨修正。3、根据技术路线图要求，提供技术研发过程技术攻关支持，推进技术研发难点快速处理。任职要求：1、本科及以上学历，机械自动化、流体力学、给排水等相关专业。 2、8年以上电子、机械、流体力学等相关工作经验，具有较好的创新思...,建材,http://jobs.zhaopin.com/CC398389710J40778191205.htm,10000人以上,2025-12-17 17:24:13,20000.0,30000.0,12.0
硬件工程师（机芯主板）,厦门,理工睿视(北京)光电科技有限公司,本科,3-5年,硬件测试,15000-30000,岗位一：硬件工程师（机芯主板）你将负责：1. 参与相机机芯的系统方案设计，独立完成“原理图设计和PCB Layout”（高速数字电路为主）。2. 负责元器件选型、BOM制作，并跟进PCB打样、焊接和调试全过程。3. 协同解决信号完整性、电源完整性等硬件问题，保障硬件平台的稳定与可靠。4. 参与制定硬件测试方案，完成硬件板的验证与优化。我们希望你：1. 本科及以上学历，电子、通信、自动化等相关专业。...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1513454610J40819882314.htm,20-99人,2025-12-12 16:38:49,15000.0,30000.0,12.0
