职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
运营优化总监(厦门总部),厦门,北京驰宏宇乐科技有限公司,本科,5-10年,"门店运营,产品运营,商家运营",45000-85000,岗位职责:1、建立并优化能保障门店运营标准化操作、管理流程标准化执行的IT系统2、制定门店操作事务相关的操作程序、配置标准3、系统化实现高效的运营异常事件发现、传递、跟踪体系4、充分拓展技术应用于员工管理、员工生产效率管理的系统化工作任职要求：1、教育程度：年龄50岁以下，能力强可放宽，学历本科以上。2、背景经验：连锁餐饮或互连网零售产业经验专业领域经验、管理经验要求3、专业知识：项目管理能力及运...,互联网,http://jobs.zhaopin.com/CCL1507158650J40714450606.htm,20-99人,2026-01-01 12:06:12,45000.0,85000.0,12.0
招商运营总监,厦门,福建美穗科技有限公司,学历不限,5-10年,,60000-80000,岗位职责1、战略规划与统筹：分析行业、市场及公司现状，制定招商战略与长期运营规划，定位目标代理商，协同部门资源，把控战略与运营方向。2、招商拓展：挖掘、筛选潜在代理商，通过谈判签订合作协议，主导子公司设立、收购，搭建运营体系。3、合作维护：维护与代理商合作关系，评估成效，定制推广方案与培训指导，监督子公司运营，促进协同发展。4、体系建设与培训：主导公司内部运营体系建设，涵盖招商流程、客户服务及培训...,美发/美容/保健,http://jobs.zhaopin.com/CCL1375766670J40654763106.htm,100-299人,2025-05-14 14:46:31,60000.0,80000.0,12.0
商业化运营总监,厦门,咪咕,学历不限,经验不限,"商业化运营,元宇宙",,岗位职责：﻿1、负责元宇宙项目的整体商业化战略规划，根据集团战略和市场趋势，制定年度经营目标，并带领团队确保目标的达成。2、设计并实施元宇宙项目的商业化变现策略，包括但不限于广告、赞助、会员服务、虚拟物品交易、数字藏品（NFT）销售等多元化变现模式。3、全面负责元宇宙项目的日常运营管理工作，优化业务流程，加强内部结果管控，提升团队工作效率和整体运营效能。4、持续收集并分析元宇宙市场及同行业竞品信息...,互联网,http://jobs.zhaopin.com/CC711333420J40782086705.htm,1000-9999人,2025-06-04 17:25:47,,,
国际化投资专员/主管/经理(J15988),厦门,厦门象屿股份有限公司,本科,5-10年,"股权投资,企业投资,海外投资",30000-60000,岗位职责:1.在非洲、中东、东南亚、南美等目标区域，系统性开展行业研究、项目寻源、初步筛选与可行性分析，建立投资项目储备库。2.主导投资项目的全流程执行，包括财务与商业尽职调查、估值建模、交易结构设计、商务谈判、协议起草及最终交割。3.负责或深度参与投后管理工作，监控被投企业运营与财务表现，制定并推动价值提升方案。4.在当地建立并维护与政府部门、金融机构、产业伙伴及中介机构的战略网络。任职要求:1...,贸易/进出口,http://jobs.zhaopin.com/CC406539710J40814896911.htm,1000-9999人,2026-01-07 01:31:16,30000.0,60000.0,12.0
国际贸易专员-国企/日本/印尼工厂直招,厦门,厦门盛方生态技术集团有限公司,本科,经验不限,"Facebook,英语,日语,东南亚区域,欧美区域,北美区域,酒类,农副产品",30000-50000,岗位职责：1、开发和维护客户：通过各种渠道（如展会、社交平台、电子邮件等）开发新客户、新供应商，促进交易。2、订单管理和跟踪：负责进出口订单的跟踪、交付和物流跟踪，并及时处理任何可能出现的问题。3、市场分析和竞争情报：收集市场信息，反馈竞争对手信息，以及维护客户档案，以便更好地了解市场动态和客户需求。5、客户服务和支持：处理客户投诉与纠纷，做好售前、售后服务。6、合同和文件处理：负责拟定销售合同等...,贸易/进出口,http://jobs.zhaopin.com/CCL1330498660J40796515102.htm,100-299人,2025-12-13 00:27:23,30000.0,50000.0,12.0
码头运营经理/副经理,厦门,紫金矿业集团股份有限公司,本科,5-10年,,30000-50000,工作职责：1.日常运营监督与协调：监督装卸作业全过程，跟踪船舶靠离泊计划执行情况，监控装卸效率、设备状态及堆场利用率等关键指标；2.运营体系构建与优化：全面负责码头/港口运营管理体系的搭建、完善与持续改进；3.码头运营制表以及目标的管控提升，包括经营计划以及预算编制审核以及过程控制，码头运营盈亏分析及成本管控；4.内外部协调与应急处理：统筹协调码头内部及与外部相关单位的运营协作，及时响应并高效处理...,矿产/采掘,http://jobs.zhaopin.com/CC121090500J40807941202.htm,10000人以上,2025-09-03 00:00:02,30000.0,50000.0,12.0
跨境电商运营经理 (MJ001949),厦门,大博医疗,本科,3-5年,"阿里巴巴国际站,亚马逊,天猫",30000-45000,工作职责1. 负责公司功能性食品在国内电商平台（天猫国际、京东国际等、抖音、快手等）的整体运营规划与执行，制定月度、季度、年度运营策略，确保销售目标达成。2. 深入分析各电商平台数据，包括流量、转化率、用户行为等，精准定位问题并提出优化方案，持续提升店铺运营效率和销售业绩。3. 主导店铺日常运营管理，包括但不限于商品上架、下架、页面优化、标题关键词优化、库存管理等，确保店铺正常运转且符合平台规则。...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40902969915.htm,1000-9999人,2025-11-13 13:04:03,30000.0,45000.0,15.0
生产运营总监（厂长/副总）,厦门,爱维达电子,本科,10年以上,"生产工厂管理,生产研发管理",25000-40000,一、任职要求：1. 35岁以上，本科学历，电子或电气相关专业优先；2. 规模企业（电子、机电制造）10年以上生产运营管理经验；3. 熟悉物料供应、生产计划、现场管理、工艺、仓储管理等精益管理；4. 熟悉ISO9001管理体系、大型ERP系统操作经验优先；5. 优秀的组织协调沟通、团队管理能力；6. 丰富的团队管理经验；7. 较好的抗压能力与职业素养。二、主要职责：1．全面落实协调供应链管理中心各项...,专用设备制造,http://jobs.zhaopin.com/CC203849010J40801320309.htm,300-499人,2026-01-03 01:23:03,25000.0,40000.0,14.0
Tiktok运营经理,厦门,泉州笠泊居电子商务有限公司,本科,3-5年,"精品运营,海外推广,数据运营,英语,TK运营,TikTok",20000-40000,岗位职责：1、负责TikTok跨境电商业务的团队搭建与日常管理，制定针对目标市场的销售目标与增长策略，并带领团队完成业绩指标。2、全面负责TikTok Shop（小店）的运营与管理，包括店铺入驻、商品管理、市场定价、活动营销、订单处理及跨境物流协同，确保店铺合规高效运营。3、深入研究海外市场及用户偏好，分析竞品动态，制定本地化的产品结构、内容策略和促销方案，提升店铺在目标区域的竞争力。4、熟悉Ti...,电子商务,http://jobs.zhaopin.com/CCL1473957100J40816819805.htm,20-99人,2026-01-02 11:55:00,20000.0,40000.0,12.0
国际化财务专员/主管/经理(J15986),厦门,厦门象屿股份有限公司,本科,3-5年,"财务分析,成本管理,税务管理",20000-40000,岗位职责:1.全面管理海外子公司或重大项目的财务工作，包括会计核算、财务报告、全面预算、经营分析及内部控制。2.主导海外税务筹划、税务合规申报以及跨境资金管理体系，有效进行外汇风险管控。3.负责对接境内外审计机构，确保财务报表符合中国会计准则与国际财务报告准则（IFRS）要求。4.深度参与海外投资项目的财务测算、尽职调查，并负责投后财务整合与监控。任职要求:1.拥有3年以上财务管理经验，CPA、A...,贸易/进出口,http://jobs.zhaopin.com/CC406539710J40814898511.htm,1000-9999人,2025-12-16 16:20:48,20000.0,40000.0,12.0
