职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
对日软件开发工程师,郑州,杭州优灿科技有限公司,学历不限,3-5年,"Java,C#,C/C++,嵌入式技术,VB,SQL,日语,.NET,Python,Android",18000-35000,1.3年以上Java/.NET/C/C++/开发经验2.了解Spring boot、mybatis、redis、mysql等常用开发框架与工具3.有对日项目经验，可不借助翻译软件独立读写式样书4.日语N3及以上5.了解React、angular、vue等前端技术者优先6. 学习和理解能力强，反应敏捷，具有一定的系统分析能力，及独立解决问题的能力,计算机软件,http://jobs.zhaopin.com/CC272317030J40853034613.htm,500-999人,2026-01-08 01:36:23,18000.0,35000.0,12.0
android安卓开发工程师,郑州,中财信忠(北京)科技有限公司,本科,1-3年,"Android Studio,SDK,Java,Kotlin,C++,PMS,AMS,银行项目,鸿蒙项目,消金信贷项目",15000-25000,岗位职责：1、App客户端应用开发工作，基于Android平台进行应用程序开发；2、技术文档编写、独立完成功能模块的设计、开发以及单元测试；3、参与产品的设计和改进，并提供相关技术支持；负责产品架构的改进及性能优化。职位要求：1、本科及以上学历，计算机或相关专业优先；2年以上Android客户端开发经验；2、开发基础良好，精通 Objective-C、Java 语言，以及相关技术框架。理解设计模式...,科学技术推广,http://jobs.zhaopin.com/CC424188630J40859397712.htm,500-999人,2026-01-07 16:10:06,15000.0,25000.0,12.0
高级移动开发工程师(A163381),郑州,捷安高科,本科,3-5年,鸿蒙,15000-25000,职位描述：1. 负责公司工业级可穿戴设备（AI眼镜）端应用的架构设计、开发与维护，覆盖 Android 与 OpenHarmony / HarmonyOS NEXT 双平台；2. 主导核心功能模块开发，包括：第一视角音视频采集、语音交互、AR信息叠加、远程协作、离线AI推理集成等；3. 跟踪鸿蒙生态演进，评估新技术（如分布式能力、Stage 模型、ArkTS 响应式框架）在工业场景的落地价值。4....,计算机软件,http://jobs.zhaopin.com/CC219039210J40909504415.htm,500-999人,2026-01-05 01:41:42,15000.0,25000.0,14.0
赴日软件开发工程师,郑州,杭州优灿科技有限公司,学历不限,经验不限,"C#,C++,日语 1 级,日语 2 级,日语 3 级,COBOL,Java,Android,iOS",17000-30000,技能要求：日语可日常简单交流，1年以上工作经验。 PC携帯系：JAVA，.NET，C#，VB，HTML5，PHP，IOS，Android，COBOL等 ERP系：SAP、SalesForce、MCFrame、Dynamics、EBS等 infra系：DBAsolaris、RHEL、vmware、WAS等设计及构筑等 BigData系:ETL、Python、Scala、R 等 嵌入式或 制图系：C+...,计算机软件,http://jobs.zhaopin.com/CC272317030J40809133113.htm,500-999人,2025-12-30 01:38:02,17000.0,30000.0,12.0
移动客户端开发,郑州,中财信忠(北京)科技有限公司,本科,1-3年,"Android Studio,SDK,Java,Kotlin,C++,PMS,AMS,银行项目,鸿蒙项目,消金信贷项目,Flutter,多线程,SYSTRACE,OOM",15000-25000,岗位职责：1、App客户端应用开发工作，基于Android平台进行应用程序开发；2、技术文档编写、独立完成功能模块的设计、开发以及单元测试；3、参与产品的设计和改进，并提供相关技术支持；负责产品架构的改进及性能优化。职位要求：1、本科及以上学历，计算机或相关专业优先；2年以上Android客户端开发经验；2、开发基础良好，精通 Objective-C、Java 语言，以及相关技术框架。理解设计模式...,科学技术推广,http://jobs.zhaopin.com/CC424188630J40863688112.htm,300-499人,2026-01-04 12:03:41,15000.0,25000.0,12.0
安卓开发工程师：全栈+AI双赛道，快速晋升机会！,郑州,光庭信息,本科,1-3年,车载项目,13000-25000,1.职业优势：你的职业，不止“开发”1）快速晋升通道：团队高速发展中需要更多人才，入职即有机会担纲关键角色，加速职业成长！2）内部优先提拔：光庭坚持内部人才优先，晋升机会面向全球职场，能力决定上升高度！3）全栈能力淬炼：深度参与车载Android全链路研发（HAL&Framework&APP），接触主流车企项目，快速成长为安卓全栈工程师！4）AI转型窗口：有机会参与AI+汽车前沿项目，转型为AI工...,计算机软件,http://jobs.zhaopin.com/CC534400620J40783089216.htm,1000-9999人,2025-12-24 10:18:48,13000.0,25000.0,12.0
Android移动开发工程师(A103192),郑州,捷安高科,本科,3-5年,Android Studio,15000-25000,岗位职责：- 基于 Rokid CXR-M SDK 开发高性能 Android 控制端应用，实现与 Rokid Glasses 的深度协同；- 实现蓝牙/Wi-Fi P2P 双通道通信，稳定传输第一视角视频流、语音指令与 AR 标注数据；- 构建离线优先的巡检工单引擎，支持任务加载、状态更新、异常上报与数据同步；- 集成自研 AI 模型（TensorFlow Lite / ONNX），实现实时表计...,计算机软件,http://jobs.zhaopin.com/CC219039210J40907747615.htm,500-999人,2025-12-03 13:24:15,15000.0,25000.0,12.0
客户端开发工程师,郑州,河南校信通教育科技有限公司,本科,3-5年,Android开发,15000-20000,岗位职责：1.根据业务需求，独立完成iOS/Android客户端程序的设计及开发；2. 参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作，负责客户端整体或者核心模块的设计；3.对产品进行持续优化和改进，对App性能、安全、容器、工程方面持续优化提升，提升软件质量和性能；4.负责新兴技术的钻研探索，研究其可行性并且帮助业务达成目标。 任职要求： 1.本科及以上学历，3年以上客户端开发...,计算机软件,http://jobs.zhaopin.com/CC195800810J40798847308.htm,100-299人,2026-01-01 00:07:40,15000.0,20000.0,15.0
高级APP逆向工程师,郑州,新疆西域畅游国际旅行社有限公司,大专,3-5年,"逆向开发,逆向工程师",15000-20000,岗位职责1.负责移动端应用(Android/iOS)的逆向分析、脱壳及反编译工作2.破解APP加密逻辑，完成核心算法还原与协议逆向，分析网络通信协议，实现关键接口的抓包与协议破解3.定位并分析APP安全防护机制（如加固、混淆、反调试）编写自动化逆向分析工具，提升逆向工程效率输出高质量技术分析报告及解决方案文档岗位要求：1.精通ARM汇编/JVM字节码，熟练使用IDA Pro、JEB、Frida、X...,电子商务,http://jobs.zhaopin.com/CCL1474447980J40853035715.htm,100-299人,2025-08-12 00:15:43,15000.0,20000.0,12.0
Android Framework 开发工程师,郑州,深圳市天龙世纪科技发展有限公司,本科,3-5年,"Framework,手机/平板",12000-20000,"1、3年以上Android开发经验, 计算机相关专业本科以上；2、精通Framework层Manager/Service的架构和实现原理，同时具有HAL层，APP开发经验的优先；3、精通Linux环境下的Android系统开发, 有展锐、MTK等手机平台开发经验的优先考虑;4、熟练掌握Java语言,掌握C/C++语言者优先， 熟悉面向对象设计方法和常用设计模式5、熟悉Android SDK、对An...",通信/网络设备,http://jobs.zhaopin.com/CC602530620J40605286002.htm,100-299人,2025-07-01 00:12:20,12000.0,20000.0,13.0
跨平台客户端高级工程师,郑州,河南校信通教育科技有限公司,本科,3-5年,"Android开发,跨平台开发,多线程",15000-20000,岗位职责：1. 对接并整理业务部门的需求，完成客户端程序的开发以及应用模块的设计、编码、测试，相关功能预研和研究；2. 参与多端多os的产品研发迭代，推动公司跨平台开发统一端能力生态，提供良好的大前端开发体验；3. 参与技术方案设计讨论、新技术预研和应用。任职要求： 1.本科及以上，三年以上相关工作经验； 2. 熟悉iOS/Android，熟悉多线程/网络/内存管理； 3. 有多个完整项目开发经验...,计算机软件,http://jobs.zhaopin.com/CC195800810J40798847108.htm,100-299人,2025-04-19 15:00:06,15000.0,20000.0,15.0
Android/IOS开发工程师,郑州,外企德科数字技术有限公司,本科,3-5年,"Android,iOS",12000-19000,岗位职责1. 基于蚂蚁OS系统框架，完成智能设备的Android系统整合、研发和产品落地；2. 分析并解决系统集成相关的技术问题；3. 结合行业特点，整理并输出完整的Android系统解决方案；岗位要求1. 熟练使用C/C++/JAVA等开发语言，简单使用bash/python等脚本语言；2. 了解Android系统的开发和构建，熟悉Android系统框架，如AMS、PMS、PWM、Camera相...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40835329705.htm,10000人以上,2026-01-12 00:26:57,12000.0,19000.0,12.0
