职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级嵌入式开发工程师,郑州,牧原股份,本科,5-10年,"32位单片机,ARM处理器,C语言,C++",25000-40000,岗位职责：1、根据嵌入式软件系统的需求，能够完成嵌入式软件系统架构设计；2、能够设计嵌入式软件系统的功能调试、集成测试工作，编写相关的测试方案及用例；3、负责嵌入式软件系统方案的评审、把控；确保研发准确率和有效性；4、负责对研发过程中遇到的相关技术问题进行攻关；5、团队建设：持续输出，并带动团队技术和氛围，提高凝聚力和技术先进性。6、技术预研，风险管理。探索评估新技术、新产品风险。充分评估可行性，...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40801170411.htm,10000人以上,2025-12-09 19:20:33,25000.0,40000.0,12.0
JAVA架构师(A96449),郑州,捷安高科,本科,5-10年,"Java,微服务架构,平台架构",20000-35000,职位描述：职位描述1、架构设计与规划：主导公司核心业务系统的整体架构设计，包括技术选型、架构分层、模块划分及交互逻辑设计，输出高质量的架构文档（如架构图、技术方案说明书），确保架构具备高可用性、高扩展性与安全性，支撑业务长期发展。2、技术决策与落地：针对复杂业务场景制定技术解决方案，评估新技术（如微服务架构、云原生技术、AI 辅助开发工具）的适用性并推动落地，解决架构层面的关键技术难题，规避技术风...,计算机软件,http://jobs.zhaopin.com/CC219039210J40903580715.htm,500-999人,2026-01-10 01:45:49,20000.0,35000.0,12.0
车载嵌入式软件开发工程师,郑州,大连蓝海时代信息技术有限公司,本科,10年以上,"C语言,C++,电机底层驱动控制,ARM处理器",25000-35000,一、岗位职责1、独立完成从需求分析→架构设计→详细设计→模型或编码的全流程开发，制定软件设计书明书；2、解决较为复杂的技术难题，运用测量手段和逻辑推理定位问题原因，提出改进方案；3、编制MIL及PIL软件测试用例，并推进落地。二、任职要求1、本科及以上学历，计算机科学与技术、软件工程、电子信息工程、自动化、车辆工程（电子/控制方向）、控制工程相关专业；2、具有8年及以上汽车电子行业软件相关工作经验...,企业服务,http://jobs.zhaopin.com/CC852808000J40832568408.htm,500-999人,2025-08-15 10:59:41,25000.0,35000.0,13.0
嵌入式软件系统工程师,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"C++,C语言,ROS,linux",20000-30000,岗位JD1、负责嵌入式 Linux 系统配置并搭建编译环境、特定组件移植2、负责系统性能（CPU 利用率、内存占用、存储带宽等）优化3、开发工具以助力编译发布流程的自动化，维护并优化持续集成环境招聘核心要求1、本科及以上学历，计算机、电子工程、自动化、机器人或相关专业，3 年以上智能硬件/机器人研发经验优先。2、熟悉Linux系统编程，ROS框架，精通C/C++/Python3、具备 Linux ...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40746261206.htm,20-99人,2026-01-08 14:35:03,20000.0,30000.0,12.0
嵌入式软件工程师,郑州,武汉佰思特信息科技有限公司,本科,1-3年,"32位单片机,GD单片机,Python,Shell,linux,STM32,单片机,嵌入式软件,机器人",15000-30000,"岗位职责:1、负责单片机、嵌入式软件开发、维护和优化工作;2、根据客户需求，负责软件需求定义、系统设计、详细设计、编码以及相关文档撰写;3、解决产品在测试、生产和应用过程中软件相关的问题。任职要求:1、本科及以上学历，计算机、通信、电子、电气、自动化相关专业;1年以上应用开发工作经验;2、熟悉软件应用开发的流程,熟悉常用协议及规范(UART、IIC、USB、MODBUS、MQTT、TCP/IP);...",计算机软件,http://jobs.zhaopin.com/CCL1393248930J40785607216.htm,1000-9999人,2026-01-06 12:46:49,15000.0,30000.0,14.0
嵌入式软件工程师（新能源）,郑州,超聚变数字技术股份有限公司,本科,5-10年,"储能,EMS系统,充电桩",15000-30000,职责：1、负责充电桩控制系统的软件开发和维护；2、负责软件设计文档的编写和代码质量的控制；3、与硬件工程师协作，参与产品的需求分析和方案设计；4、解决产品开发过程中的技术难题，提供现场技术支持。岗位要求：教育背景：电子工程、计算机科学、自动化或相关领域的本科及以上学历；知识技能：精通C编程语言；有基于ARM的嵌入式系统开发经验；熟悉至少一种嵌入式操作系统的移植、裁剪和应用开发；熟悉硬件接口驱动开发...,计算机硬件,http://jobs.zhaopin.com/CCL1367103620J40841657515.htm,1000-9999人,2026-01-05 14:56:45,15000.0,30000.0,12.0
对日Java开发,郑州,杭州优灿科技有限公司,学历不限,5-10年,"JavaScript,Spring,Java,MySQL,Oracle,日语,对日,N1",15000-30000,1. 对日Java开发5年以上经验。2. 日语N3以上，能够听懂日常会议，口语流利者优先。3. 熟练掌握详细设计~结合测试的工作要点，有一定的概要设计经验。4. 有管理经验者优先。,计算机软件,http://jobs.zhaopin.com/CC272317030J40852878013.htm,500-999人,2025-12-31 11:02:46,15000.0,30000.0,12.0
嵌入式软件开发工程师(J10031),郑州,南京北路智控科技股份有限公司,本科,3-5年,"单片机,C语言,C++,SPI/CAN,以太网,UART,RS495",16000-30000,岗位职责:1、负责通信/监控/网络/自动化等新产品的嵌入式设计开发、程序编写；2、负责嵌入式软件方向的技术攻坚、器件验证；3、负责产品的详细设计方案制定；4、参与新技术、新平台的技术引进；5、参与嵌入式软件的标准化建设。任职要求:1、一本及以上学历，电子、通信、测控、控制类专业，3年以上嵌入式开发工作经验；2、热爱嵌入式产品开发工作，能够承担项目开发压力；3、具有数电、模电基本知识，能够理解并分析...,物联网,http://jobs.zhaopin.com/CC204378620J40830180910.htm,1000-9999人,2025-12-25 17:25:11,16000.0,30000.0,12.0
java系统架构师,郑州,汉询软件,本科,10年以上,"Java,多进程,容器技术,SpringBoot,SpringCloud,大数据架构,平台架构,SAAS/ERP,WMS/CRM,Spring",15000-30000,1.负责企业级应用系统的整体架构设计与技术选型 2.主导Java技术栈的核心框架搭建与性能优化 3.制定系统开发规范并推动技术落地实施 4.指导开发团队解决复杂技术难题 5.参与重大项目的技术方案评审与风险评估 6.参与核心代码开发任职要求：1.技术能力要求 8年以上Java开发经验，3年以上大型系统架构设计经验 2.精通Spring Boot/Cloud等主流框架，熟悉微服务架构设计与服务治理（...,计算机软件,http://jobs.zhaopin.com/CC340786110J40782710802.htm,20-99人,2025-12-24 16:12:36,15000.0,30000.0,12.0
服务端开发工程师（数据管理方向）,郑州,新疆易控智驾技术服务有限公司,硕士,5-10年,Java,15000-30000,岗位职责：参与建设通用、灵活、智能的业务中台的开发与设计，支撑上层多场景的复杂业务。负责业务中台日常开发工作，包含需求理解，代码实现，单元测试，对外接口的设计和开发等工作。任职要求：具备稳定性建设经验，能够在设计、开发、上线等各个阶段充分考虑系统稳定性需求；具备良好的java技术基础，能够充分将理论与实际结合；熟悉中台架构与管理组件，具备丰富的中台架构和SOA架构设计经验；擅长领域模型和敏捷开发的...,矿产/采掘,http://jobs.zhaopin.com/CCL1436477730J40835869813.htm,300-499人,2025-12-10 09:02:33,15000.0,30000.0,12.0
java工程师,郑州,苏州人瑞普惠人力资源服务有限公司,大专,3-5年,,15000-30000,岗位职责：1. 负责公司产品的开发与维护，完成软件的设计、开发、测试、上线等全流程工作；2. 参与项目需求分析与设计，提供技术方案，协助项目经理进行技术决策；3. 对现有系统的性能优化和改进，提高系统稳定性及用户体验；4. 参与团队技术交流和分享，提升团队的技术能力。岗位要求：1. 计算机相关专业，3年以上Java开发经验；2. 熟悉Java语言及相关开发技术，了解常用的设计模式；3. 熟悉Spr...,互联网,http://jobs.zhaopin.com/CC427775130J40908726015.htm,20-99人,2025-12-08 09:14:08,15000.0,30000.0,12.0
电能质量装置（DVR）嵌入式开发工程师,郑州,郑州泰普科技有限公司,本科,经验不限,"32位单片机,C++,C语言",20000-30000,1、负责DVR等电能质量产品核心控制算法的设计、仿真（Matlab/Simulink）与实现。2、独立完成算法在STM32等MCU平台的C代码编写、调试与优化工作。3、与硬件工程师紧密协作，完成产品调试、测试与问题解决。任职要求：1、必须项：精通C/C++嵌入式开发，有STM32或DSP的实际项目开发经验。2、必须项：熟练使用Matlab/Simulink进行电力电子系统建模与控制算法仿真。3、具...,仪器仪表制造,http://jobs.zhaopin.com/CC447993920J40814316809.htm,20-99人,2025-11-27 16:42:05,20000.0,30000.0,12.0
服务端开发工程师（数据管理方向）,郑州,新疆易控智驾技术服务有限公司,硕士,5-10年,"Spring,Redis",15000-30000,岗位职责：1.参与建设通用、灵活、智能的业务中台的开发与设计，支撑上层多场景的复杂业务。2.负责业务中台日常开发工作，包含需求理解，代码实现，单元测试，对外接口的设计和开发等工作。任职要求：1.具备稳定性建设经验，能够在设计、开发、上线等各个阶段充分考虑系统稳定性需求；2.具备良好的java技术基础，能够充分将理论与实际结合；3.熟悉中台架构与管理组件，具备丰富的中台架构和SOA架构设计经验；4....,矿产/采掘,http://jobs.zhaopin.com/CCL1436477730J40839260813.htm,300-499人,2025-11-05 12:10:03,15000.0,30000.0,12.0
高级嵌入式工程师,郑州,成都西加云杉科技有限公司,本科,5-10年,,20000-30000,岗位职责： > 基于OpenWrt和Linux平台，进行公司网络通信产品（AC、AP、无线路由器等）的驱动开发工作； > 解决测试工程师发现的问题 > 高效解决客户问题 职位要求： > 熟悉Linux嵌入式系统开发 > 熟悉C、shell编程 > 熟悉Socket通信编程和网络协议 > 熟悉TCP/IP网络协议、Socket以及UDP/TCP的报文交互过程 > 较强的问题分析解决能力，自觉学习新技...,运营商/增值服务,http://jobs.zhaopin.com/CC487775020J40886374115.htm,100-299人,2025-09-08 16:32:52,20000.0,30000.0,12.0
ems软件工程师,郑州,郑州众智科技股份有限公司,本科,3-5年,"嵌入式软件开发,驱动开发,STM系列,ARM系列,DSP系列",15000-30000,职责描述：1.负责储能EMS功能需求分析，软件构架制定以及相关软件功能模块的设计；2.负责能量管理系统（EMS）技术方案设计和技术对接：3.负责系统通讯、SCADA、储能协调控制、调度控制、电能质量调节、电能计量的拓扑架构设计；4.负责EMS控制策略制定，与其他设备通讯协议；负责完成软件系统及模块的测试，负责储能系统总体软件联调；5.完成领导交办的其他事项；任职要求：1.电力系统、计算机软件、自动...,电子设备制造,http://jobs.zhaopin.com/CC142437630J40467695205.htm,300-499人,2025-08-05 13:27:30,15000.0,30000.0,13.0
服务端开发工程师（业务中台方向）,郑州,新疆易控智驾技术服务有限公司,硕士,经验不限,PostgreSQL,15000-30000,岗位职责：1.参与建设通用、灵活、智能的业务中台的开发与设计，支撑上层多场景的复杂业务；2.负责业务中台日常开发工作，包含需求理解，代码实现，单元测试，对外接口的设计和开发等工作。岗位要求：1.熟悉中台架构与管理组件，具备丰富的中台架构和SOA架构设计经验；2.擅长领域模型和敏捷开发的思想和方法论，具备微服务架构、设计和开发的项目经验；3.精通SpringBoot、SpringCloud及其微服务...,矿产/采掘,http://jobs.zhaopin.com/CCL1436477730J40839260013.htm,300-499人,2025-11-05 12:08:14,15000.0,30000.0,12.0
归国对日Java开发,郑州,辛巴达软件,学历不限,经验不限,"Java,日语",15000-30000,职位要求：1、软件开发1-3年经验，良好的代码编写习惯2、熟悉Java，SSH框架，熟悉数据库运用3、出色的学习能力、理解能力和逻辑思维能力4、日语熟练5、有2-3年以上日本软件开发经验者优先6、有强,互联网,http://jobs.zhaopin.com/CC433788227J00497795307.htm,20-99人,2025-02-10 15:23:18,15000.0,30000.0,12.0
嵌入式软件工程师（逆变器）,郑州,郑州众智科技股份有限公司,本科,3-5年,,20000-30000,岗位职责： 1、负责储能变流器、逆变器软件开发，验证； 2、负责逆变器软件需求分析、软件架构的设计； 3、负责逆变器的软件代码的编写、调试； 4、负责整个系统的联调与测试。 任职资格： 1、本科以上学历，电力、电子、计算机、自动化、电气工程等相关专业； 2、具有变流器，逆变器控制系统开发经验； 3、熟练掌握C语言编程技能，并熟练使用相关开发、测试，仿真工具； 4、有储能变流器或逆变器公司的工作经验...,电子设备制造,http://jobs.zhaopin.com/CC142437630J40376901505.htm,300-499人,2024-09-11 16:04:06,20000.0,30000.0,13.0
服务端开发工程师（信息化方向）,郑州,新疆易控智驾技术服务有限公司,硕士,5-10年,JavaScript,15000-30000,岗位职责：1.参与建设通用、灵活、智能的业务中台的开发与设计，支撑上层多场景的复杂业务。2.负责业务中台日常开发工作，包含需求理解，代码实现，单元测试，对外接口的设计和开发等工作。任职要求：1.具备稳定性建设经验，能够在设计、开发、上线等各个阶段充分考虑系统稳定性需求；2.具备良好的java技术基础，能够充分将理论与实际结合；熟悉中台架构与管理组件，具备丰富的中台架构和SOA架构设计经验；3.擅长...,矿产/采掘,http://jobs.zhaopin.com/CCL1436477730J40839259513.htm,300-499人,2025-11-05 12:05:54,15000.0,30000.0,12.0
JAVA开发工程师-郑州,郑州,科大讯飞股份有限公司,本科,5-10年,"Spring,JavaScript",18000-28000,岗位职责：1、参与项目需求分析、系统架构设计、详细设计、编码、测试、部署及维护工作；2、主导项目中的技术难题攻关，保证项目按期高质量交付；3、负责项目研发管理，包括计划制定、组织开发、团队管理等；4、负责编写和整理项目过程中的技术设计和开发文档。任职要求：1、具备软件设计开发经验，本科及以上学历，计算机，软件工程等相关专业；2、精通Java语言，深入理解面向对象编程思想，熟练使用Java相关开发框...,计算机软件,http://jobs.zhaopin.com/CC205108410J40977097704.htm,10000人以上,2026-01-04 11:26:06,18000.0,28000.0,14.0
SF开发,郑州,郑州科瑞思拓软件科技有限公司,学历不限,5-10年,SALESFORCE,20000-26000,Salesforce 平台开发：根据业务需求，基于 Salesforce 平台（包括 Sales Cloud、Service Cloud 等）进行定制化开发，包括 Apex 类、触发器、Visualforce 页面、Lightning 组件等的设计与实现，确保功能满足业务场景。系统集成：负责 Salesforce 与公司内部其他系统（如 ERP、CRM、财务系统等）的集成工作，设计合理的集成方案，...,计算机软件,http://jobs.zhaopin.com/CC393603820J40856010303.htm,100-299人,2025-12-26 16:03:24,20000.0,26000.0,12.0
JAVA开发工程师,郑州,新疆易控智驾技术服务有限公司,硕士,5-10年,JavaScript,15000-30000,岗位职责：1.参与建设通用、灵活、智能的业务中台的开发与设计，支撑上层多场景的复杂业务。2.负责业务中台日常开发工作，包含需求理解，代码实现，单元测试，对外接口的设计和开发等工作。 任职要求： 1.具备稳定性建设经验，能够在设计、开发、上线等各个阶段充分考虑系统稳定性需求； 2.具备良好的java技术基础，能够充分将理论与实际结合； 3.熟悉中台架构与管理组件，具备丰富的中台架构和SOA架构设计经...,矿产/采掘,http://jobs.zhaopin.com/CCL1436477730J40838688413.htm,300-499人,2025-11-03 16:05:30,15000.0,30000.0,15.0
系统开发工程师(J12183),郑州,蜜雪冰城股份有限公司,本科,3-5年,"JavaScript,Spring,MySQL,Oracle,C端高并发,JAVAFX,高并发",13000-25000,岗位职责: 1.辅助系统架构师完成移动产品后台的搭建，聚焦业务数据流、前后端交互功能实现、运营推广分发、用户数据收集等具体的模块开发 ； 2.结合产品经理的App产品设计，以及公司其他信息化系统的建设情况，编写概要设计文档，完成各阶段的开发需求 ； 3.根据项目计划，独立承担系统模块的开发工作，并协同开发团队共同完成各阶段里程碑，确保系统开发高质量按时交付 ； 4.参与在线用户大数据平台建设，根据...,快速消费品,http://jobs.zhaopin.com/CC407014910J40575288806.htm,1000-9999人,2026-01-12 09:18:38,13000.0,25000.0,12.0
