职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
总经理助理,郑州,河南劲风装饰工程有限公司,学历不限,1-3年,"销售管理,投融资管理,供应链管理,上市公司,外资企业",45000-90000,战略瞄准本地居民服务、后房地产市场，提供家装家政物业维修社区服务系统服务，以家装为品牌力突破口。岗位 推进家装和房售一体化、资源引进、跨行业合作，司职其一待遇从优。职场工具人勿投,装饰装修,http://jobs.zhaopin.com/CCL1263287470J40818892307.htm,20人以下,2026-01-10 22:02:03,45000.0,90000.0,12.0
上市公司市场总监/产品经理-郑州/成都/深圳,郑州,博慧人才服务有限公司,本科,5-10年,"大快消品公司 TOP前三公司,产品全生命周期管理",30000-50000,市场总监 岗位职责： 1、制定产品战略与全生命周期管理，主导新品开发、市场定位及老品迭代，确保产品线符合市场需求与品牌定位。 2、统筹产品、设计和渠道推广部门，推动产品从概念到上市的落地，把控开发进度、成本及质量，确保推广活动高效落地。 3、制定全域线下渠道（商超、便利店、特通渠道等）推广策略，优化终端生动化标准与陈列方案，提高产品在市场中的渗透率和销售额。 4、设计覆盖产品知识、推广执行和渠道开...,咨询服务,http://jobs.zhaopin.com/CC829923280J40857184603.htm,20人以下,2026-01-12 09:41:48,30000.0,50000.0,12.0
京东运营负责人（小家电产品/3亿体量+）,郑州,河南聚量信息技术有限公司,本科,3-5年,"京东,经理,总监,家电3C经验,团队管理,品牌运营",30000-50000,一、主要职责：1. 负责品牌事业部：美的、创维、海尔、苏泊尔（其一）；业绩达成：基于市场分析，制定品牌整体业务目标，完成选品、定价及销售目标拆解与达成（含CID）； 2. 渠道业绩达成：制定并拆解分渠道（如京东、天猫、拼多多等）业绩目标并达成，确保渠道协同增长； 3. 平台对接：对接平台核心资源，争取活动位、流量扶持等关键支持； 4. 策略制定：制定站内营销策略、促销方案及销售节奏；5. 机制建设...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40979067504.htm,1000-9999人,2026-01-09 19:45:32,30000.0,50000.0,12.0
产品BP,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,,30000-50000,工作内容：1、结合行业趋势，挖掘运营及业务痛点，通过和信息部门的高效协作，明确信息化产品的规划方向，提高运营的整体运作效率；2、产品管理：站在公司战略角度，结合行业趋势，根据公司实际运营情况协同运营及技术部门，制定出短期、长期业务产品规划，解决运营过程中的痛点和难点；3、业务支持：深入了解运营现状，通过信息化产品赋能业务，为业务部门提供持续稳定的产品支撑；4、沟通协作：充当运营部门和信息部门“沟通...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40834796714.htm,500-999人,2026-01-05 09:18:13,30000.0,50000.0,12.0
水处理膜产品区域销售经理（全国区域）,郑州,奥赛科膜科技(天津)有限公司,大专,1-3年,"MBR膜产品,区域销售",30000-50000,岗位职责： 1、执行膜产品营销战略、确保销售目标的达成； 2、负责所属行业/区域的渠道客户以及终端客户开发和管理，促成订单达成； 3、及时掌握终端市场动态以及竞争对手策略，明确终端客户需求、引导公司产品的开发及优化方向； 4、做好公司品牌推广工作以及项目的前期品牌植入； 5、完成领导安排的其他工作。 岗位要求： 1、相关专业专科及以上学历； 2、沟通能力强，商务能力优秀，有较强开拓精神； 3、承压...,环保,http://jobs.zhaopin.com/CC264417280J40682301001.htm,500-999人,2025-04-02 16:57:51,30000.0,50000.0,12.0
高级硬件产品经理（小家电）,郑州,河南聚量信息技术有限公司,本科,3-5年,"其他小语种,智能硬件产品,需求分析,使用场景分析,产品/版本迭代,产品线规划,有相关整机小家电开发经验",25000-50000,职责描述：1.负责开发生活小家电品类产品，包括产品的定位，规划，设计和项目执行等相关工作；2.负责深入理解公司业务和发展方向，进行产品的深度市场调研以了解用户的需求和痛点，对用户进行精准画像及需求分析，掌握产品趋势和设计趋势，规划产品的定位.核心功能，并形成产品需求等；3.负责与公司相关团队（ID.结构.工艺.研发.市场.销售等）沟通协作，推动小家电产品选型.定义.实现，沟通并解决研发生产中可能产...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40887242704.htm,1000-9999人,2026-01-05 01:08:08,25000.0,50000.0,12.0
运营产品BP,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,,30000-50000,工作内容：1、结合行业趋势，挖掘运营及业务痛点，通过和信息部门的高效协作，明确信息化产品的规划方向，提高运营的整体运作效率；2、产品管理：站在公司战略角度，结合行业趋势，根据公司实际运营情况协同运营及技术部门，制定出短期、长期业务产品规划，解决运营过程中的痛点和难点；3、业务支持：参与运营部门的日常管理活动，深入了解运营现状，通过信息化产品赋能业务，为业务部门提供持续稳定的产品支撑；4、沟通协作：...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40772038614.htm,500-999人,2026-01-04 16:12:07,30000.0,50000.0,12.0
底薪1W+金融产品经理+团队主管,郑州,河南万企助岱信息服务有限公司,高中,1-3年,"信贷,企业贷,银行政策,金融产品了解,团队管理",20000-40000,任职要求:1.1-3年金融贷款行业同岗位工作经验2.具备出色的领导能力和团队管理经验3.抗压能力强，能够有效激励团队成员，提升团队绩效，具有较强的销售绩效和话术，能够带动团队，能够与团队成员建立良好关系4.25-38岁，健谈，有责任心。福利待遇1.薪资构成:底薪+团队提成+个人提成+各类奖金+物品奖励，月综合收入2W-6W左右(具体可面议)2.法定节假日正常放假，3.公司团队主要以90、00后为主...,互联网金融/小额贷款,http://jobs.zhaopin.com/CCL1472367460J40914625415.htm,500-999人,2026-01-06 14:19:43,20000.0,40000.0,12.0
新能源车型营销经理CMM/DCMM-郑州日产,郑州,郑州日产,本科,3-5年,,20000-40000,岗位职责:1、在商品阶段，依据车型规划进行车型与市场研究，并将市场需求(产品、结构、费用等)输出给商品部门；2、销量、费用承诺研究，负责对项目承诺，并负责营销费用使用规划；3、新车上市营销策略研究，并负责各种营销计划提案，依据市场反馈，作市场总结报告；4、车型年度销量计划及月度销量管理；5、年度营销策略（销量，费用，广宣）、年度及阶段性车型商务政策（含差异化）提案；6、车型年度及月度目标达成策略提...,汽车研发/制造,http://jobs.zhaopin.com/CC000622620J40834875014.htm,1000-9999人,2026-01-05 14:16:45,20000.0,40000.0,12.0
（全国全市就近安排）新能源销售主管+产品专家（新能源汽车经验优先）,郑州,深圳南区人瑞人力资源服务有限公司,大专,1年以下,"总经理,新势力品牌,总监,经理,销售经理,自主品牌,豪华品牌",20000-40000,【薪资结构】面试定薪（过往薪资流水+面试综合表现）+提成+奖金【直营店-福利待遇】入职当月就购买六险一金（以15号为节点）；享受法定节假日三薪+节假日福利+带薪年假病假产假婚假；试用期和转正薪资不打折扣，所有福利试用期就享受；无试岗期，入职后带薪专业培训，入职当天就签劳动合同，按照正式员工计算薪资；完善晋升机制，季度晋升机会，底薪最高达 2W+，大平台发展稳定，定位高端新能源汽车品牌，收...,企业服务,http://jobs.zhaopin.com/CCL1289361510J40814057501.htm,10000人以上,2025-12-12 17:05:05,20000.0,40000.0,12.0
