职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
上市公司市场总监/产品经理-郑州/成都/深圳,郑州,博慧人才服务有限公司,本科,5-10年,"大快消品公司 TOP前三公司,产品全生命周期管理",30000-50000,市场总监 岗位职责： 1、制定产品战略与全生命周期管理，主导新品开发、市场定位及老品迭代，确保产品线符合市场需求与品牌定位。 2、统筹产品、设计和渠道推广部门，推动产品从概念到上市的落地，把控开发进度、成本及质量，确保推广活动高效落地。 3、制定全域线下渠道（商超、便利店、特通渠道等）推广策略，优化终端生动化标准与陈列方案，提高产品在市场中的渗透率和销售额。 4、设计覆盖产品知识、推广执行和渠道开...,咨询服务,http://jobs.zhaopin.com/CC829923280J40857184603.htm,20人以下,2026-01-12 09:41:48,30000.0,50000.0,12.0
产品BP,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,,30000-50000,工作内容：1、结合行业趋势，挖掘运营及业务痛点，通过和信息部门的高效协作，明确信息化产品的规划方向，提高运营的整体运作效率；2、产品管理：站在公司战略角度，结合行业趋势，根据公司实际运营情况协同运营及技术部门，制定出短期、长期业务产品规划，解决运营过程中的痛点和难点；3、业务支持：深入了解运营现状，通过信息化产品赋能业务，为业务部门提供持续稳定的产品支撑；4、沟通协作：充当运营部门和信息部门“沟通...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40834796714.htm,500-999人,2026-01-05 09:18:13,30000.0,50000.0,12.0
高级硬件产品经理（小家电）,郑州,河南聚量信息技术有限公司,本科,3-5年,"其他小语种,智能硬件产品,需求分析,使用场景分析,产品/版本迭代,产品线规划,有相关整机小家电开发经验",25000-50000,职责描述：1.负责开发生活小家电品类产品，包括产品的定位，规划，设计和项目执行等相关工作；2.负责深入理解公司业务和发展方向，进行产品的深度市场调研以了解用户的需求和痛点，对用户进行精准画像及需求分析，掌握产品趋势和设计趋势，规划产品的定位.核心功能，并形成产品需求等；3.负责与公司相关团队（ID.结构.工艺.研发.市场.销售等）沟通协作，推动小家电产品选型.定义.实现，沟通并解决研发生产中可能产...,电子商务,http://jobs.zhaopin.com/CCL1289012670J40887242704.htm,1000-9999人,2026-01-05 01:08:08,25000.0,50000.0,12.0
底薪1W+金融产品经理+团队主管,郑州,河南万企助岱信息服务有限公司,高中,1-3年,"信贷,企业贷,银行政策,金融产品了解,团队管理",20000-40000,任职要求:1.1-3年金融贷款行业同岗位工作经验2.具备出色的领导能力和团队管理经验3.抗压能力强，能够有效激励团队成员，提升团队绩效，具有较强的销售绩效和话术，能够带动团队，能够与团队成员建立良好关系4.25-38岁，健谈，有责任心。福利待遇1.薪资构成:底薪+团队提成+个人提成+各类奖金+物品奖励，月综合收入2W-6W左右(具体可面议)2.法定节假日正常放假，3.公司团队主要以90、00后为主...,互联网金融/小额贷款,http://jobs.zhaopin.com/CCL1472367460J40914625415.htm,500-999人,2026-01-06 14:19:43,20000.0,40000.0,12.0
新能源车型营销经理CMM/DCMM-郑州日产,郑州,郑州日产,本科,3-5年,,20000-40000,岗位职责:1、在商品阶段，依据车型规划进行车型与市场研究，并将市场需求(产品、结构、费用等)输出给商品部门；2、销量、费用承诺研究，负责对项目承诺，并负责营销费用使用规划；3、新车上市营销策略研究，并负责各种营销计划提案，依据市场反馈，作市场总结报告；4、车型年度销量计划及月度销量管理；5、年度营销策略（销量，费用，广宣）、年度及阶段性车型商务政策（含差异化）提案；6、车型年度及月度目标达成策略提...,汽车研发/制造,http://jobs.zhaopin.com/CC000622620J40834875014.htm,1000-9999人,2026-01-05 14:16:45,20000.0,40000.0,12.0
产品线总经理(A31371),郑州,捷安高科,本科,5-10年,"集成产品,城轨",30000-40000,职位描述：岗位职责：1、组织产品线中长期发展规划和年度计划制定及总结；2、需求分析与产品规划；3、负责产品开发与项目管理；4、负责产品营销及发布推广；5、负责销售支持和客户巡检；6、负责客户关系管理；7、部门团队管理；8、部门财务及成本管理；职位要求：任职要求：1 统招本科及以上学历，交通类大学信号与控制专业、计算机、电子、信息技术、通信等相关专业；2 本科7年以上工作经验，研究生5年以上工作经验...,计算机软件,http://jobs.zhaopin.com/CC219039210J40911020915.htm,500-999人,2025-12-18 10:42:19,30000.0,40000.0,12.0
即时零售产品营销总监,郑州,优布劳(中国)精酿啤酒有限公司,本科,5-10年,,20000-40000,岗位职责：. 产品策略与开发· 需求洞察：基于用户研究和数据分析，提出符合即时零售场景的商品或功能开发计划。· 新品/功能管理：主导新产品线或新功能模块（如营销工具）的开发全流程，并对最终的业务增长目标（如GMV、订单量）负责。· 生命周期管理：持续迭代优化已上线的产品或活动，提升其效率和产出。2. 营销活动策划与落地· 整合营销规划：策划并执行与产品策略相匹配的线上营销活动、品牌联合推广等，实现...,快速消费品,http://jobs.zhaopin.com/CC625599320J40909897115.htm,500-999人,2025-12-12 11:43:14,20000.0,40000.0,12.0
营销产品经理,郑州,郑州市龙丰农业机械装备制造有限公司,本科,5-10年,"国内市场,国际市场",20000-40000,一、核心画像1.角色定位：执行市场分析，负责产品推广的营销方案设计，制定并推动执行产品、定价、渠道、推广策略。构建科学的渠道开发与管理标准，通过持续培训与监督，将营销策略精准落地至销售终端。2.关键特质：市场敏锐度、技术理解力、营销策划力、渠道掌控力二、硬性条件1.教育背景必备：统招本科及以上学历优选：农业机械化及其自动化、机械工程、市场营销等复合专业研究生学历背景。2.工作经验5年以上农机行业经...,电气机械/电力设备,http://jobs.zhaopin.com/CC542378120J40814475810.htm,20-99人,2025-11-25 09:58:14,20000.0,40000.0,12.0
产品经理,郑州,六夫丁作物保护有限公司,博士,3-5年,"农药,杀虫剂,植物保护",20000-40000,职位描述一、岗位职责：1、进行产品市场规划跟进，跟踪产品生产计划；2、负责作物试验区的药效实验，采集数据形成农作物病虫害防治实验报告；3、根据实验报告，拟定公司内部专业用药及相关知识培训计划并实施；4、为老产品的配方改良和新产品的药效测试提供各种实验数据支持；5、对产品品牌进行扶持推广，协助业务员进行农民会、订货会等的策划与召开。二、任职资格：1、博士研究生学历及以上，农学、植物保护等相关专业；2...,农/林/牧/渔,http://jobs.zhaopin.com/CC461412320J40935357504.htm,500-999人,2025-11-11 14:48:55,20000.0,40000.0,12.0
WMS软件产品经理,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,WMS系统,30000-40000,岗位职责： 1、调研产品需求，整理需求优先级，输出原型和PRD，配合推动UI设计和研发测试； 2、协调开发、测试、实施人员，主导版本迭代，确保产品高效交付； 3、对行业前沿技术有一定研究，能够推动创新方案落地； 4、输出合理，清晰，详细的产品需求原型/文档，配合推进产品迭代； 5、根据产品运营数据进行分析，持续完善和优化产品功能。 6、推动WMS与其他业务系统集成，通过数据分析持续优化产品体验，降...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40743866914.htm,500-999人,2025-11-11 11:47:06,30000.0,40000.0,12.0
