职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
架构师,郑州,牧原股份,本科,5-10年,Java,30000-50000,岗位职责：1、负责公司微服务平台系统整体的架构设计与研发， 重构及优化现有的技术架构；2、解决重要项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关和预研；3、对开发团队进行技术指导和培训，规范开发流程；4、保障物联网设备通信稳定，解决物联网设备技术问题等。任职要求：1、本科及以上学历，扎实的计算机专业基本功，5年以上从业经验；2、精通JAVA，JVM调优，精通Linux系统；3、精通常...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40819879411.htm,10000人以上,2026-01-11 01:28:33,30000.0,50000.0,12.0
大模型数据工程师,郑州,八六三软件,本科,5-10年,"数据治理,数据架构,数据挖掘",30000-50000,熟悉各类型数据特点，掌握数据分析与处理技术（SQL、Spark、Flink等）；熟悉图像、文本、结构化数据的清洗与ETL流程；掌握数据质量管理、数据探索分析和版本控制工具；掌握异构数据融合、格式标准化、标签处理等技术；了解数据安全、脱敏、权限控制机制；具备5年以上相关工作经验，主持过AI数据治理、数据平台或复杂多模态数据处理项目；持有大数据工程、云计算或数据安全相关认证者优先。,计算机软件,http://jobs.zhaopin.com/CC621497980J40818935509.htm,500-999人,2025-12-20 01:26:26,30000.0,50000.0,12.0
研发经理/总监（PDU/BDU）,郑州,长春捷翼汽车科技股份有限公司,本科,5-10年,"PDU,BDU,BUSBAR,结构设计",30000-50000,1. 战略与规划：- 制定并执行PDU/BDU产品线的中长期技术发展路线图与产品平台规划。- 洞察行业技术趋势和竞争对手动态，主导前瞻性技术（如新材料、新工艺、集成化、热管理技术等）的调研、引进与落地。- 参与公司级产品战略会议，为决策提供技术输入。2. 研发管理：- 全面负责PDU/BDU产品从概念设计、详细设计、样机试制、测试验证到量产导入的全过程研发管理。- 监督并评审关键设计方案，确保其满...,汽车研发/制造,http://jobs.zhaopin.com/CC601432520J40898495508.htm,1000-9999人,2025-11-06 14:08:56,30000.0,50000.0,12.0
软件架构师,郑州,出窝(郑州)科技服务有限公司,本科,5-10年,系统架构,30000-50000,岗位职责：1.参与软件产品的业务分析、系统分析； 2.指导开发人员进行产品开发； 3.负责主要功能和核心代码的编写和指导； 4.解决关键问题和技术难题；任职要求：1.计算机及相关专业本科及以上学历； 2.5年以上软件开发和系统架构经验； 3.熟练掌握java、C++等编程语言。 4.对数据结构、算法设计、系统架构设计等有较为深刻的理解； 5.对解决具有挑战性问题充满激情，具有良好的沟通能力和团队合...,互联网,http://jobs.zhaopin.com/CCL1241822070J00296662411.htm,20-99人,2025-07-26 14:52:02,30000.0,50000.0,13.0
研发经理,郑州,河南华鼎冷链仓配科技有限公司,本科,5-10年,"Java,PHP,JavaScript,微服务架构,全栈开发,SpringBoot,SpringCloud",25000-40000,岗位职责1. 团队管理①领导和管理涵盖后端、前端、移动端及桌面端的复合型研发团队，负责任务分配、进度控制与质量保证。②制定并推动团队的技术发展规划，确保技术栈的合理选型、更新与沉淀，构建稳定、高效、可扩展的技术体系。③建立和完善研发规范、代码评审、持续集成/持续交付流程，提升团队整体工程能力与交付质量。2. 系统交付与建设①深度理解公司业务，主导关键业务系统的架构设计、核心模块开发与全生命周期管理...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1478830950J40835250514.htm,500-999人,2026-01-06 13:49:45,25000.0,40000.0,12.0
项目研发（数字冷钱包）负责人,郑州,郑州中科集成电路与系统应用研究院,硕士,3-5年,PCB 、（EMC）,20000-40000,岗位职责（一）技术研发与产品规划1.主导数字冷钱包核心技术架构设计，包括硬件选型、固件开发框架搭建、加密算法集成，确保产品具备高安全性、稳定性与易用性。2.制定数字冷钱包研发 roadmap，结合市场需求与行业安全标准，推动产品迭代升级。3.攻克数字冷钱包研发关键技术难题，如离线签名安全机制优化、硬件侧信道攻击防护、多链资产兼容适配、固件安全升级方案设计等，保障产品安全性能领先行业。（二）团队管理...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1242924060J40834675712.htm,100-299人,2025-12-27 00:42:01,20000.0,40000.0,12.0
JAVA架构师(A96449),郑州,捷安高科,本科,5-10年,"Java,微服务架构,平台架构",20000-35000,职位描述：职位描述1、架构设计与规划：主导公司核心业务系统的整体架构设计，包括技术选型、架构分层、模块划分及交互逻辑设计，输出高质量的架构文档（如架构图、技术方案说明书），确保架构具备高可用性、高扩展性与安全性，支撑业务长期发展。2、技术决策与落地：针对复杂业务场景制定技术解决方案，评估新技术（如微服务架构、云原生技术、AI 辅助开发工具）的适用性并推动落地，解决架构层面的关键技术难题，规避技术风...,计算机软件,http://jobs.zhaopin.com/CC219039210J40903580715.htm,500-999人,2026-01-10 01:45:49,20000.0,35000.0,12.0
ai架构师,郑州,河南百川畅银环保能源股份有限公司,本科,5-10年,,25000-35000,"【岗位职责】1. 架构设计与技术选型： 主导设计并实现面向能源设备监控、故障预测与运行优化的AI Agent系统架构。对LangChain, LlamaIndex等AI工程化框架有深刻理解，并能根据公司业务场景（高实时、高可靠、需与硬件交互）做出相应的技术选型。2. Agent工作流拆解： 拆解业务问题为感知、规划、执行、评估的Agent协作工作流，并定义清晰的技术接口与数据流。3. MCP协议与...",新能源,http://jobs.zhaopin.com/CC365634130J40897952802.htm,1000-9999人,2026-01-09 10:22:22,25000.0,35000.0,12.0
后量子密码算法研发部经理,郑州,郑州中科集成电路与系统应用研究院,硕士,3-5年,FPGA、ASIC,20000-40000,岗位职责： （一）团队管理与建设 负责后量子密码算法实现团队的组建、人才培养与梯队建设。 （二）技术研发与规划 1.主导后量子密码算法的工程化实现。 2.结合行业技术发展趋势与公司业务需求，制定后量子密码技术研发，推动技术成果转化为产品竞争力。 3.跟踪全球后量子密码标准化进展，为公司技术选型提供专业决策支持。 （三）项目管理与交付 负责后量子密码相关研发项目的全生命周期管理 （四）技术合作与行业...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1242924060J40834688712.htm,100-299人,2025-12-27 00:25:41,20000.0,40000.0,12.0
技术架构师,郑州,智联猎头,硕士,3-5年,,20000-35000,岗位职责： 1.结合应用架构规划，协助开展技术架构选型、技术规划方案设计工作； 2.参与需求分析及编制工作，包括参与项目需求讨论与受理，参与项目技术可行性分析、识别项目需求风险，参与项目需求分析说明书的编制与评审等； 3.牵头总体方案设计工作，包括参与项目总体方案编制与评审，对技术规范符合情况进行把关等；牵头负责设计评审工作，包括负责项目细化方案的编制与评审，落实技术规范的相关要求等； 4.负责非...,互联网,http://jobs.zhaopin.com/CCL1318355140J40833988103.htm,10000人以上,2025-09-04 11:53:35,20000.0,35000.0,12.0
