职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
技术质量主管,郑州,河南明泰铝业股份有限公司,本科,10年以上,"ME,QA,技术研发+质量管理",20000-40000,核心职责全面负责公司材料技术开发、质量管理体系及生产工艺优化工作。您将直接向管理层汇报，并领导关键团队，核心职责聚焦于以下四大领域：1. 新产品开发与材料技术管理：o 根据公司战略目标，主导新产品研发项目中的新材料开发计划制定与实施。o 参与重大材料技术决策，确保新材料开发按计划完成阶段性目标。o 负责新材料开发工艺流程的设计、验证与优化。o 主导新材料导入、试验、转产跟踪及量产支持，及时解决技术...,金属制品业,http://jobs.zhaopin.com/CC229407510J40858785915.htm,1000-9999人,2025-06-30 16:42:04,20000.0,40000.0,12.0
测试专家,郑州,超聚变数字技术股份有限公司,本科,10年以上,"安规测试,性能测试,可靠性测试",15000-30000,1：负责变流器的整机黑盒测试；2：负责变流器测试数据以及问题的收集和整理；3：负责变流器测试方案和测试用例的编写；4：负责变流器问题的测试验证。不局限于以上测试，也有其他相关测试，具体电话沟通,计算机硬件,http://jobs.zhaopin.com/CCL1367103620J40890623215.htm,1000-9999人,2026-01-06 08:56:44,15000.0,30000.0,16.0
制造品质工程-课级主管（郑州）,郑州,富联裕展科技(深圳)有限公司,本科,3-5年,"QC,来料检验（IQC）,制程检验（IPQC）,成品检验（FQC）,汽车行业质量管理体系,全面质量管理体系",15000-30000,岗位职责：1.目标管理：质量KPI目标达成与管理、质量成本管理;2.质量管理：依据SIP/IS文件参与NPI/MP首检/巡检/终检/出货检验工作；3.异常追踪：执行质量异常处理方案，协助工程/PQE进行DQE验证和数据统计收集，落实质量管理要求决议；4.按照SOP文件和设备保养规范对重点管制红线参数进行确认点检验，定期确认并针对对异常结果进行纠正处置；工作经验：1.5年以上管理工作经验，且具有3年...,人工智能,http://jobs.zhaopin.com/CCL1393497680J40815628809.htm,10000人以上,2025-12-02 14:36:56,15000.0,30000.0,13.0
测试工程师 (J12385),郑州,蜜雪冰城股份有限公司,本科,3-5年,"Java,Python,禅道,Fiddler,Jmeter,Charles,软件测试",15000-25000,岗位职责: 1、测试设计：根据产品需求文档、项目设计文档进行测试分析，独立完成测试用例的设计； 2、测试执行：根据测试计划执行测试，发现并提交产品缺陷，协助完成修复验证； 3、测试报告：根据测试执行结果编写测试报告，为产品发布提供决策依据； 4、沟通能力：独立完成与外部门或客户的的沟通和协作，具有较强的表达能力； 5、产品思维：对产品设计，能有自己的理解和提出合理的建议。 任职要求: 1、计算机、...,快速消费品,http://jobs.zhaopin.com/CC407014910J40633134806.htm,1000-9999人,2026-01-12 09:18:08,15000.0,25000.0,12.0
测试主管,郑州,软语科技,本科,5-10年,,20000-25000,岗位职责：1、构建、完善并推广覆盖需求、设计、开发、测试、发布、部署、运维(DevTestOps)的端到端质量保障体系2、主导设计和持续优化适用于复杂工业软件(强业务逻辑、多系统集成、高可靠性要求)的测试策略、测试计划、测试模型和测试方法。3、确保非功能需求(性能、可靠性、安全性、兼容性、容错性、易用性)得到充分验证4、主导发布质量门禁的定义和执行，对产品发布质量拥有决策权或否决权5、评估、引入和...,计算机软件,http://jobs.zhaopin.com/CC404924910J40866580312.htm,100-299人,2026-01-06 16:44:48,20000.0,25000.0,12.0
测试工程师,郑州,牧原股份,本科,5-10年,"功能测试,自动化测试,性能测试,Java",15000-25000,岗位职责：1、参与测试全流程，包括：需求分析、设计评审、制定测试策略，设计和执行测试用例，进行缺陷跟踪，质量风险分析等；2、主导项目的质量保障工作，包括但不限于功能性测试、性能测试、自动化测试、问题跟进、监控分析；3、负责发现和推动解决项目中的进度、流程、质量风险，并能对项目提出合理化建议；4、分析和总结项目过程中的改进点，推动整个测试团队的效能提升；5、将新型技术与业务结合，根据实际业务需要搭建...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40814557511.htm,10000人以上,2025-12-15 14:14:01,15000.0,25000.0,12.0
品质专家,郑州,河南泛锐复合材料研究院有限公司,大专,10年以上,汽车行业质量管理体系,15000-25000,一、质量管理体系建设与维护体系构建与优化主导建立并持续改进公司质量管理体系（如ISO9001、SA8000），确保其符合国家法规及行业标准；制定企业内控质量标准（如产品检验规范、服务流程标准），监督执行情况并定期组织评审改进。风险管理与合规识别产品全生命周期的质量风险（如原材料缺陷、生产异常），建立风险评估机制及应对策略；参与国家标准制定及行业标准修订，确保企业标准与外部要求同步更新。二、供应链与...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC265710580J40822772614.htm,500-999人,2025-12-14 00:10:22,15000.0,25000.0,12.0
测试主管--食堂、七险一金,郑州,软语科技,本科,5-10年,"自动化测试,功能测试,性能测试,压力测试",14000-25000,岗位职责：1、构建、完善并推广覆盖需求、设计、开发、测试、发布、部署、运维(DevTestOps)的端到端质量保障体系2、主导设计和持续优化适用于复杂工业软件(强业务逻辑、多系统集成、高可靠性要求)的测试策略、测试计划、测试模型和测试方法。3、确保非功能需求(性能、可靠性、安全性、兼容性、容错性、易用性)得到充分验证4、主导发布质量门禁的定义和执行，对产品发布质量拥有决策权或否决权5、评估、引入和...,计算机软件,http://jobs.zhaopin.com/CC404924910J40826530512.htm,100-299人,2026-01-05 01:32:02,14000.0,25000.0,12.0
质量经理,郑州,宁波一彬电子科技股份有限公司,大专,5-10年,"QC,QA,QE,来料检验（IQC）,制程检验（IPQC）,成品检验（FQC）,汽车行业质量管理体系,全面质量管理体系",15000-25000,"1. 质量管理体系建立、实施、维护并持续改进符合国际标准（如 ISO 9001, IATF 16949, 等）的质量管理体系。主导公司内审、管理评审及应对第三方认证审核，确保体系有效运行。负责质量体系文件的编制、修订和管控，包括质量手册、程序文件、作业指导书等。2. 质量战略与目标制定公司年度质量目标和质量改进计划，并监督执行。定期向管理层汇报质量绩效（如一次合格率、客户投诉率、质量成本等），为决...",汽车研发/制造,http://jobs.zhaopin.com/CC402697820J40812200309.htm,1000-9999人,2025-12-03 13:50:40,15000.0,25000.0,12.0
食品质量总监,郑州,河南亲热实业控股集团有限公司,大专,5-10年,"QC,QA,食品安全管理体系,全面质量管理体系",18000-25000,质量与食安建设： 1.组织完成工厂ISO9001/ISO22000/HACCP体系导入与承接工作；2.推动完善工厂质量管理体系，保证工厂质量体系运行持续性、有效性；3.负责体系内审、管理评审计划策划与执行；4.负责质量与食品安全项目工作的策划与实施；5.负责公司质量与食品安全文化的建设；质量管控：1.负责公司质量与食品安全管理体系的搭建、推动实施、有效运行，负责各环节质量与食品安全管理制度的制定、...,农副产品加工制造,http://jobs.zhaopin.com/CCL1433649010J40784282301.htm,500-999人,2025-11-29 16:57:29,18000.0,25000.0,12.0
