职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
发输电方向电气工程师,郑州,中讯邮电咨询设计院有限公司(上海)建筑能源分公司,本科,10年以上,"注册电气工程师（发输变电）证书,10年以上设计经历,主持中型项目3项、或大型项目1项",25000-40000,任职资格：一、学历要求：普通高等院校本科及以上学历二、专业要求：电气工程、自动化相关专业三、专业技能：1、具有10年以上设计经历，且主持过相应专业设计类型的中型项目工程设计不少于3项，或大型项目工程设计不少于1项。2、持有注册电气工程师（发输变电）证书3、具备研发供电系统及供配电设备的能力，优先考虑4、熟练使用WPS、CAD等办公软件5、具备良好的沟通能力、表达能力及团队协作能力>岗位职责：1、变...,通信/网络设备,http://jobs.zhaopin.com/CCL1503107450J40810158903.htm,100-299人,2026-01-09 11:28:57,25000.0,40000.0,12.0
MCU应用层软件工程师（base长沙，商用车主机厂）,郑州,三一集团有限公司,本科,3-5年,"VCU,MCU,永磁同步电机,应用层",25000-40000,岗位职责： 1、负责永磁同步电机的功能性能开发，需要根据电控的功能需求，完成基于MBD的软件开发工作； 2、负责电机电控功能模块的MIL和CIL测试； 3、负责功能模块的相关测试工作，并能完成相应的测试报告； 4、负责完成编制软件设计说明书； 5、负责电机台架标定、测试及验证，并完成电机电控的台架测试报告； 6、负责车辆的电机电控标定工作； 7、负责对电机电控的故障进行分析并对问题进行解决； 8，...,专用设备制造,http://jobs.zhaopin.com/CC134218700J40827742310.htm,10000人以上,2025-12-14 19:54:10,25000.0,40000.0,16.0
机电总工程师,郑州,河南豫水设计海外工程有限公司,大专,10年以上,"机电一体化,高级电气工程师,中级电气工程师",30000-35000,一、岗位职责： 1、 项目各机电施工方案编写； 2、项目各类永久机电设备（含污水泵、水锤罐、高低压柜、流量计、污泥脱水设备等涉及污 水处理厂及污水泵站的各类机电设备）的报批工作； 3、与咨询工程师的技术交流及对接； 4、与土建总工的交流及配合，在各个阶段（含报批阶段、土建施工阶段、机电安装阶段、调试运行阶段）能独立应对各项技术问题，与土建总工、项目现有机电团队密切配合，将机电工作向前推进。 二、岗...,工程施工,http://jobs.zhaopin.com/CC874996440J40223869104.htm,100-299人,2026-01-10 01:08:46,30000.0,35000.0,12.0
电气工程师,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"设计,安装/调试,电气选型",20000-35000,工作职责1、负责 AGV/AMR 电气原理图、线束图、控制柜布局设计，编制物料清单（BOM）；2、电气元件选型、评估成本与性能，确保系统可靠性和安全性；3、现场调试并解决电气系统问题，如通信异常、电磁兼容性（EMC）问题。4、与机械、软件团队协作，完成 AGV 样机联调与量产交付；参与客户现场技术对接，提供系统安装指导、故障排查及培训；5、撰写电气系统说明书、操作系统、维护指南；制定电气设计规范和...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40745620006.htm,20-99人,2026-01-06 09:35:40,20000.0,35000.0,12.0
电气专业-博士（央企）,郑州,智联猎头,博士,经验不限,研究员,25000-35000,35 岁以下1.专业方向：电气工程 / 电力系统 / 高压技术 / 电力电子 / 新能源 / 能源互联网等2.工作地点：河南待遇亮点1.薪资：面议+中长期激励2.福利：七险二金、人才公寓、职工食堂、带薪年休假、,互联网,http://jobs.zhaopin.com/CCL1318355140J40848277203.htm,10000人以上,2025-10-20 09:27:46,25000.0,35000.0,12.0
机电设计经理（大型购物中心）,郑州,河南正弘置业集团有限公司,本科,10年以上,,25000-35000,岗位职责：1. 负责街区商业综合体项目的机电设计工作，强电专业方向。2. 熟悉强电、弱电设计规范、配套流程和工程实施。岗位要求：1. 本科及以上学历，电气工程及相关专业。2. 具备10年以上大型商业综合体机电设计工作经验。3. 有街区式商业工作经验者优先。薪资待遇：月薪2-3万，五险一金,房地产开发,http://jobs.zhaopin.com/CC146618430J40805516410.htm,500-999人,2025-09-23 14:43:24,25000.0,35000.0,12.0
新能源汽车电气技术工程师,郑州,河南嘉晨智能控制股份有限公司,本科,5-10年,"设计,电路设计,高压电气,PDU,OBC",20000-30000,岗位职责： 1.负责叉车高低压电气原理图设计、电气线路设计，以及低压线束图纸设计; 2.负责叉车零部件（如PDU\线束\热管理等）进行设计、选型、匹配和计算，并参与供应商的技术评审和选择。负责或参与零部件的DV/PV测试; 3.技术支持：为生产、装配、售后提供技术支持，处理生产和售后过程中的技术质量问题; 4.技术跟踪：跟踪新技术、新工艺、新材料，并推动其在产品中的应用; 任职要求: 1.本科及以...,电子设备制造,http://jobs.zhaopin.com/CC309384810J40884162408.htm,300-499人,2026-01-04 15:08:28,20000.0,30000.0,12.0
电气类专业-博士应届生,郑州,某电力集团有限公司,博士,经验不限,,20000-30000,1、电气类、电子信息、机械类博士应届生2、国企背景薪资待遇福利优厚3、享人才引进补贴4、工作地点平顶山、郑州,互联网,http://jobs.zhaopin.com/CCL1318355140J40539235603.htm,500-999人,2026-01-05 01:04:43,20000.0,30000.0,12.0
电气工程师（AGV）,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"AGV,工业机器人",20000-30000,岗位JD工作职责1、负责 AGV/AMR 电气原理图、线束图、控制柜布局设计，编制物料清单（BOM）；2、电气元件选型、评估成本与性能，确保系统可靠性和安全性；3、现场调试并解决电气系统问题，如通信异常、电磁兼容性（EMC）问题。4、与机械、软件团队协作，完成 AGV 样机联调与量产交付；参与客户现场技术对接，提供系统安装指导、故障排查及培训；5、撰写电气系统说明书、操作系统、维护指南；制定电气设...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40742100206.htm,20-99人,2025-12-17 14:29:37,20000.0,30000.0,12.0
储能系统电气工程师,郑州,万睿新能源科技(鄂尔多斯)有限公司,本科,5-10年,"PCS,BMS,EMS,低压,高压,电气设计,设计,测试,研发,电路设计,储能电池,PACK",15000-30000,职位介绍1、负责储能系统储能柜/集装箱产品电气系统设计，电气原理图、接线图、线束图绘制;2、主导储能整体方案的设计，包括电气(含一二次)、储能电池族及相关配套软硬件(消防、散热:EMS、BMS等)，及整流器、变流器(PCS)等;3、负责储能系统中各类电气元器件及设备选型，与厂家技术沟通，指导安装接线和调试;4、储能产品市场调研、客户需求收集，参与储能产品规划和设计，承担储能产品研发设计进度管理、技...,专用设备制造,http://jobs.zhaopin.com/CCL1500553750J40818772609.htm,20人以下,2025-12-11 22:26:30,15000.0,30000.0,12.0
测控技术工程师,郑州,北京易盛泰和科技有限公司,硕士,5-10年,"设计,安装/调试,风洞,人工气候室",15000-30000,岗位职责：1、负责过程中监督电气、采集及主控等设备及管路的出厂、安装、调试及验收； 2、负责整体联合调试与校测； 3、参与验收与培训。 任职要求：1、具有 5 年以上从事测控设计工作经历，且至少 1人具有工程序列高级职称资格；2、具有至少 2 个风洞或人工气候室项目工程经验；3、硕士学历（硬性要求） ；4、有高级工程师证书（硬性要求）；5、能接受长期出差，一年至少半年；,专用设备制造,http://jobs.zhaopin.com/CC139627330J40811252711.htm,20-99人,2025-12-02 14:27:26,15000.0,30000.0,12.0
