职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
品牌视觉总监,郑州,郑州前景科技有限公司,本科,5-10年,"视觉设计,包装设计,公共艺术设计,手绘,PS,C4D,3D MAX,CorelDRAW,Dreamweaver",20000-40000,岗位职责1、负责电商设计团队(平面、视频等)的管理与任务分配，确保设计产出高效、高质量。2、主导电商平台(天猫、淘宝，京东、抖音等)的视觉设计，包括首页、详情页、活动页、主图、Banner、短视频等，确保品牌调性统一且符合营销需求。3、会渲染，配合运营及营销需求，产出符合平台特性的创意内容，提升品牌视觉竞争力。4、与运营、产品、市场等部门紧密合作，精准理解需求，提供专业的设计解决方案5、分析设计数...,电子商务,http://jobs.zhaopin.com/CC536124020J40861653712.htm,100-299人,2025-12-23 00:12:02,20000.0,40000.0,12.0
建筑方案设计总监,郑州,徐辉设计,本科,10年以上,,20000-40000,岗位职责1、全面负责方案部门的管理工作，落实方案部门生产计划和流程，确保完成全年方案部产值目标 2、制定方案部项目时间计划，严格按照时间计划提交成果文件。确保客户满意度 3、负责方案团队的建设和培养，对部门成员进行专业的培训和指导。 4、根据项目进度，对方案流程进行管控，方案文本及效果图、现场进行把控，对方案总成果负责任职要求1、统招本科以上学历，建筑学或相关专业毕业。 2、10年以上一线设计院工...,建筑设计,http://jobs.zhaopin.com/CC392644310J40965605404.htm,500-999人,2025-12-07 00:42:02,20000.0,40000.0,12.0
品牌视觉设计经理—高端化妆品,郑州,碧佳实业,本科,3-5年,"视觉设计,包装设计",25000-40000,岗位职责：1、制定并执行品牌中心视觉设计部门的战略规划，确保团队工作与公司整体目标保持一致；2、主导品牌视觉设计的创意策划与实施，确保品牌形象的一致性和独特性；3、带领团队完成各类视觉设计项目，包括但不限于产品包装设计、广告宣传物料、线上平台界面设计等；4、与市场、运营、产品等部门紧密合作，确保品牌视觉设计与业务需求紧密结合，实现品牌价值的最大化；5、负责视觉设计团队的建设与管理，包括人员招聘、培...,日化,http://jobs.zhaopin.com/CC391444010J40970410904.htm,100-299人,2025-12-01 11:13:00,25000.0,40000.0,12.0
护肤品电商设计总监（地铁口+大小周）,郑州,郑州前景科技有限公司,本科,5-10年,"视觉设计,包装设计,公共艺术设计,手绘,PS,C4D,CorelDRAW,3D MAX,InDesign",20000-40000,岗位职责1、负责电商设计团队(平面、视频等)的管理与任务分配，确保设计产出高效、高质量。2、主导电商平台(天猫、淘宝，京东、抖音等)的视觉设计，包括首页、详情页、活动页、主图、Banner、短视频等，确保品牌调性统一且符合营销需求。3、会渲染，配合运营及营销需求，产出符合平台特性的创意内容，提升品牌视觉竞争力。4、与运营、产品、市场等部门紧密合作，精准理解需求，提供专业的设计解决方案5、分析设计数...,电子商务,http://jobs.zhaopin.com/CC536124020J40861654212.htm,100-299人,2025-12-23 00:11:03,20000.0,40000.0,12.0
房产公司设计总监,郑州,河南帅方工程建设有限公司,本科,10年以上,CAD,20000-40000,岗位职责：1. 负责公司设计部门的整体工作，担任中心负责人。2. 主导多个项目的前期方案规划设计，对住宅产品有深刻理解。3. 指导下属项目公司的设计管理工作。4. 具备较强的抗压能力，快速学习并适应市场变化。岗位要求：1. 10年以上工作经验，有多个项目前期方案规划设计经验。2. 熟悉四代住宅产品。3. 具备指导下属设计管理工作的能力。4. 抗压能力强，学习能力强。5. 熟悉蓝绿城体系产品者优先。,工程施工,http://jobs.zhaopin.com/CCL1468856990J40901165208.htm,20-99人,2025-11-18 17:24:14,20000.0,40000.0,12.0
研发设计副总,郑州,郑州华瑞房地产开发集团有限公司,本科,10年以上,,30000-35000,负责公司项目研发设计工作，做好部门计划、人员管理等管理工作，确保按时保质完成项目研发设计工作，研发设计的产品在市场上有一定竞争力，具体如下：1、负责拿地前强排方案研发设计，拿地后规划方案、施工图设计管理及开工后施工配合工作，解决项目研发设计方面的问题，配合项目规划报批等工作。2、负责对本部门人员进行分工组织协调等部门计划管理和人员管理工作。3、负责合作设计方的日常管理工作和履约评估工作。4、负责产...,房地产开发,http://jobs.zhaopin.com/CC621446820J40704209606.htm,300-499人,2026-01-12 00:17:42,30000.0,35000.0,12.0
品牌设计总监,郑州,郑州前景科技有限公司,大专,5-10年,"视觉设计,包装设计,手绘,PS,Dreamweaver,InDesign,3D MAX,CorelDRAW,C4D,AI",20000-40000,岗位职责1、负责电商设计团队(平面、视频等)的管理与任务分配，确保设计产出高效、高质量。2、主导电商平台(天猫、淘宝，京东、抖音等)的视觉设计，包括首页、详情页、活动页、主图、Banner、短视频等，确保品牌调性统一且符合营销需求。3、会渲染，配合运营及营销需求，产出符合平台特性的创意内容，提升品牌视觉竞争力。4、与运营、产品、市场等部门紧密合作，精准理解需求，提供专业的设计解决方案5、分析设计数...,电子商务,http://jobs.zhaopin.com/CC536124020J40861653612.htm,100-299人,2025-12-23 00:01:01,20000.0,40000.0,12.0
设计经理（储备）,郑州,润泓集团有限公司,本科,10年以上,设计经理,15000-30000,1、负责组织公司开发项目的方案评审、图纸审核、优化及品质把控，项目的可行性初期定位，提出设计任务书并统一技术要求，管控设计过程；2、监督项目完成方案、扩初、施工图和变更等设计管理工作，包括图纸设计控制及审核，落实相关手续等，对项目工作成果负责；3、负责协调设计方关系，对设计方工作成果进行最终把控；4、完成领导交办的其他工作。任职要求：1、统招本科及以上学历，建筑学、城市规划专业，；2、8年以上设计...,房地产开发,http://jobs.zhaopin.com/CCL1227316320J40977472004.htm,100-299人,2025-12-31 16:19:02,15000.0,30000.0,12.0
设计师总监（金螳螂家装饰上市公司）,郑州,郑州品宅电子商务有限公司,大专,5-10年,"CAD,室内设计,管理",16000-30000,岗位内容：1. 确定公司的设计方向和策略，制定相应的计划和目标。2. 领导团队完成产品设计、UI设计、平面设计等创意工作。3. 参与制定设计规范和流程，保证设计质量和效率。4. 协调与其他部门的沟通和合作，达成良好的协同工作状态。任职要求：1. 5年以上设计工作经验，有在互联网领域从事过设计工作者优先；2. 具备出色的团队领导能力，有管理多个设计师的经验，能够有效提高团队的绩效；3. 精通Phot...,装饰装修,http://jobs.zhaopin.com/CCL1244325940J40830350605.htm,20-99人,2025-12-03 09:43:44,16000.0,30000.0,12.0
电商品牌设计总监（护肤品）,郑州,郑州前景科技有限公司,本科,5-10年,"包装设计,视觉设计,PS,3D MAX,InDesign,C4D,AI",20000-40000,岗位职责1、负责电商设计团队(平面、视频等)的管理与任务分配，确保设计产出高效、高质量。2、主导电商平台(天猫、淘宝，京东、抖音等)的视觉设计，包括首页、详情页、活动页、主图、Banner、短视频等，确保品牌调性统一且符合营销需求。3、会渲染，配合运营及营销需求，产出符合平台特性的创意内容，提升品牌视觉竞争力。4、与运营、产品、市场等部门紧密合作，精准理解需求，提供专业的设计解决方案5、分析设计数...,电子商务,http://jobs.zhaopin.com/CC536124020J40861956712.htm,100-299人,2025-12-22 10:10:59,20000.0,40000.0,12.0
