职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
高级机械工程师,郑州,牧原股份,本科,5-10年,"研发,设计,结构设计,非标设备,自动化设备,液压工艺",30000-50000,岗位职责： 1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发; 2、负责项目产品可行性调研，主导方案系统设计，统筹规划、重大问题决策、产品部署落地； 3、主导产品设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量； 4、主导产品整体系统化建设，搭建公司智能机械设计通用平台； 5、解决产品开发中的问题，并进行问题追踪，解决方案落实； 6、主导编...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820302711.htm,10000人以上,2026-01-12 10:24:08,30000.0,50000.0,12.0
医疗设备/器械销售经理,郑州,四川丹格芮商务信息咨询有限公司,本科,5-10年,"外科,影像科,公立医院,直接建联",30000-50000,职责描述：1.负责行业相关客户的开发、维护，挖掘客户资金需求，为客户提供以融资租赁为主的解决方案，并根据客户个性化需求提供其他创新融资解决方案；2.负责行业相关客户融资租赁项目的导入、论证、方案设计、资信评估及风险管理；3.负责融资项目立项、信息收集、项目评估论证到签约全过程，确保项目推进合理节奏； 4.与客户相关上下游及合作伙伴建立广泛联系，整合渠道资源，推进区域业务；5.积极配合公司业务及职能...,企业服务,http://jobs.zhaopin.com/CCL1389989860J40837549005.htm,500-999人,2026-01-08 13:57:13,30000.0,50000.0,12.0
数字化售前总监,郑州,郑州数耘工业技术有限公司,本科,10年以上,"MES系统,MOM,WMS,灯塔工厂",30000-50000,岗位职责：1、负责离散制造业领域内的智能工厂及灯塔工厂IOT相关项目的售前技术支持、方案规划工作；2、参与客户需求分析，提供专业的技术解决方案，推动项目进展；3、与客户进行技术交流，解答客户的疑问，提供技术咨询和支持；4、编写技术方案文档，配合销售团队进行项目投标和技术交流。 岗位要求： 1、具有10年以上离散制造业领域内的IOT、智能制造相关项目经验，5年以上团队管理经验； 2、熟悉重工、离散制...,工业自动化,http://jobs.zhaopin.com/CCL1271755360J40802423511.htm,100-299人,2025-12-31 13:56:20,30000.0,50000.0,12.0
高级机械设计工程师,郑州,牧原股份,本科,5-10年,,30000-50000,岗位职责： 1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发;2、负责项目产品可行性调研，主导方案系统设计，统筹规划、重大问题决策、产品部署落地； 3、主导产品设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量； 4、主导产品整体系统化建设，搭建公司智能机械设计通用平台； 5、解决产品开发中的问题，并进行问题追踪，解决方案落实； 6、主导编写...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40820303211.htm,10000人以上,2026-01-12 10:22:11,30000.0,50000.0,12.0
发输电方向电气工程师,郑州,中讯邮电咨询设计院有限公司(上海)建筑能源分公司,本科,10年以上,"注册电气工程师（发输变电）证书,10年以上设计经历,主持中型项目3项、或大型项目1项",25000-40000,任职资格：一、学历要求：普通高等院校本科及以上学历二、专业要求：电气工程、自动化相关专业三、专业技能：1、具有10年以上设计经历，且主持过相应专业设计类型的中型项目工程设计不少于3项，或大型项目工程设计不少于1项。2、持有注册电气工程师（发输变电）证书3、具备研发供电系统及供配电设备的能力，优先考虑4、熟练使用WPS、CAD等办公软件5、具备良好的沟通能力、表达能力及团队协作能力>岗位职责：1、变...,通信/网络设备,http://jobs.zhaopin.com/CCL1503107450J40810158903.htm,100-299人,2026-01-09 11:28:57,25000.0,40000.0,12.0
机电总工程师,郑州,河南豫水设计海外工程有限公司,大专,10年以上,"机电一体化,高级电气工程师,中级电气工程师",30000-35000,一、岗位职责： 1、 项目各机电施工方案编写； 2、项目各类永久机电设备（含污水泵、水锤罐、高低压柜、流量计、污泥脱水设备等涉及污 水处理厂及污水泵站的各类机电设备）的报批工作； 3、与咨询工程师的技术交流及对接； 4、与土建总工的交流及配合，在各个阶段（含报批阶段、土建施工阶段、机电安装阶段、调试运行阶段）能独立应对各项技术问题，与土建总工、项目现有机电团队密切配合，将机电工作向前推进。 二、岗...,工程施工,http://jobs.zhaopin.com/CC874996440J40223869104.htm,100-299人,2026-01-10 01:08:46,30000.0,35000.0,12.0
机械工程师,郑州,牧原股份,本科,无经验,研发,25000-40000,岗位职责：1、技术合作与价值评估：负责屠宰智能化相关项目（包括机器人设计、自动化设备应用等）的自主研发、技术引进和对外合作；并对市场、工艺、生产等需求进行评估，明确需求价值及投资成本；2、需求分析与设计：根据需求进行可行性分析及验证，结合精益生产，制定整体自动化方案。并对方案制定测试方案、测试计划及目标，对测试过程进行分析，把控项目整体成本及风险；3、设备研发与测试：测试方案设计、整机机构设计、整...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40819332411.htm,10000人以上,2026-01-06 21:18:20,25000.0,40000.0,12.0
电气工程师,郑州,郑州帮聘信息科技有限公司,本科,5-10年,"设计,安装/调试,电气选型",20000-35000,工作职责1、负责 AGV/AMR 电气原理图、线束图、控制柜布局设计，编制物料清单（BOM）；2、电气元件选型、评估成本与性能，确保系统可靠性和安全性；3、现场调试并解决电气系统问题，如通信异常、电磁兼容性（EMC）问题。4、与机械、软件团队协作，完成 AGV 样机联调与量产交付；参与客户现场技术对接，提供系统安装指导、故障排查及培训；5、撰写电气系统说明书、操作系统、维护指南；制定电气设计规范和...,IT服务,http://jobs.zhaopin.com/CCL1304678110J40745620006.htm,20-99人,2026-01-06 09:35:40,20000.0,35000.0,12.0
电气专业-博士（央企）,郑州,智联猎头,博士,经验不限,研究员,25000-35000,35 岁以下1.专业方向：电气工程 / 电力系统 / 高压技术 / 电力电子 / 新能源 / 能源互联网等2.工作地点：河南待遇亮点1.薪资：面议+中长期激励2.福利：七险二金、人才公寓、职工食堂、带薪年休假、,互联网,http://jobs.zhaopin.com/CCL1318355140J40848277203.htm,10000人以上,2025-10-20 09:27:46,25000.0,35000.0,12.0
机械工程师,郑州,牧原股份,本科,5-10年,"AGV,研发,设计,非标设备",20000-40000,岗位职责：1、负责智能机器相关项目（包括机器人设计、自动化设备应用等）的技术引进、对外合作或者自主研发;2、负责产品项目可行性调研，主导方案系统设计，智能化自主研发设备的方案设计修改，完成非标自动化设备机械结构、机械部件的设计、材料选用以及测试、部署落地；3、拟制结构设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量；4、承担产品整体系统设计及零部件设计，搭建公司智能机械设计通用平台，...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40599536211.htm,10000人以上,2025-12-30 12:04:03,20000.0,40000.0,12.0
